Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Averagemmd_entropy	Stdmmd_entropy	Maxmmd_entropy	Minmmd_entropy	Averagealpha	Stdalpha	Maxalpha	Minalpha	Time
18	1004.7792	5.2657213	1011.3962	997.16724	1008.03613	2.5064993	1012.5634	1004.40155	1000.0	1000.0	71999	77.98148	25.333782	114.60984	-9.315265	77.981415	25.33373	114.26581	-9.403175	-77.68573	0.71314186	0.3147587	0.030049179	0.51769376	0.25239277	0.0067371116	1.3048157e-06	0.006740148	0.0067330715	2523.850744009018
19	1000.9906	6.6347017	1011.93475	994.2721	1006.805	16.997042	1038.2817	983.7262	1000.0	1000.0	75999	79.27214	25.612238	111.98197	-10.507002	79.27217	25.612196	112.86058	-10.508066	-78.981125	0.70441556	0.304867	0.024027668	0.4252955	0.25350967	0.0067370636	1.3378036e-06	0.0067401836	0.00673302	2666.4380848407745
20	1012.17535	13.682365	1030.2821	997.0803	994.4863	2.5362637	999.0314	991.67596	1000.0	1000.0	79999	80.29732	25.816854	113.91907	-10.896148	80.29727	25.816969	112.02394	-12.623004	-79.99205	0.680013	0.29838324	0.023998091	0.42132136	0.24576025	0.0067369756	1.4146692e-06	0.006740145	0.00673302	2807.4548377990723
21	1006.6934	12.38479	1025.0969	994.3044	992.6754	2.7621248	996.31915	986.80774	1000.0	1000.0	83999	81.54422	25.705523	113.727196	-15.5189705	81.54417	25.705633	114.958664	-14.145774	-81.24617	0.70407385	0.31270295	0.034552988	0.5052241	0.24444123	0.0067370776	1.3257215e-06	0.0067400904	0.0067330105	2949.3309190273285
22	1006.01874	7.5189176	1018.10394	998.3924	993.4461	2.9309506	998.012	988.81213	1000.0	1000.0	87999	82.343925	25.77162	110.70041	-15.114915	82.34387	25.771864	112.909935	-17.677698	-82.04618	0.6610083	0.3054291	0.023709869	0.41288272	0.25026402	0.006737039	1.3313235e-06	0.0067401384	0.006732991	3090.2045924663544
23	1013.007	3.849618	1018.5319	1007.6984	991.6589	2.7417562	996.3678	988.5172	1000.0	1000.0	91999	83.20824	25.619835	114.66341	-19.24283	83.20811	25.620245	116.251976	-18.665993	-82.91408	0.64581627	0.30015463	0.027593996	0.47522184	0.24588051	0.0067370245	1.3465893e-06	0.0067401384	0.0067329817	3231.101860523224
24	1011.3512	5.416225	1017.64105	1002.7339	1006.1483	3.1193385	1010.3786	1000.8691	1000.0	1000.0	95999	84.10871	25.391058	115.08579	-16.421886	84.10869	25.390903	113.44136	-16.703337	-83.81063	0.651825	0.30774695	0.030407209	0.47258362	0.25022498	0.006736994	1.3873145e-06	0.0067400453	0.006732953	3371.94845867157
25	1018.8709	8.023927	1031.6617	1009.4908	993.00476	2.782434	997.589	988.1175	1000.0	1000.0	99999	84.84035	25.22355	111.969086	-17.523973	84.84041	25.223507	113.41539	-18.189894	-84.536125	0.6391904	0.30514053	0.03172258	0.45045844	0.24237446	0.006736987	1.4103604e-06	0.006740122	0.006732876	3518.429092168808
26	1010.5547	1.3809553	1012.6291	1008.7484	997.5167	10.395942	1016.0216	984.1623	1000.0	1000.0	103999	85.49961	25.04469	112.62657	-18.23114	85.49972	25.044552	114.88174	-17.218624	-85.19732	0.60856277	0.30128998	0.023757288	0.4032015	0.24906461	0.0067370413	1.339645e-06	0.006740148	0.0067329784	3661.9729340076447
27	1010.7832	6.1979423	1020.32947	1005.1684	992.6891	3.2111235	996.5049	986.9496	1000.0	1000.0	107999	86.14903	24.779741	111.18933	-21.743134	86.14887	24.77991	115.65811	-20.716852	-85.84682	0.6176624	0.30500197	0.026404977	0.44284767	0.24937934	0.006737003	1.3676694e-06	0.0067400904	0.0067329365	3804.110542535782
28	1025.4496	6.348479	1033.2089	1019.17004	994.11017	2.9154708	1001.1693	988.6857	1000.0	1000.0	111999	86.60579	24.707773	110.00315	-21.786886	86.60568	24.708067	109.960884	-21.686638	-86.30224	0.61546934	0.29971611	0.025142979	0.4456641	0.24680287	0.006737044	1.379813e-06	0.0067401286	0.006732994	3945.276031970978
29	1020.543	9.157911	1031.8296	1006.292	1005.0539	14.576044	1028.3279	989.00836	1000.0	1000.0	115999	87.16508	24.38881	112.44898	-17.424873	87.1652	24.388783	112.50107	-20.126331	-86.86158	0.5770417	0.29979125	0.028589247	0.53081137	0.24521735	0.0067369966	1.3756628e-06	0.006740103	0.0067329975	4085.900851249695
30	1027.9653	19.82217	1056.8579	1003.88776	994.7697	2.4811502	998.8022	990.6031	1000.0	1000.0	119999	87.55045	24.218393	112.72413	-19.864676	87.55033	24.218346	114.21716	-17.859215	-87.24462	0.56677854	0.29895437	0.026142603	0.42268577	0.24803437	0.006737019	1.3822496e-06	0.0067401417	0.00673292	4225.9574155807495
31	1033.6252	13.151802	1052.4633	1015.48627	1009.45966	4.265988	1017.5499	1003.71857	1000.0	1000.0	123999	87.96146	24.07481	108.45896	-18.434666	87.96155	24.07458	107.90274	-17.351652	-87.65984	0.5739329	0.29968825	0.026507284	0.4323763	0.24924259	0.0067370124	1.3600958e-06	0.0067400998	0.0067330073	4366.74817609787
32	1027.0261	9.51611	1037.5807	1013.0411	1020.12775	12.454815	1039.6257	1000.619	1000.0	1000.0	127999	88.57478	23.637531	113.560036	-16.917732	88.57477	23.637259	111.72533	-18.013836	-88.277534	0.58686155	0.30834132	0.032779705	0.4604645	0.24671108	0.006737011	1.3824766e-06	0.0067400937	0.0067329817	4512.278395175934
33	1048.1968	13.268026	1068.7354	1035.7616	980.48456	6.6743355	992.98254	968.5371	1000.0	1000.0	131999	89.13901	23.378992	107.44028	-20.542053	89.13909	23.378876	108.7972	-17.814058	-88.84411	0.63855594	0.3107041	0.028047705	0.43128034	0.25306538	0.0067370078	1.3867492e-06	0.0067400774	0.006733036	4657.389606952667
34	1023.2034	26.291647	1066.5032	996.0396	1059.6598	34.725037	1113.3378	1001.58777	1000.0	1000.0	135999	89.70947	23.143938	111.04586	-18.40141	89.70942	23.143986	109.56313	-17.20325	-89.40549	0.57880396	0.30344307	0.02268064	0.4068388	0.2514492	0.0067370837	1.3035777e-06	0.0067401705	0.006732943	4799.575184345245
