Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Averagemmd_entropy	Stdmmd_entropy	Maxmmd_entropy	Minmmd_entropy	AverageQ_penalty	StdQ_penalty	MaxQ_penalty	MinQ_penalty	Time
1	72.3176	79.299545	154.1367	-58.93312	32.0294	139.01021	159.0442	-189.10902	1000.0	1000.0	3999	12.857342	17.867363	121.25538	-13.262206	12.857339	17.867119	119.21834	-13.693557	-14.502401	4.0027943	1.5898862	0.9312807	3.0256126	0.1836775	4.877555	2.8701203	12.073837	1.619275e-07	76.3611888885498
2	-12.837891	29.137402	33.79818	-39.79458	118.76796	17.883688	164.5803	98.376755	1000.0	1000.0	7999	117.37106	54.0871	349.8584	-3.7341032	117.37009	54.084473	348.53253	-4.2512803	-122.57634	15.929082	3.0413537	0.05968819	3.2120562	2.8398552	11.465561	0.9237253	15.227619	7.949066	178.79706740379333
3	142.25272	134.98535	319.37976	-57.08502	81.32136	203.55188	284.3946	-478.60602	1000.0	1000.0	11999	227.78572	58.14062	450.47498	88.27059	227.785	58.140472	453.9038	90.38536	-231.26276	29.13425	2.9618506	0.048614636	3.1048913	2.77704	11.276897	0.8142368	14.599423	8.950869	286.0469813346863
4	-7.318199	237.426	392.80228	-230.00548	-33.869038	264.7243	275.01648	-720.01166	1000.0	1000.0	15999	291.285	41.614388	487.9484	152.4688	291.28516	41.612606	490.84262	153.00278	-292.98532	29.89644	2.7929049	0.14527966	3.1001933	2.3743267	9.412734	1.0812684	12.487001	6.945175	393.55131673812866
5	62.032234	225.4123	431.9805	-178.60402	162.21327	24.26715	200.88084	122.57275	1000.0	1000.0	19999	301.0012	28.314276	451.1694	187.41615	301.00162	28.31502	451.4332	190.69267	-301.26932	22.925602	2.4729981	0.06140142	2.67581	2.24959	7.6118665	0.42730355	9.710466	6.317832	501.015442609787
6	-97.45259	92.80554	60.25464	-173.90837	107.65375	97.45948	317.4292	-27.09331	1000.0	1000.0	23999	304.47214	27.78744	419.95676	193.11404	304.472	27.789005	413.60745	191.73615	-305.01718	21.529543	2.5053697	0.08005721	2.7234	2.254397	7.443846	0.58907604	9.645483	5.6966867	608.7282285690308
7	227.46172	221.8698	537.40216	-48.71379	14.350418	196.25241	168.95435	-558.38763	1000.0	1000.0	27999	301.53857	31.59555	421.39487	214.74312	301.53903	31.597422	415.0369	215.60757	-301.5057	17.869696	2.4262133	0.10315958	2.688224	2.0204227	6.2593203	0.45367816	7.958822	4.947871	715.6493673324585
8	177.98438	78.26718	301.37088	94.15398	-40.80494	162.09474	169.33711	-263.9246	1000.0	1000.0	31999	279.7739	34.448856	417.31973	162.6524	279.7737	34.452003	414.5884	163.57936	-279.04422	16.907637	1.9563172	0.13126124	2.3351252	1.6369053	5.436244	0.33001286	6.9348674	4.4587493	823.2935025691986
9	213.08202	198.70134	414.86646	-115.299866	38.131855	32.67193	78.31882	-20.451073	1000.0	1000.0	35999	250.9884	35.468037	388.55365	125.323204	250.98836	35.471104	387.79358	126.79062	-250.26697	15.985728	1.7934395	0.078187324	2.0322888	1.4994811	5.1568437	0.2842791	6.355275	4.3407874	931.1867876052856
10	485.41266	388.5411	968.2633	5.7656474	169.0959	193.72858	367.4175	-146.44112	1000.0	1000.0	39999	227.40527	34.52463	359.79178	104.947105	227.40572	34.523525	361.7608	105.9875	-226.61542	15.627496	1.7406787	0.06956203	1.966132	1.483984	4.9406447	0.2628305	6.023667	4.1851935	1037.5497734546661
11	34.241913	243.134	349.60834	-311.00943	481.7915	102.89048	688.8476	285.81546	1000.0	1000.0	43999	202.9696	37.016647	351.26312	78.709785	202.97021	37.016186	351.39084	77.617874	-202.0657	15.374959	1.5652895	0.08065607	1.8460804	1.2979236	4.6859307	0.30618906	5.974791	3.8064313	1146.0993502140045
