Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	Q1Vals	Q2Vals	LossPi	LossQ	Averagemmd_entropy	Stdmmd_entropy	Maxmmd_entropy	Minmmd_entropy	$\alpha$	Stdalpha	Maxalpha	Minalpha	Time
1	118.974945	30.899649	273.18524	81.59465	410.81454	28.708092	458.9572	358.52408	24.231707	75.5	3999	26.208118	26.208204	-25.531334	2.1721294	0.3960206	0.057802234	0.6532897	0.31898186	1.6212257	0.2912779	2.1062012	1.1701252	108.3855664730072
2	122.96458	36.585007	254.51933	77.72691	344.45288	87.86347	511.3654	234.50606	25.15625	65.9	7999	75.45549	75.45469	-74.30828	77.81662	0.96482253	0.22973406	1.6475544	0.46732572	5.112343	1.1149538	6.8309774	2.0941672	355.0859172344208
3	150.43892	56.7995	364.173	82.44135	260.6877	62.272266	371.77695	175.56435	31.436508	54.4	11999	178.03116	178.02916	-179.68909	623.20856	1.7365632	0.2526601	2.3732173	1.1224387	8.122882	1.3742718	11.364398	5.7442803	601.9361102581024
4	252.13968	59.30946	463.23508	135.47949	277.867	32.669155	321.99594	229.1069	51.76923	55.0	15999	244.87892	244.88107	-248.44922	203.28128	2.5271206	0.25970268	3.1937847	1.862029	4.668988	0.7531722	5.9713454	3.4576898	847.706356048584
5	284.14206	81.504105	507.73508	135.16689	320.19373	42.829357	403.18475	269.3764	59.50746	65.6	19999	268.44003	268.4383	-273.06976	145.75056	3.3324585	0.26077804	4.0982347	2.7067916	2.7054272	0.36608055	3.4531016	2.1073754	1091.4663383960724
6	311.8611	77.55813	580.1587	165.7161	276.4238	53.305607	385.41714	197.04036	70.85714	59.4	23999	282.8941	282.8947	-288.40564	183.269	3.9560928	0.1366105	4.349667	3.4087393	1.9763817	0.11492447	2.259042	1.779408	1331.9282217025757
7	325.33203	95.69894	627.6744	154.35576	374.0821	106.10583	580.2918	240.4001	68.27119	80.6	27999	301.96747	301.9694	-306.7335	210.822	4.000298	0.09993648	4.379576	3.631941	2.0413473	0.062872045	2.2358596	1.9059526	1574.6507103443146
8	321.46545	88.29603	546.31866	151.1103	291.39215	49.23414	367.9302	239.55246	66.86441	68.6	31999	290.82312	290.82562	-294.495	236.10542	3.9990957	0.10398407	4.3890853	3.6444755	1.8815476	0.06193936	2.0468998	1.777351	1819.6945943832397
9	335.4214	89.73329	689.76086	224.2249	300.93628	91.6039	516.24316	194.48404	76.245285	70.1	35999	284.46176	284.46252	-287.50406	272.04263	4.001678	0.09980636	4.32903	3.5808585	2.0715113	0.09504284	2.2777665	1.8048528	2063.4625124931335
10	359.30103	97.11585	550.8521	219.76726	486.80304	81.78837	597.76917	348.34305	79.0	97.0	39999	277.99805	277.9964	-280.24054	273.65036	3.9981825	0.10569857	4.3594837	3.6113012	2.0061228	0.06278956	2.1752796	1.9080534	2305.3474638462067
11	404.13852	124.672935	858.88495	215.86555	494.63702	108.33001	654.5014	321.65894	84.729164	102.4	43999	268.6244	268.62555	-270.69977	278.76727	4.0014057	0.10607901	4.4029875	3.558041	1.9143181	0.051333897	2.0391173	1.7950526	2548.408506155014
12	421.54733	94.716415	640.8944	215.13998	388.41113	52.941845	492.25354	310.49332	83.95744	83.7	47999	269.4256	269.425	-271.22943	278.32538	3.9977584	0.10993253	4.442932	3.5649693	1.8994899	0.068879575	2.063436	1.7511492	2791.1573901176453
13	487.0438	120.60511	877.9026	313.0967	479.34464	156.59592	819.12714	246.40814	94.7619	99.7	51999	266.26324	266.2608	-267.4814	266.6256	3.9994614	0.10428107	4.3487067	3.6058295	1.9101259	0.054644357	2.0901203	1.7947521	3036.133540868759
14	508.2922	183.58987	1057.4781	241.07266	496.30356	93.18579	633.70276	336.8448	106.36842	105.2	55999	263.39227	263.392	-264.1262	264.6257	4.001889	0.1045575	4.355193	3.6110873	1.9022017	0.044693895	2.0408258	1.7857567	3278.46928524971
15	466.90536	165.52795	1039.3376	238.50853	521.5231	135.42061	750.2764	379.63083	99.925	100.5	59999	261.761	261.76117	-262.02234	248.93192	3.9972267	0.09963871	4.355453	3.596868	1.8700744	0.05513781	2.039187	1.7326127	3521.249393939972
16	542.4058	153.49352	961.74396	284.17096	508.3793	89.75984	668.79266	359.05606	109.45946	97.3	63999	257.22455	257.2237	-257.0693	229.01154	3.999961	0.099035665	4.445683	3.6437855	1.8074963	0.043230273	1.9305868	1.6947409	3762.449065923691
17	579.51697	191.42618	1165.0547	268.91693	525.94977	242.3784	1179.468	300.3443	116.5	105.4	67999	256.43954	256.43896	-256.21814	217.78477	3.9998538	0.097663544	4.3338366	3.5957906	1.7213565	0.045437504	1.8328965	1.6330214	4006.6651632785797
18	537.1546	234.65643	1400.5808	302.2698	628.0754	241.29184	1202.9698	373.3908	115.2	131.5	71999	260.2255	260.22748	-259.74753	218.72563	3.9998052	0.10199088	4.3450212	3.557653	1.7256974	0.051059425	1.8510836	1.6195496	4249.115129232407
19	630.5528	207.82976	1157.1226	254.58069	584.6732	138.25717	814.789	332.42535	131.27586	118.1	75999	261.97507	261.97363	-261.28308	212.42923	4.000467	0.10466312	4.3513594	3.5840993	1.6931561	0.0539073	1.814037	1.576959	4492.9306716918945
20	782.33777	351.9078	1849.8374	208.6273	724.85724	156.66527	1075.3641	507.50485	152.96297	137.7	79999	266.05112	266.05112	-264.99612	215.43993	3.9999003	0.099879265	4.347896	3.5813544	1.7327907	0.042404145	1.8436784	1.6226676	4737.041363954544
21	738.30707	278.63568	1383.4567	299.92603	782.248	208.17172	1159.805	510.0973	143.33333	146.1	83999	268.25745	268.25565	-267.00015	211.78053	3.9990113	0.10151213	4.3325815	3.618302	1.7184492	0.04172974	1.8609102	1.643527	4977.622617959976
22	814.0053	291.4415	1435.1234	424.56903	797.1552	369.1999	1416.7676	414.12274	162.24	163.6	87999	272.97818	272.9789	-271.69202	214.04285	4.0009995	0.101207726	4.36771	3.6339407	1.7054229	0.04145004	1.8082685	1.6093906	5220.135691165924
23	835.1844	366.32266	2026.6111	383.2079	1203.7819	580.2417	2577.3442	603.9089	169.375	241.4	91999	278.03204	278.03195	-276.64026	217.0765	3.999831	0.098605566	4.3306866	3.602817	1.6800369	0.044681985	1.7852235	1.5471802	5463.484018087387
