Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Averagemmd_entropy	Stdmmd_entropy	Maxmmd_entropy	Minmmd_entropy	AverageQ_penalty	StdQ_penalty	MaxQ_penalty	MinQ_penalty	Time	$\alpha$
1	-49.848366	102.039536	126.26487	-122.47174	-56.3825	31.318447	27.494831	-89.559425	1000.0	1000.0	3999	2.3353453	5.8368134	37.978344	-19.746101	2.3353925	5.837211	38.064133	-19.91673	-2.7205842	0.39313835	1.0165341	0.7254004	1.8620579	0.12499857	1.8331153	1.1657616	4.196313	1.7519858e-07	74.24010896682739	0.5
2	-39.676773	125.7425	175.51663	-139.39455	219.49228	2.7036145	222.79152	213.83678	1000.0	1000.0	7999	33.743904	22.882097	142.45499	-19.90101	33.74342	22.883997	142.26372	-19.908907	-35.658703	2.632861	1.8819163	0.04621329	2.0208783	1.7279097	5.242154	0.68416685	7.1333823	3.3024924	171.7019543647766	0.5
3	7.6740685	280.08273	260.59848	-433.694	387.9198	42.511543	460.52872	308.6059	1000.0	1000.0	11999	84.02233	43.858856	310.66022	-5.7806997	84.02302	43.85982	307.41583	-4.750089	-86.77383	8.439791	2.0622017	0.087446384	2.2553935	1.7924383	7.5357184	1.1682199	11.269807	4.8547792	269.5010139942169	0.5
4	243.6412	64.28652	313.39972	155.28929	167.64368	4.6463413	171.75093	158.06271	1000.0	1000.0	15999	146.00893	61.173634	381.72974	12.456805	146.00827	61.173237	379.02325	14.137003	-148.95453	15.643572	2.137338	0.04107923	2.2703385	1.9879609	8.652836	1.0415461	12.087155	5.893529	367.167289018631	0.5
5	170.185	109.76456	356.8365	74.141846	255.59758	140.66377	472.75803	92.69391	1000.0	1000.0	19999	188.33292	54.801785	465.28323	45.596558	188.33228	54.804325	469.5715	46.11038	-189.80148	10.083772	2.0478697	0.04564333	2.2063496	1.874314	6.0876417	0.66074497	8.519154	4.51175	464.87880635261536	0.5
6	252.22156	118.92225	417.4005	94.57045	195.77411	2.0557456	198.38977	190.45348	1000.0	1000.0	23999	209.25407	47.405556	470.60837	104.17568	209.25487	47.403355	468.8827	103.4475	-211.12376	10.213784	2.054321	0.038396124	2.1818342	1.8837744	6.806157	0.62936604	8.883193	5.0991764	563.8755640983582	0.5
7	219.40375	17.187574	236.77878	194.28304	210.56137	17.250895	241.70854	190.87755	1000.0	1000.0	27999	218.61292	47.766582	425.50418	123.37977	218.61322	47.765728	422.88065	123.64981	-219.6053	6.749823	1.9559642	0.051351637	2.139565	1.79678	5.1357327	0.8111429	7.4787045	3.3900487	664.4887797832489	0.5
8	243.35863	83.67824	340.01263	110.58897	220.23357	157.3783	682.8307	117.13063	1000.0	1000.0	31999	211.64932	45.53826	414.29507	127.936554	211.64928	45.537994	416.16153	130.7608	-212.01675	5.034937	1.8320452	0.09706515	2.0577724	1.510653	3.8174195	0.3507075	5.051701	2.6181998	764.2910380363464	0.5
9	411.3499	276.16336	884.6952	188.79642	175.559	11.639563	205.36324	165.67334	1000.0	1000.0	35999	201.48558	46.977875	418.07898	-10.508311	201.48615	46.976917	420.94147	-1.1022531	-201.92989	6.2007985	1.7791499	0.079429924	1.9761114	1.5169138	3.7393696	0.33795342	5.703945	2.66896	861.5949063301086	0.5
10	249.159	20.589314	269.14407	214.6837	228.59749	3.4818065	235.91988	223.97937	1000.0	1000.0	39999	195.45097	54.238056	389.1946	58.93197	195.4509	54.238167	388.38693	56.98729	-195.92116	6.2686534	1.8648721	0.08909684	2.0462315	1.5877465	3.9131415	0.36778352	5.27771	2.733451	959.7905874252319	0.5
11	306.08194	36.367767	353.2624	262.57855	307.46817	2.7567153	311.44553	302.69913	1000.0	1000.0	43999	185.6486	53.794575	373.89886	77.58163	185.64854	53.7944	373.38284	76.64973	-185.84044	5.664589	1.771981	0.07306247	2.0055633	1.5484644	3.3101225	0.23312058	4.2706656	2.443052	1059.3920249938965	0.5
