Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Averagemmd_entropy	Stdmmd_entropy	Maxmmd_entropy	Minmmd_entropy	Averagealpha	Stdalpha	Maxalpha	Minalpha	Time
1	29523.924	300.46054	29845.31	29076.953	34066.562	39.01144	34134.344	34015.69	1000.0	1000.0	3999	9.538069	5.2982078	28.359043	-0.16345823	9.537839	5.2984133	27.880634	-0.17804678	-8.964659	0.14213301	0.34601066	0.010132862	0.38229647	0.32081527	0.47498325	0.38487154	1.4985008	0.074933164	154.72499990463257
2	29665.688	543.1991	30313.014	29075.797	69550.25	5492.6094	80784.695	57300.625	1000.0	1000.0	7999	32.740147	9.908733	73.53805	13.844531	32.740116	9.908761	72.94194	13.979898	-32.344044	0.9262916	0.7184432	0.67187506	2.9240193	0.34834957	0.019786125	0.018029101	0.074858405	0.00670009	339.32597517967224
3	52527.22	23447.0	80403.3	28992.334	54836.957	8826.293	70133.89	44012.082	1000.0	1000.0	11999	137.84186	55.959938	292.26788	-56.22623	137.84123	55.961487	291.39874	-55.98699	-142.78738	13.652996	3.9186614	0.5831004	4.8573723	2.6346824	0.009632989	0.0038874603	0.021152169	0.006736193	529.747848033905
4	66670.17	12410.451	79930.3	53291.605	55911.164	13745.594	80615.47	39388.27	1000.0	1000.0	15999	260.16003	115.507576	464.9261	-4.1435957	260.1596	115.509186	464.2995	-2.4566185	-260.6791	29.317406	3.0609543	0.54914683	4.616857	1.8953637	0.010235601	0.005905684	0.024205828	0.0067064315	715.1146280765533
5	47312.97	11560.511	62301.746	35750.89	53758.773	10726.027	68373.18	38124.47	1000.0	1000.0	19999	297.5719	141.91185	482.0831	15.279827	297.57104	141.9144	481.9154	14.221245	-296.17755	42.1236	2.0331078	0.30841902	3.0604098	1.4297702	0.00673734	1.311745e-06	0.0067412634	0.0067316494	898.3620398044586
6	40491.54	2013.8618	43134.875	38108.984	47110.93	13946.242	79574.36	33631.105	1000.0	1000.0	23999	292.81458	110.19512	453.66116	29.790709	292.81335	110.19729	455.25876	30.846346	-290.58878	41.51138	1.7290194	0.16682133	2.367816	1.3327584	0.006737202	1.3461282e-06	0.006740499	0.0067315046	1083.2349467277527
7	63886.703	8179.8364	76425.09	53791.293	67191.98	10640.566	80533.47	49217.24	1000.0	1000.0	27999	279.03375	94.27966	410.6889	42.236404	279.03317	94.28168	408.83194	43.561268	-276.59637	35.06	1.4905769	0.06970464	1.8077731	1.2690594	0.006737116	1.3148602e-06	0.0067402734	0.006731332	1267.6922738552094
8	71224.14	5870.98	81004.664	66648.8	72258.52	7617.8584	80350.31	57837.438	1000.0	1000.0	31999	266.43994	82.5513	434.59882	48.55108	266.4389	82.55296	435.1698	48.58481	-263.95444	33.79509	1.5748464	0.088113084	1.922653	1.3304911	0.0067371237	1.3135252e-06	0.0067403954	0.0067323972	1452.2594816684723
9	71283.94	6221.3965	79680.62	64445.625	80709.53	6545.0454	91015.02	72064.52	1000.0	1000.0	35999	260.99728	72.113495	443.35284	72.55923	260.99707	72.11292	442.5491	71.41682	-258.60272	35.243515	1.675408	0.07644498	1.9378258	1.3886087	0.0067371666	1.3268312e-06	0.0067406464	0.0067321695	1637.8468148708344
10	76190.95	12367.759	95854.16	64569.312	80841.7	5973.848	91925.69	71267.91	1000.0	1000.0	39999	261.11804	66.88648	443.33902	93.33556	261.11792	66.88562	443.27133	93.741005	-258.87448	37.023632	1.7580075	0.11201985	2.1507099	1.4693109	0.0067372215	1.303417e-06	0.0067405305	0.0067321854	1823.1131122112274
11	87641.41	8532.555	98478.875	77940.34	92889.07	13452.349	122527.25	78893.62	1000.0	1000.0	43999	271.52942	69.62209	453.9432	95.55787	271.52917	69.62262	453.92807	94.18223	-269.48886	39.789516	2.018891	0.2228625	2.8743238	1.669786	0.0067373384	1.2317638e-06	0.006740582	0.0067327116	2007.6820695400238
12	98357.945	11525.87	113901.34	83753.76	84754.11	7316.3843	95227.95	68060.63	1000.0	1000.0	47999	306.14023	90.46656	477.64478	102.44416	306.13965	90.46791	481.02274	100.496086	-304.36295	47.604397	2.57023	0.3560059	3.247036	1.9104378	0.006737649	1.1540067e-06	0.0067411577	0.0067315754	2192.118884563446
