Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	Q1Vals	Q2Vals	LossPi	LossQ	Averagemmd_entropy	Stdmmd_entropy	Maxmmd_entropy	Minmmd_entropy	$\alpha$	Stdalpha	Maxalpha	Minalpha	Time
23	386.65265	220.45245	705.0668	88.36409	484.31226	161.96803	632.084	37.87616	1000.0	1000.0	91999	81.94869	81.94858	-81.32803	8.849449	1.4384162	0.06816987	1.704439	1.2052752	0.7926252	0.030635765	0.87844527	0.7137784	2210.2133688926697
24	540.89044	140.4909	757.3342	376.8888	583.43274	70.40913	709.8282	486.3467	1000.0	1000.0	95999	79.229485	79.22894	-78.59631	8.860417	1.4413623	0.075433336	1.6925201	1.1744174	0.79227114	0.038134392	0.93191636	0.72280574	2307.94132232666
25	641.4271	167.05396	831.01764	376.77817	373.1524	135.6444	525.66003	84.104195	1000.0	1000.0	99999	77.06543	77.06519	-76.48095	8.845257	1.4405769	0.0675279	1.7186663	1.2051681	0.8064265	0.019317428	0.8519715	0.7616456	2405.5087065696716
26	570.879	77.33568	696.4102	499.32837	437.99738	128.50444	709.444	185.27467	1000.0	1000.0	103999	77.35606	77.355934	-76.76701	8.906467	1.4397334	0.0755914	1.7262502	1.182143	0.84533596	0.035665125	0.9279094	0.77310234	2502.9880542755127
27	482.06583	219.10374	811.2931	253.34024	384.7503	255.29562	651.72	-253.05542	1000.0	1000.0	107999	77.69707	77.696884	-77.06761	9.177784	1.4414817	0.07051022	1.7601392	1.2030413	0.8348608	0.028419498	0.9231164	0.77952474	2599.3285207748413
28	360.73334	113.85836	468.39453	170.89032	75.70193	113.37877	211.92517	-180.99382	1000.0	1000.0	111999	76.87599	76.87552	-76.216064	9.365097	1.4389145	0.07860328	1.701108	1.2003425	0.8072929	0.044408523	0.910675	0.7248161	2695.6504085063934
29	454.14447	136.85489	614.14636	253.18665	-14.666641	2.5970078	-8.717594	-17.242395	1000.0	1000.0	115999	75.7978	75.79697	-75.028534	9.76168	1.4405823	0.074874625	1.7255962	1.1897564	0.8432136	0.026419237	0.9003712	0.7902237	2791.5597882270813
30	315.1828	207.79028	632.0914	69.0405	438.30762	61.74419	572.3135	364.60962	1000.0	1000.0	119999	74.34946	74.34946	-73.51147	10.17411	1.4392666	0.07916248	1.7480432	1.1326016	0.8920216	0.04115661	0.9884695	0.7656346	2889.1393752098083
31	374.16406	174.888	539.47217	116.57542	445.03156	151.73586	628.8406	168.57431	1000.0	1000.0	123999	71.78307	71.78332	-71.00902	10.981199	1.439977	0.07388609	1.7073299	1.1995682	0.8305752	0.041364558	0.93064606	0.7359816	2986.5649225711823
32	576.28955	77.82794	702.7065	507.22125	625.23645	186.72563	886.2745	171.14813	1000.0	1000.0	127999	69.67816	69.677666	-68.92497	10.657152	1.438504	0.07166887	1.7269925	1.1855907	0.80426204	0.03255475	0.9165136	0.7365087	3084.25248169899
33	485.45416	56.53057	581.66766	436.4113	647.28156	123.20013	806.25946	419.8045	1000.0	1000.0	131999	67.10904	67.108475	-66.31438	10.34161	1.4409056	0.07289744	1.723723	1.1991203	0.7907771	0.047539525	0.95607185	0.719232	3181.168666601181
34	442.2903	336.64612	752.28033	-119.55069	290.5328	70.844635	407.77216	227.43594	1000.0	1000.0	135999	65.38416	65.38432	-64.574455	10.460178	1.4396188	0.06947496	1.682168	1.2014334	0.83533114	0.027355129	0.89236856	0.76204675	3278.127388715744
35	515.5297	281.88525	706.9266	28.258516	338.5982	12.330909	357.7957	315.20297	1000.0	1000.0	139999	64.08024	64.08073	-63.310867	11.236452	1.4391183	0.07430993	1.7399639	1.2141684	0.8069269	0.03340301	0.8912664	0.73286706	3376.3839225769043
36	489.13257	226.37419	789.9483	155.3965	628.68677	157.17093	872.174	393.35526	1000.0	1000.0	143999	62.54644	62.54653	-61.71803	11.787748	1.4424939	0.07243763	1.7546887	1.2054607	0.8374819	0.04256712	0.931763	0.7423676	3474.030027151108
37	749.7168	189.88817	971.8607	539.3373	324.92154	73.01629	473.8876	205.47058	1000.0	1000.0	147999	62.1358	62.136185	-61.319553	11.913709	1.4397676	0.075625755	1.7012814	1.1561574	0.86619115	0.029796414	0.9501406	0.80218786	3571.128694295883
