Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
30	-563.5627	321.6406	-225.14363	-955.7051	-353.27313	385.0653	300.12778	-884.69604	1000.0	1000.0	119999	161.34393	31.074081	288.65656	91.42876	-163.33195	22.837965	1373.355613231659
31	-535.9013	265.6533	-165.79158	-819.18726	-782.732	328.1489	26.999973	-1121.5884	1000.0	1000.0	123999	146.61339	30.420446	280.23474	69.54894	-148.60947	22.493296	1419.2105922698975
32	-753.794	315.3624	-393.4699	-1108.9413	-717.6177	313.64447	-213.57152	-1426.7683	1000.0	1000.0	127999	135.6344	30.506258	297.1136	69.380226	-137.65973	22.529324	1465.0585675239563
33	-974.4868	468.5728	-230.36623	-1474.3086	-1061.6791	412.61307	-358.91055	-1800.7075	1000.0	1000.0	131999	126.60223	31.058361	284.9608	58.57218	-128.61273	23.104757	1511.033891916275
34	-919.1952	158.42628	-752.9401	-1118.2302	-793.4474	380.582	-97.861946	-1516.1407	1000.0	1000.0	135999	119.18378	30.899654	267.35968	49.86435	-121.16609	23.550266	1557.0027737617493
35	-1226.8131	242.18346	-856.56683	-1497.1661	-690.37286	281.78217	-44.626495	-1158.4968	1000.0	1000.0	139999	112.37461	30.187706	263.50098	44.306705	-114.29938	23.198828	1602.8426513671875
36	-545.17664	215.92125	-252.66444	-788.44525	-608.591	446.3227	58.001503	-1331.5079	1000.0	1000.0	143999	106.07423	29.1737	252.1407	32.010002	-107.978424	21.78554	1649.0385565757751
37	-664.2274	558.9017	-176.78868	-1600.6262	-947.8229	393.23343	-58.476063	-1530.3932	1000.0	1000.0	147999	99.85148	28.221087	244.98962	13.929207	-101.678764	20.158365	1695.3246536254883
38	-588.05914	202.30305	-391.2734	-864.3467	-779.9798	588.836	-76.44036	-1791.2228	1000.0	1000.0	151999	94.53638	27.83495	239.56474	6.9394703	-96.353485	20.104824	1741.2133011817932
39	-992.4739	323.83505	-525.68427	-1387.9381	-554.0504	562.2715	220.71419	-1530.9551	1000.0	1000.0	155999	90.44627	27.77433	233.92566	3.2008064	-92.23948	20.25632	1787.222627878189
40	-553.72314	169.92174	-388.85178	-789.78876	-619.64734	569.82635	325.70807	-1639.5372	1000.0	1000.0	159999	86.73258	27.29	229.35944	1.2240078	-88.52467	19.955517	1833.112640619278
41	-486.77246	257.0357	-81.28378	-790.93134	-684.09534	502.33585	109.77926	-1375.0038	1000.0	1000.0	163999	83.77204	26.592875	228.66214	11.817285	-85.544075	18.778316	1878.932906627655
42	-359.3341	172.32707	-108.74953	-556.10486	-747.15674	393.8391	-101.93626	-1569.0748	1000.0	1000.0	167999	81.58224	26.041882	219.72012	-6.904138	-83.342224	18.121983	1924.8106348514557
43	-219.75412	180.40599	5.4471703	-427.35587	-514.03595	427.7979	5.7006817	-1180.5197	1000.0	1000.0	171999	78.88689	25.161575	214.20982	-12.073836	-80.58967	17.062471	1970.9027886390686
44	-399.10434	283.6063	-53.58743	-814.7158	-205.16829	224.1852	135.27464	-481.2603	1000.0	1000.0	175999	76.83087	24.603878	199.34143	-21.751614	-78.517624	16.32683	2017.0230967998505
45	-394.98102	337.07004	-108.158424	-969.9669	-409.18066	477.0969	392.06424	-1288.888	1000.0	1000.0	179999	74.772995	24.084215	210.84302	-8.979169	-76.41755	15.924373	2062.8472871780396
46	-368.7057	457.33047	313.43918	-930.29913	-190.4916	414.40668	391.75436	-849.3287	1000.0	1000.0	183999	72.73407	23.274252	199.02531	-4.434576	-74.35149	15.3255825	2108.868752717972
47	-37.25142	123.60918	137.56705	-211.84819	-112.02948	186.01372	289.9739	-383.5513	1000.0	1000.0	187999	70.93798	22.21814	202.46928	-4.5223722	-72.53667	14.78247	2154.6072833538055
48	112.55291	69.24978	193.20012	32.89259	-380.39975	246.33684	-15.569589	-776.67676	1000.0	1000.0	191999	69.33269	21.44651	196.6563	-8.435835	-70.91689	14.506227	2200.457816362381
