Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Averagemmd_entropy	Stdmmd_entropy	Maxmmd_entropy	Minmmd_entropy	Averagealpha	Stdalpha	Maxalpha	Minalpha	Time
17	4982.849	119.10667	5151.0093	4826.3755	5248.0303	64.174644	5355.977	5113.4805	1000.0	1000.0	67999	303.33878	85.4125	403.60977	-32.773567	303.33917	85.412384	406.18723	-33.266125	-303.02747	16.29174	1.5624496	0.0696917	1.8509135	1.3326179	2.061356e-28	0.0	8.274633e-28	1.5892724e-29	1611.6935398578644
18	5292.6772	79.19249	5424.319	5213.194	5428.0923	103.99592	5583.906	5253.866	1000.0	1000.0	71999	323.4841	88.22216	427.41614	-31.044727	323.48383	88.2224	427.64468	-37.756565	-323.16437	16.643776	1.6498427	0.07114801	1.8935741	1.394452	3.976555e-30	0.0	1.5876486e-29	3.1253456e-31	1709.1291601657867
19	5547.3877	146.52554	5733.706	5339.582	5553.731	43.824993	5634.7197	5489.4897	1000.0	1000.0	75999	343.34235	91.23347	452.43378	-31.867407	343.3422	91.23343	453.25766	-33.91411	-343.01056	16.779274	1.6965488	0.07086064	1.9803144	1.4692703	7.70654e-32	0.0	3.1222237e-31	5.9678052e-33	1805.5724217891693
20	5734.6387	104.24046	5842.579	5563.935	5772.0205	107.95568	5924.9185	5571.571	1000.0	1000.0	79999	362.91348	93.38923	473.7368	-28.416601	362.91376	93.389114	473.529	-27.454344	-362.56927	17.080294	1.7444589	0.07386772	2.0154696	1.5198121	1.4684307e-33	0.0	5.9617073e-33	1.1466257e-34	1897.7082030773163
21	5937.871	109.92306	6054.679	5765.771	6081.366	75.786316	6169.8525	5943.175	1000.0	1000.0	83999	382.6577	95.91657	495.81003	-27.794443	382.6577	95.91692	495.73746	-29.585005	-382.29825	17.711454	1.8131006	0.07236556	2.107505	1.5530484	2.8496382e-35	0.0	1.1454803e-34	2.2280552e-36	1993.602380514145
22	6164.329	182.93887	6353.4287	5865.8945	6646.7876	136.14853	6836.7866	6344.1714	1000.0	1000.0	87999	402.16632	98.10527	526.5154	-17.44844	402.1662	98.10555	524.7618	-19.334444	-401.80508	18.75675	1.8703068	0.06905678	2.128195	1.5868233	5.5419906e-37	0.0	2.2258973e-36	4.287057e-38	2096.7053399086
23	6292.157	121.20916	6395.808	6086.2305	6231.0796	135.79317	6378.899	5870.5127	1000.0	1000.0	91999	421.56183	100.66625	548.4344	-13.471573	421.56177	100.66682	547.6131	-19.162846	-421.20914	19.386906	1.9222748	0.069807194	2.1664739	1.6886115	1.0672429e-38	0.0	4.2829704e-38	8.30219e-40	2190.0454227924347
24	6590.0605	107.77362	6729.315	6450.0947	6455.9307	1211.2524	7047.356	2838.4602	1000.0	1000.0	95999	440.8906	102.91473	568.935	-6.1909933	440.89023	102.915085	568.3168	-5.663705	-440.51736	20.027374	1.9771379	0.06940267	2.2109776	1.7259519	2.07583e-40	0.0	8.2939e-40	1.6149e-41	2285.246863603592
25	6665.9097	56.914516	6752.8105	6597.4243	6878.522	60.899426	6986.191	6760.377	1000.0	1000.0	99999	459.38364	105.648476	595.12756	-1.017888	459.38336	105.64833	597.7825	2.5348854	-459.0287	21.0375	2.0367007	0.06695963	2.3144662	1.767274	4.054e-42	0.0	1.6133e-41	3.15e-43	2377.06809926033
26	6963.45	83.33363	7059.365	6849.4087	7404.284	146.14687	7648.345	7120.8296	1000.0	1000.0	103999	478.55533	107.95242	628.7947	4.1686354	478.5554	107.95266	626.63617	6.176464	-478.19455	21.625547	2.0682786	0.06644244	2.3349223	1.8364909	7.8e-44	0.0	3.15e-43	6e-45	2477.079732656479
27	7246.9067	113.041374	7414.8477	7135.451	7339.018	140.0761	7544.0835	7022.6816	1000.0	1000.0	107999	497.2273	110.26414	650.47174	12.0151825	497.22717	110.26479	653.13727	13.438893	-496.87772	23.529163	2.114529	0.06424639	2.352275	1.8973954	1e-45	0.0	6e-45	0.0	2576.8788096904755
28	7266.58	193.28499	7404.798	6933.6284	7679.253	97.162796	7786.202	7485.178	1000.0	1000.0	111999	515.39105	113.04898	668.48627	12.91672	515.39087	113.04915	668.49066	13.331426	-515.02826	24.661074	2.133941	0.061884183	2.3421216	1.9044751	0.0	0.0	0.0	0.0	2677.624174118042
29	7459.514	320.7511	7825.9863	7119.57	7366.962	187.87224	7732.6333	7093.231	1000.0	1000.0	115999	533.2576	114.91188	682.53314	1.4009105	533.25757	114.91314	682.74304	14.770214	-532.93835	26.27793	2.1661797	0.06321334	2.3971305	1.947471	0.0	0.0	0.0	0.0	2780.0425033569336
30	7688.3857	129.86293	7901.206	7560.7964	7849.978	117.04272	8105.265	7683.7754	1000.0	1000.0	119999	550.25275	117.374275	706.1132	21.404114	550.2531	117.37508	706.624	23.271545	-549.9017	27.521938	2.1732397	0.06086474	2.3845642	1.9188614	0.0	0.0	0.0	0.0	2877.524338722229
31	7846.916	115.27004	7999.55	7714.968	8211.775	120.032745	8380.784	7982.0796	1000.0	1000.0	123999	566.8747	119.285095	724.88904	23.616291	566.8743	119.28556	724.15186	25.38836	-566.5644	27.614061	2.2035856	0.06204176	2.4128323	1.976682	0.0	0.0	0.0	0.0	2977.8336045742035
32	8096.6924	121.918495	8285.702	7946.1177	8199.931	111.305466	8394.039	8039.859	1000.0	1000.0	127999	583.52185	120.80036	744.2729	12.611745	583.52167	120.80101	742.96246	16.36993	-583.1705	28.392872	2.2339253	0.060494624	2.4824686	2.0146894	0.0	0.0	0.0	0.0	3077.9391434192657
33	8124.88	134.08228	8305.315	7932.511	8565.111	185.52956	8913.456	8235.489	1000.0	1000.0	131999	598.80927	122.93912	757.34094	27.63461	598.8091	122.94051	756.8486	31.609041	-598.44727	27.69993	2.2617114	0.05904761	2.4713342	2.0579658	0.0	0.0	0.0	0.0	3173.980297803879
34	8150.585	151.24092	8314.832	7915.7607	7908.0244	134.52466	8173.6484	7702.552	1000.0	1000.0	135999	613.96295	122.92537	770.3132	35.48312	613.96277	122.9264	770.50916	35.482582	-613.5709	28.778051	2.3055844	0.059395615	2.4835322	2.0839047	0.0	0.0	0.0	0.0	3275.8308532238007
35	8314.469	128.00204	8434.993	8126.327	8519.564	85.130486	8664.755	8389.047	1000.0	1000.0	139999	628.9178	122.0695	792.67804	53.15665	628.9178	122.06993	793.0562	55.278015	-628.51587	28.559027	2.3333838	0.05991294	2.5497687	2.1314938	0.0	0.0	0.0	0.0	3367.5666813850403
36	8401.6045	209.92271	8731.718	8187.835	6953.62	230.06635	7345.0693	6527.2246	1000.0	1000.0	143999	643.2156	119.15181	804.47015	68.380714	643.2154	119.15307	804.66174	67.03575	-642.81244	28.538145	2.3482506	0.056419853	2.53014	2.1296175	0.0	0.0	0.0	0.0	3462.4250276088715
37	7531.577	1993.8416	8736.982	4079.1023	8448.519	83.975876	8582.56	8312.723	1000.0	1000.0	147999	655.3806	121.22306	817.75226	70.13622	655.38074	121.22386	817.5442	80.66641	-654.93787	30.695051	2.3545337	0.05678841	2.5412822	2.1446044	0.0	0.0	0.0	0.0	3557.980772256851
38	8696.574	71.77323	8799.111	8597.435	8917.236	62.326206	9011.843	8819.322	1000.0	1000.0	151999	666.1494	125.937965	834.9443	30.291893	666.1497	125.93767	830.94556	49.43115	-665.6692	34.054974	2.354829	0.056998655	2.5845606	2.151502	0.0	0.0	0.0	0.0	3656.4885399341583
39	8753.61	124.53771	8893.291	8583.501	8838.259	85.492516	9018.626	8720.954	1000.0	1000.0	155999	677.2126	130.44627	848.72253	27.947311	677.21246	130.44603	848.44434	46.550583	-676.71936	35.10961	2.3593473	0.05664038	2.5307927	2.1382465	0.0	0.0	0.0	0.0	3757.7042009830475
40	8882.384	126.60826	8994.122	8669.995	8775.229	49.7153	8855.487	8695.494	1000.0	1000.0	159999	688.4233	134.07875	861.21344	13.611191	688.4235	134.07867	861.5484	10.449687	-687.9307	35.08893	2.3786793	0.057534084	2.5964024	2.1663327	0.0	0.0	0.0	0.0	3855.4091894626617
41	8902.933	205.45332	9158.292	8586.204	9091.814	51.54828	9148.589	8993.127	1000.0	1000.0	163999	699.1058	138.38123	870.703	10.188289	699.1061	138.38206	870.84424	14.531257	-698.6206	34.31344	2.3838263	0.054854017	2.574031	2.182196	0.0	0.0	0.0	0.0	3957.364995956421
42	9068.643	166.95343	9283.592	8833.455	9415.933	110.80698	9652.975	9209.661	1000.0	1000.0	167999	709.3861	140.87044	881.3492	-7.4096427	709.38544	140.86986	880.2081	-13.913633	-708.8673	35.661522	2.3895059	0.055103038	2.5593903	2.190547	0.0	0.0	0.0	0.0	4058.1628761291504
43	9067.595	52.833725	9134.875	8987.298	9117.949	95.394646	9283.68	8964.596	1000.0	1000.0	171999	719.7659	143.4679	892.88885	-30.067514	719.76624	143.46776	892.3818	-8.201837	-719.22864	34.55232	2.403524	0.05312696	2.5763707	2.2264879	0.0	0.0	0.0	0.0	4160.370065450668
44	9083.882	187.66193	9270.001	8811.493	9457.244	100.316376	9618.586	9281.068	1000.0	1000.0	175999	728.9412	145.53098	902.81195	-39.707386	728.9411	145.53136	901.9521	-31.339493	-728.3555	36.257862	2.408641	0.05601822	2.6112256	2.2062855	0.0	0.0	0.0	0.0	4253.966122150421
45	9424.377	154.21407	9642.945	9208.049	9615.496	252.0734	10001.065	9187.335	1000.0	1000.0	179999	737.8929	147.47862	920.4421	-11.605778	737.89307	147.47847	921.18097	-6.936781	-737.3111	35.11145	2.4253383	0.054335456	2.6421404	2.2433894	0.0	0.0	0.0	0.0	4353.180356264114
46	9214.596	185.7068	9350.184	8899.191	8725.719	123.03904	8885.413	8519.046	1000.0	1000.0	183999	747.0262	149.4281	930.73065	-56.235653	747.0265	149.42775	929.8355	-58.497787	-746.47577	36.28804	2.4459174	0.0549478	2.6387107	2.2438123	0.0	0.0	0.0	0.0	4449.927322387695
47	9316.301	155.8033	9484.634	9106.852	9371.486	73.43026	9474.244	9221.121	1000.0	1000.0	187999	756.492	150.84042	936.55145	-29.071196	756.4918	150.84111	936.01825	-19.981762	-755.90356	37.225594	2.4490025	0.052046344	2.653133	2.2629995	0.0	0.0	0.0	0.0	4545.219537973404
48	9468.475	144.62004	9663.881	9256.678	9960.346	73.75082	10057.323	9825.924	1000.0	1000.0	191999	765.1679	151.2144	945.419	-20.515581	765.16785	151.21448	943.90796	-20.572416	-764.55237	35.295734	2.4487498	0.051247414	2.6111674	2.2676418	0.0	0.0	0.0	0.0	4646.462965488434
49	9495.628	39.28122	9529.385	9429.697	9554.708	211.22617	9825.403	9220.319	1000.0	1000.0	195999	773.30817	152.62787	956.0941	-40.156853	773.30835	152.62823	955.81104	-54.4168	-772.6701	35.642056	2.4522948	0.051753506	2.6233792	2.2635036	0.0	0.0	0.0	0.0	4744.1962168216705
