Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Averagemmd_entropy	Stdmmd_entropy	Maxmmd_entropy	Minmmd_entropy	AverageQ_penalty	StdQ_penalty	MaxQ_penalty	MinQ_penalty	Time	$\alpha$
18	1001.8161	257.51437	1377.5132	756.8621	1286.8619	188.5709	1475.8829	817.9939	1000.0	1000.0	71999	129.92468	36.90076	409.178	16.775417	129.92479	36.901424	410.08087	15.886827	-130.57892	9.908877	2.347038	0.02119191	2.4065945	2.2701108	2.9473116	0.19729568	3.79665	2.2995572	1447.8045935630798	0.0
19	1360.5022	103.50553	1482.4939	1214.926	1089.8555	128.98329	1275.5518	853.5458	1000.0	1000.0	75999	126.99036	38.238453	434.41757	13.362926	126.99029	38.239582	432.53128	12.462459	-127.65529	10.036393	2.364148	0.018675733	2.425418	2.2954636	2.8880432	0.19666214	3.829984	2.26782	1535.3561661243439	0.0
20	1136.7087	140.26949	1309.6283	989.46204	1220.2018	171.97021	1456.3635	869.2813	1000.0	1000.0	79999	123.50778	39.764187	444.9867	2.7957764	123.50808	39.76553	445.2684	4.213512	-124.03155	10.750885	2.3660164	0.018690087	2.4210489	2.2951634	2.920064	0.19256493	3.728056	2.2953043	1622.677851676941	0.0
21	1315.2974	123.03999	1524.3726	1223.351	1423.2375	125.15969	1604.6973	1179.9532	1000.0	1000.0	83999	120.54278	40.757343	457.8162	-1.4660084	120.5429	40.75735	458.63745	-0.37126544	-121.16887	11.1706915	2.3701565	0.018059853	2.4279432	2.3010705	3.0883486	0.20500323	3.8377197	2.4881968	1710.7829806804657	0.0
22	1635.4248	158.89857	1786.2991	1381.5233	1834.6439	102.1308	2041.7839	1697.5148	1000.0	1000.0	87999	121.71542	39.961353	460.15714	2.1136022	121.71566	39.961708	459.72177	1.5645678	-122.417885	10.603669	2.3799715	0.016940914	2.431424	2.316441	3.144236	0.20104265	3.8773744	2.5655527	1797.739804983139	0.0
23	1582.3188	147.15204	1789.5565	1390.4276	1632.7487	94.0092	1748.4235	1471.3861	1000.0	1000.0	91999	122.09659	39.390152	478.10535	-3.81852	122.09637	39.390926	472.85422	-5.161818	-122.654625	10.102759	2.3806899	0.017060626	2.4355102	2.315387	2.9690893	0.19887298	3.9643276	2.2713711	1886.507131099701	0.0
24	1930.2788	161.5283	2160.6038	1716.4772	1719.9558	187.57074	1922.2004	1261.4176	1000.0	1000.0	95999	122.09895	41.175655	498.03812	-6.5654044	122.09938	41.175644	496.98483	-7.482784	-122.635124	10.011944	2.384682	0.016724128	2.4412293	2.304349	2.901726	0.18492159	3.5924366	2.2974863	1975.985081911087	0.0
25	1532.4487	284.6034	1862.5275	1104.1711	1399.3201	605.26544	1944.7826	136.6263	1000.0	1000.0	99999	122.88057	42.56923	512.9811	-0.9123009	122.88039	42.56965	510.33905	-2.7349188	-123.44667	10.289207	2.386818	0.016835093	2.4520109	2.3189342	2.94679	0.18259431	3.687329	2.267296	2065.023283481598	0.0
26	1817.1824	225.1305	2060.098	1448.9601	1650.39	203.60535	1936.8656	1144.4187	1000.0	1000.0	103999	124.39139	44.10554	511.7617	3.7596989	124.39175	44.104134	509.63486	4.7549314	-124.94273	10.733789	2.388116	0.016601196	2.4414947	2.323249	2.9319723	0.18420978	3.7246084	2.3507285	2152.9788677692413	0.0
27	1841.5399	172.84717	2032.729	1590.1154	1791.0176	90.39638	1954.4877	1630.49	1000.0	1000.0	107999	125.91066	45.260696	512.9081	6.8037395	125.9106	45.261173	513.0797	6.323184	-126.44791	11.151709	2.389064	0.01611109	2.4408464	2.3295865	2.940429	0.1825077	3.703775	2.2827127	2240.2880115509033	0.0
28	1693.7235	293.7365	2050.4966	1239.3354	1999.7722	170.99796	2262.2246	1730.0378	1000.0	1000.0	111999	128.8332	47.056698	509.53217	1.1078379	128.83301	47.05699	507.7852	1.1563964	-129.43779	11.896689	2.3923213	0.01613433	2.4410005	2.3363516	3.017041	0.20028259	3.8822284	2.3996444	2328.9086785316467	0.0
29	2080.8735	288.93134	2502.921	1780.4304	2000.348	105.93029	2107.7883	1789.0846	1000.0	1000.0	115999	132.78088	50.340034	530.51294	6.41676	132.78082	50.34082	533.9608	5.4114814	-133.40973	12.256245	2.3927913	0.015736064	2.446014	2.3305597	3.094521	0.19783796	3.8529067	2.4468832	2416.5628333091736	0.0
30	2101.826	153.6015	2331.2786	1899.1562	2154.7144	123.30237	2328.5095	1945.9084	1000.0	1000.0	119999	136.0423	53.510216	539.47687	8.110827	136.04227	53.510937	536.3593	7.9958205	-136.59769	12.61349	2.3934848	0.01595888	2.4485695	2.3331106	3.067371	0.20721138	4.043087	2.4391458	2504.0359778404236	0.0
31	2154.6611	104.58082	2263.4285	2012.3561	2110.6208	139.02934	2352.6174	1931.7773	1000.0	1000.0	123999	138.27211	54.190624	523.0829	12.810801	138.27184	54.19171	522.95575	13.101648	-138.81691	13.326953	2.3962476	0.016203923	2.4479978	2.3391645	3.1684713	0.19779226	4.1625175	2.5315378	2591.1085188388824	0.0
32	2154.725	87.038895	2266.359	2067.8438	2174.098	103.69002	2320.8252	1952.7914	1000.0	1000.0	127999	141.06177	54.32534	522.9227	3.145758	141.06165	54.325798	517.7815	2.1559846	-141.6198	14.304479	2.397414	0.015099682	2.4429927	2.333744	3.2304301	0.20945169	4.1931577	2.4374857	2679.9834871292114	0.0
33	2198.8745	71.127014	2319.1794	2145.0022	2067.7717	443.111	2463.6814	797.0612	1000.0	1000.0	131999	144.6917	56.62041	497.0637	13.6604805	144.69125	56.621174	497.77612	9.566459	-145.29144	14.780399	2.3990176	0.015268737	2.4533417	2.3368893	3.376421	0.2295662	4.332104	2.6587195	2767.6557178497314	0.0
34	2245.5566	200.9118	2493.8289	1936.4613	2086.7605	101.54277	2248.8813	1839.2656	1000.0	1000.0	135999	149.17354	60.83378	484.1565	14.310941	149.17332	60.83482	478.08362	13.715658	-149.814	15.415705	2.3993979	0.015213809	2.4547467	2.3406012	3.5347476	0.2422857	4.47789	2.80852	2856.072257041931	0.0
35	2248.697	29.923744	2283.9204	2205.0273	2201.66	102.61891	2333.6643	1999.0564	1000.0	1000.0	139999	153.11388	64.26214	503.0514	6.135253	153.11363	64.2632	502.09232	5.609405	-153.69606	15.370869	2.3984168	0.015844341	2.4495406	2.327874	3.5570278	0.23865539	4.512817	2.875482	2944.076950073242	0.0
36	2244.4607	85.1208	2389.4102	2180.8174	2241.022	86.97307	2368.6768	2109.7112	1000.0	1000.0	143999	155.85222	65.699776	543.99475	1.5880759	155.85188	65.70096	543.3676	3.1128283	-156.37463	15.592525	2.3989677	0.015629007	2.446863	2.3210163	3.5075107	0.23131734	4.340029	2.7877278	3031.8854076862335	0.0
37	2213.1829	14.522322	2227.6504	2195.99	2367.231	115.55705	2508.6682	2190.8257	1000.0	1000.0	147999	158.45491	65.97326	570.1596	-0.13942596	158.45499	65.97326	571.2701	1.2476102	-158.94542	15.8097315	2.397851	0.015553823	2.4503663	2.336101	3.468732	0.23539615	4.558452	2.7417924	3120.091197013855	0.0
38	2233.931	140.69002	2392.7827	2022.1703	2442.7031	131.87497	2626.5654	2225.8835	1000.0	1000.0	151999	160.98549	67.22483	580.1128	-0.440875	160.98549	67.22538	575.75336	-2.428558	-161.48387	16.126745	2.3965714	0.0154667	2.4488504	2.334098	3.4782348	0.24215822	4.8163896	2.739734	3207.8439469337463	0.0
39	2322.5596	121.89454	2441.2417	2134.665	2206.4592	95.38928	2337.0854	2049.0144	1000.0	1000.0	155999	163.41914	68.65956	609.7757	-6.113639	163.41907	68.66076	611.52167	-6.138127	-163.9405	16.412045	2.397061	0.01553856	2.4453433	2.3454356	3.5874195	0.25852278	4.6790037	2.8192904	3296.133873939514	0.0
40	2279.0757	47.482574	2357.3198	2230.1462	-86.293686	1.5859144	-83.930016	-88.73506	1000.0	1000.0	159999	166.23282	70.68947	643.3645	-8.640834	166.2327	70.690186	644.79486	-5.359758	-166.73544	16.802319	2.3969262	0.015761979	2.458372	2.3429391	3.6717224	0.25795385	4.8335333	2.890051	3384.920621395111	0.0
41	438.52277	953.41925	2089.5042	-145.5144	-71.1	0.987372	-69.68665	-72.764915	1000.0	1000.0	163999	167.4456	70.142334	655.6786	-3.2131207	167.44574	70.1435	648.00415	-2.053582	-167.94214	17.495062	2.3991628	0.015634565	2.448184	2.3435037	3.6946504	0.26480702	4.814693	2.8628137	3473.318223953247	0.0
