Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
32	56153.54	7611.9873	60631.227	42969.523	60413.03	110.93992	60588.996	60251.75	1000.0	1000.0	127999	20010.273	3843.7576	25098.713	13534.672	-20038.447	20422.05	1742.7060749530792
33	51550.484	8571.699	60597.043	42965.49	60424.133	107.21797	60576.277	60221.164	1000.0	1000.0	131999	20353.95	3987.4465	28391.385	13690.263	-20383.129	24626.297	1797.6670520305634
34	51706.734	8588.36	60319.695	43076.406	60383.227	108.360146	60577.605	60227.12	1000.0	1000.0	135999	20693.094	4112.315	27054.92	13949.659	-20722.057	23369.475	1852.3145005702972
35	60010.125	605.3555	60557.06	59046.207	60469.29	121.942986	60696.0	60239.613	1000.0	1000.0	139999	21090.053	4213.061	28046.273	13410.343	-21120.928	26252.713	1906.8798713684082
36	51871.29	8722.072	60611.137	42864.887	60442.395	80.49001	60514.043	60277.72	1000.0	1000.0	143999	21484.941	4321.143	29775.314	13629.989	-21516.365	27435.271	1962.021020412445
37	60601.438	162.47537	60813.094	60360.555	60477.293	103.1597	60742.414	60364.94	1000.0	1000.0	147999	21911.047	4414.095	28544.404	14597.583	-21943.527	28232.908	2016.4338386058807
38	56015.72	7520.619	60476.086	42990.387	60435.336	70.45758	60539.344	60321.492	1000.0	1000.0	151999	22314.672	4509.759	30143.934	14914.04	-22347.834	30286.46	2071.234372854233
39	56167.6	7382.6562	60649.02	43384.863	60469.65	60.149754	60565.293	60322.324	1000.0	1000.0	155999	22697.258	4607.952	29227.227	14987.666	-22731.477	27855.148	2125.9846868515015
40	55913.516	7468.214	60503.25	42987.6	60466.406	131.03366	60739.293	60239.312	1000.0	1000.0	159999	23102.197	4695.5205	32279.195	14937.999	-23136.977	31549.238	2181.1159329414368
41	56433.63	7043.9473	60559.89	44233.74	60459.688	82.94018	60655.637	60337.773	1000.0	1000.0	163999	23477.6	4779.16	30905.096	15268.721	-23513.297	32064.56	2236.11439538002
42	56367.0	7177.739	60549.84	43934.977	60410.242	58.3589	60487.805	60299.16	1000.0	1000.0	167999	23838.965	4855.7817	34119.668	15511.47	-23874.512	34202.566	2291.026834964752
43	48324.72	7110.0547	60561.844	42953.277	60370.383	341.90457	60605.887	59361.863	1000.0	1000.0	171999	24122.982	4953.9707	31528.178	15879.235	-24158.229	35881.887	2345.8112592697144
44	51822.375	8658.34	60490.594	43052.504	60390.72	65.87868	60498.01	60294.547	1000.0	1000.0	175999	24329.621	5080.679	31878.725	15953.649	-24365.117	35927.36	2401.000659227371
