Epoch	AverageTestEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet0	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	Q1Vals	Q2Vals	LossPi	LossQ	Averagemmd_entropy	Stdmmd_entropy	Maxmmd_entropy	Minmmd_entropy	Averagealpha	Stdalpha	Maxalpha	Minalpha	Time
1	-343.54233	54.679646	-299.45514	-436.91608	-0.5004042	0.3072619	-0.07401791	-0.90949655	1000.0	1000.0	3999	0.11097659	0.11046828	-0.2628229	0.557634	0.22067955	0.013050264	0.27120408	0.18895411	1.3792636	0.19377926	1.6817051	0.9508074	60.329426765441895
2	-343.73267	68.63421	-276.66693	-448.97745	754.92126	28.984764	798.17596	684.1548	1000.0	1000.0	7999	7.108794	7.108584	-7.576188	2.8782666	0.33655652	0.053335	0.49370232	0.23239161	1.5472326	0.07506094	1.80006	1.4081509	140.16733050346375
3	372.47943	680.94476	1184.6665	-401.90692	1085.4402	587.29114	1555.3052	-333.0665	1000.0	1000.0	11999	20.073452	20.073338	-20.550323	4.3915467	0.44157863	0.031834528	0.61302227	0.3578332	1.4260263	0.17883335	1.6753167	1.0693866	219.90717005729675
4	1397.7057	235.50766	1616.9854	1007.47565	1814.3903	199.00551	1966.8209	1234.6799	1000.0	1000.0	15999	32.023643	32.023853	-32.340107	2.974603	0.46044034	0.026384735	0.5729826	0.3871316	1.091513	0.03165436	1.1765523	1.0217663	299.41422510147095
5	1930.4094	158.08546	2084.085	1719.2671	1852.6693	521.46674	2135.9695	301.71033	1000.0	1000.0	19999	46.4784	46.478336	-46.67637	4.4727774	0.46133247	0.028372927	0.6171388	0.38832206	1.2918173	0.08472128	1.4716038	1.115717	380.75422763824463
6	2072.7998	36.045395	2125.1643	2036.042	2234.7485	93.17247	2393.5298	2111.7827	1000.0	1000.0	23999	63.86423	63.86414	-63.924675	6.192419	0.4630284	0.027448338	0.57682616	0.38418767	1.4988508	0.046335578	1.6587675	1.4049833	460.3891980648041
7	2323.0005	68.503845	2402.4395	2217.1282	2410.4214	57.346752	2526.7634	2329.346	1000.0	1000.0	27999	82.18741	82.18717	-82.18925	7.533608	0.4987579	0.033869073	0.6453068	0.4001595	1.512241	0.04814712	1.6621654	1.4143417	541.3639528751373
8	2474.006	67.40368	2560.3806	2399.9495	2601.9	60.759747	2690.1975	2489.515	1000.0	1000.0	31999	100.69925	100.69871	-100.632515	8.069318	0.52437776	0.03132593	0.68542236	0.42993712	1.4996754	0.03981519	1.630938	1.4165361	621.7206976413727
9	2444.72	101.420944	2588.5984	2303.6143	2707.4531	67.86659	2789.7925	2591.6587	1000.0	1000.0	35999	118.33103	118.33053	-118.1999	9.084712	0.5392675	0.03415124	0.7129361	0.4503298	1.519635	0.042575456	1.6305448	1.4207969	701.1600997447968
10	2662.71	52.881336	2732.5447	2585.504	2844.9478	63.67281	2980.086	2759.6016	1000.0	1000.0	39999	134.90938	134.90894	-134.73364	9.426017	0.5588337	0.034732968	0.71618396	0.45581833	1.4908601	0.04878988	1.6171708	1.3804264	779.6369106769562
11	2794.4912	85.07814	2934.4746	2718.7751	2898.4126	70.687645	2974.5898	2749.1213	1000.0	1000.0	43999	150.79039	150.78989	-150.58977	9.955677	0.5786632	0.035204027	0.75591993	0.47946534	1.4751767	0.037549667	1.6066324	1.4065325	860.0184321403503
12	2751.4238	126.6427	2918.4204	2561.8027	3031.9363	40.74094	3104.9358	2962.2124	1000.0	1000.0	47999	165.20248	165.202	-164.95782	10.406156	0.5807909	0.0354562	0.7823972	0.4775151	1.4876784	0.0368724	1.5691104	1.4014409	941.9284093379974
13	2837.6042	43.478386	2879.7747	2774.8127	3109.5032	99.54275	3275.6548	2912.6667	1000.0	1000.0	51999	178.18834	178.1877	-177.90422	10.909037	0.5884515	0.038049255	0.76078105	0.4783711	1.5057143	0.04922178	1.6305444	1.4068216	1022.6760129928589
14	2992.105	123.20003	3111.192	2808.459	3160.9158	78.23715	3304.6125	3057.6804	1000.0	1000.0	55999	190.18211	190.18164	-189.86638	11.01841	0.60139287	0.034695912	0.7594599	0.47472793	1.4852158	0.03624736	1.6060345	1.4183711	1103.0731830596924
15	3046.123	67.03882	3135.5579	2971.2942	3179.5298	75.68392	3256.201	3049.0007	1000.0	1000.0	59999	201.19585	201.19534	-200.84488	11.243133	0.616155	0.03653689	0.7758837	0.49433938	1.4998355	0.03556434	1.6016395	1.431893	1184.0161032676697
16	3152.6096	80.05743	3254.1577	3045.5156	3401.8914	82.74055	3502.8347	3191.7175	1000.0	1000.0	63999	211.68346	211.68304	-211.32928	11.416744	0.6279392	0.036825724	0.78121644	0.5169559	1.4578301	0.050333638	1.6025233	1.3385664	1263.1731398105621
17	3125.831	63.942287	3202.5254	3039.0427	3407.2437	74.78168	3480.7637	3213.2842	1000.0	1000.0	67999	221.14864	221.14836	-220.74475	11.851667	0.6324569	0.036418673	0.78940564	0.5211853	1.500301	0.03891537	1.6124363	1.3768121	1344.6866166591644
