Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
22	119789.516	205.667	120053.67	119478.57	120203.06	104.37682	120392.25	120078.35	1000.0	1000.0	87999	10460.825	680.927	12451.909	6191.999	10460.823	680.9472	12911.096	6356.7573	44.94191	6.6927876	89.26642	5.2800274	-10454.612	3058.5947	1861.1118552684784
23	120043.305	76.60198	120164.4	119961.58	120177.95	88.534775	120295.336	120047.81	1000.0	1000.0	91999	10520.666	667.40784	13754.825	7019.4355	10520.662	667.3977	13344.999	7368.8623	44.86504	7.0253205	81.59209	4.783415	-10513.622	2895.9954	1945.8090376853943
24	120151.17	168.58083	120253.38	119859.26	120260.164	107.08071	120345.984	120055.6	1000.0	1000.0	95999	10564.429	662.0527	12599.259	7790.543	10564.425	662.092	12400.617	6450.4834	45.204117	6.9687634	85.736885	0.8613701	-10557.721	2702.4204	2033.023363828659
25	120171.516	120.91266	120337.83	120023.61	120277.58	120.274254	120464.47	120078.62	1000.0	1000.0	99999	10603.97	651.1275	12769.14	5414.172	10603.97	651.13806	13272.01	4820.5146	45.710384	6.857115	73.17092	5.681181	-10597.208	3280.1238	2120.0145361423492
26	120080.85	264.41043	120363.945	119647.24	119675.83	46.113148	119755.15	119621.66	1000.0	1000.0	103999	10639.138	640.28503	12359.391	7982.9014	10639.143	640.20197	12225.895	7774.373	45.521606	6.706084	77.24553	6.385935	-10632.337	2410.7148	2207.2575409412384
27	120038.9	97.46204	120154.34	119885.08	120136.73	58.59223	120205.305	120035.73	1000.0	1000.0	107999	10670.314	630.5945	12613.389	7384.665	10670.316	630.5714	12048.858	7620.633	45.728867	6.388739	79.22108	5.871807	-10662.54	2668.84	2293.213665485382
28	120036.555	97.55233	120156.164	119901.195	120273.734	130.19917	120566.62	120164.69	1000.0	1000.0	111999	10697.258	620.7842	12384.657	7184.686	10697.265	620.7522	13112.632	6861.353	45.975704	6.534096	78.05796	5.043234	-10689.81	2759.578	2378.4635887145996
29	120144.09	53.716434	120208.586	120067.61	120271.48	102.3914	120446.1	120145.04	1000.0	1000.0	115999	10725.7	605.3472	12240.178	6333.0605	10725.703	605.355	12214.809	7309.738	46.26991	6.678646	72.49242	7.5482903	-10717.415	2455.3765	2463.299186706543
30	120117.47	57.550686	120205.27	120043.93	120163.55	40.56151	120219.73	120104.375	1000.0	1000.0	119999	10741.832	601.6986	12586.764	8043.294	10741.825	601.6998	13194.54	7779.9863	45.99102	6.624957	70.751945	7.398142	-10733.307	2338.3962	2548.997414112091
31	120097.7	37.85882	120148.49	120044.9	120167.67	59.16439	120259.92	120051.87	1000.0	1000.0	123999	10757.67	596.7131	13389.332	5310.694	10757.7	596.46423	13047.155	7330.9673	46.28684	6.395733	76.97514	7.7384872	-10746.907	2659.107	2634.564354658127
