Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Averagepi_penalty	Stdpi_penalty	Maxpi_penalty	Minpi_penalty	Averagesh_penalty	Stdsh_penalty	Maxsh_penalty	Minsh_penalty	AverageQ_penalty	StdQ_penalty	MaxQ_penalty	MinQ_penalty	Time
16	985.4617	583.6346	1747.598	292.62967	629.7176	181.77185	1077.932	453.2455	1000.0	1000.0	63999	104.07842	39.67009	249.70659	-69.44028	104.07846	39.668427	251.98569	-70.998215	-104.68499	8.956608	2.215518	0.025768064	2.3029668	2.1095068	0.13016778	0.040720426	0.34397566	0.017471626	4.766446	0.47994122	6.5508313	3.3262088	1616.5345332622528
17	540.5274	223.41516	767.42206	308.92834	640.9112	201.05132	938.9068	353.98013	1000.0	1000.0	67999	105.32943	38.056515	252.36005	-80.32062	105.32975	38.05583	248.76794	-79.51777	-105.742874	9.338754	2.2314322	0.027123092	2.312224	2.11025	0.12770692	0.04072728	0.31880346	0.01777842	4.4755607	0.45267695	6.2317176	3.036203	1719.3599078655243
18	532.79364	98.344635	672.0406	402.69638	524.4751	246.69777	1034.6478	320.53793	1000.0	1000.0	71999	103.08255	40.82019	250.35936	-92.77753	103.08255	40.819443	248.57556	-93.79201	-103.47215	10.088501	2.2425482	0.027444368	2.3304813	2.1393893	0.12627229	0.040555034	0.32322362	0.0142804	4.17422	0.44673318	5.878362	2.8015935	1822.414054632187
19	608.5458	195.37526	893.1774	348.57602	469.01132	103.197174	648.11444	380.04086	1000.0	1000.0	75999	100.4397	42.43399	246.589	-161.61703	100.4397	42.433964	248.1395	-166.24258	-100.7486	11.393641	2.2254903	0.026985457	2.3135004	2.1275876	0.13200945	0.041439936	0.3215247	0.012389686	4.067807	0.39103806	5.4758825	2.8488998	1925.4137485027313
20	501.19623	60.59805	577.9391	410.4074	668.7926	227.49895	1244.6953	313.38165	1000.0	1000.0	79999	98.39944	44.132626	252.18166	-181.9934	98.39961	44.132507	252.51108	-181.9138	-98.76935	13.362959	2.2226357	0.027257921	2.3166015	2.1167233	0.13454361	0.042692274	0.3385854	0.0149283055	4.434068	0.5057979	6.815376	2.8467233	2026.9935433864594
21	699.7022	317.41516	1221.4911	431.55127	534.9152	241.16896	1025.3964	175.09436	1000.0	1000.0	83999	100.53568	46.88762	298.53326	-165.93103	100.53546	46.889194	299.43872	-166.37158	-101.00942	13.461741	2.2101426	0.02888826	2.322524	2.1092017	0.13127543	0.041153196	0.30028346	0.011426867	5.3585176	0.5687628	7.411879	3.621571	2129.0887043476105
22	674.9247	148.12054	925.47186	557.11273	1362.8925	599.40405	2046.7385	262.13593	1000.0	1000.0	87999	101.73539	50.393204	321.2011	-176.60774	101.73546	50.394047	320.5916	-173.00694	-102.07035	12.968772	2.1905289	0.0280335	2.2866392	2.0916696	0.1339046	0.04151743	0.3432493	0.012803134	5.736523	0.6247142	8.311777	3.9582722	2232.2674696445465
23	965.34827	423.85565	1671.6276	611.2939	645.5545	219.01598	1065.9427	393.2489	1000.0	1000.0	91999	101.15154	49.85453	323.57208	-181.24388	101.15214	49.8529	324.58548	-186.28827	-101.46586	11.841313	2.226624	0.03079999	2.3238611	2.125226	0.13331035	0.040262867	0.34726995	0.017661639	5.669839	0.61149263	8.941622	3.5740993	2334.4280195236206
24	618.14075	223.79556	900.8654	393.96695	896.1616	122.066345	1038.5662	600.2852	1000.0	1000.0	95999	99.95852	49.349068	336.93848	-195.35065	99.95824	49.349342	340.06873	-189.98601	-100.22928	11.263076	2.2507071	0.025910117	2.332017	2.14573	0.13495749	0.040952444	0.3257355	0.01823246	5.1942754	0.5472838	7.531102	3.4210265	2437.310695409775
25	683.70734	92.92751	807.98755	550.9125	667.80725	379.03958	1385.624	319.7116	1000.0	1000.0	99999	98.90722	50.34732	339.811	-211.95079	98.90673	50.350166	338.05026	-203.20398	-99.222404	11.639026	2.2357903	0.025522351	2.3170578	2.1453817	0.13368247	0.04032696	0.31823987	0.018062694	5.3299065	0.5522713	7.3630958	3.7211597	2540.0679993629456
26	947.1813	423.27512	1469.7834	427.99408	531.46594	26.366161	588.2212	493.8371	1000.0	1000.0	103999	99.10719	51.000736	317.78244	-206.24661	99.10682	51.00183	317.61935	-204.14827	-99.39383	10.959853	2.2198608	0.028182168	2.3060818	2.10816	0.13384892	0.04280382	0.37733784	0.01676657	5.5708427	0.5564554	7.5752673	3.9105213	2643.0501685142517
27	715.30054	100.297195	887.1673	644.1118	665.7746	37.46038	724.484	587.94617	1000.0	1000.0	107999	98.46404	51.73631	305.76047	-223.04227	98.46398	51.73625	307.83905	-215.5648	-98.72211	10.629169	2.218747	0.027519703	2.3162303	2.1176815	0.1294328	0.04005409	0.34247717	0.012997336	6.0217648	0.61593515	8.436185	4.1913557	2747.0035135746
28	664.0432	44.753613	733.5456	621.6225	708.85516	30.058096	727.2721	619.6322	1000.0	1000.0	111999	99.26616	50.559143	292.69724	-200.91115	99.26622	50.55997	297.24203	-195.61455	-99.57106	10.026056	2.227665	0.0271358	2.324801	2.1231024	0.12797792	0.040908393	0.3284124	0.014358253	6.653505	0.68510485	9.1338625	4.403946	2849.557032108307
29	693.00415	74.400734	777.9695	602.0398	685.6716	14.630531	716.8865	668.6457	1000.0	1000.0	115999	97.90593	50.939735	288.32993	-179.77731	97.90604	50.940052	288.6902	-181.714	-97.98882	9.6682	2.237009	0.02748364	2.3248034	2.138617	0.13142902	0.0427817	0.32700476	0.013664107	6.776985	0.72398365	9.906418	4.4580474	2951.3117673397064
30	657.2809	56.62272	750.3006	601.3393	753.6514	61.536785	800.97766	582.4216	1000.0	1000.0	119999	94.74562	52.85036	292.36142	-165.06696	94.74539	52.852394	291.1949	-162.44635	-94.852325	9.621533	2.201867	0.03208189	2.3133483	2.0625644	0.12909147	0.041830495	0.34074017	0.013674191	6.7632394	0.69155794	9.581312	4.4558964	3052.8643612861633
31	739.5862	72.26454	855.03235	655.8357	682.6329	2.4928424	686.7401	677.9781	1000.0	1000.0	123999	93.2504	53.90405	289.8014	-175.85121	93.25039	53.90488	290.41687	-175.28857	-93.399414	9.200829	2.2251875	0.029111395	2.334399	2.1186357	0.12968318	0.04101744	0.32933575	0.014070159	6.646635	0.64937514	8.812688	4.5038514	3156.1978509426117
32	714.48553	99.58252	885.55566	640.8079	620.53265	117.81371	845.43677	430.17804	1000.0	1000.0	127999	92.29939	54.63607	279.1595	-155.20253	92.29914	54.63609	281.50348	-156.2583	-92.4358	8.524261	2.2393935	0.029112386	2.3344834	2.1271858	0.12575161	0.040715758	0.3695958	0.013331048	6.595288	0.6209828	8.861058	4.1674123	3258.339118003845
33	822.3279	298.4394	1339.0822	638.04724	721.4276	8.0931835	732.1251	703.92755	1000.0	1000.0	131999	90.97333	55.82542	281.79636	-160.57605	90.97296	55.826637	282.34488	-164.82755	-91.07837	8.77985	2.2426732	0.026711412	2.3252356	2.1291716	0.12637454	0.04091699	0.3341707	0.012912939	6.205009	0.5443859	8.30985	4.364247	3361.827396631241
34	873.57996	230.05699	1271.819	731.4722	657.01984	11.235675	671.28656	636.2586	1000.0	1000.0	135999	88.80443	57.192066	281.18134	-174.14137	88.80472	57.1929	278.57904	-175.67639	-88.86851	8.428744	2.2707462	0.025054736	2.3566313	2.1784537	0.124937735	0.04108596	0.30248126	0.0127249155	6.162749	0.52942353	8.3155	4.558711	3464.9490370750427
35	751.081	108.05449	926.2973	660.16284	661.28625	17.858284	692.0521	632.30365	1000.0	1000.0	139999	87.17751	58.117287	277.63733	-150.46947	87.17764	58.118023	278.55963	-147.2007	-87.21835	9.072933	2.2769337	0.024366338	2.3741918	2.185206	0.12393428	0.041792076	0.38673234	0.012881021	6.592618	0.5960994	8.751197	4.5026135	3567.265281677246
36	725.5074	63.884785	829.24316	654.7307	652.2792	47.988384	785.5959	617.18304	1000.0	1000.0	143999	86.01724	59.14486	274.56433	-161.1963	86.01715	59.145702	273.78915	-159.83325	-86.09073	8.893582	2.2781708	0.024937904	2.3662996	2.1867485	0.12211908	0.041346062	0.31189668	0.011282923	6.642424	0.5506526	8.787231	4.9072943	3669.8820962905884
37	769.72327	79.848755	852.21515	683.0525	805.4056	170.54442	1063.5214	593.1911	1000.0	1000.0	147999	84.72219	60.87881	281.28156	-157.55705	84.72221	60.879715	280.3138	-156.82262	-84.780624	8.813554	2.2630868	0.028369404	2.3510294	2.14805	0.117596075	0.039066628	0.28991792	0.011176769	6.5416694	0.54342264	8.774409	4.6726274	3773.2663881778717
38	787.1555	159.26993	990.7453	584.42773	839.1001	241.85838	1548.0155	707.7986	1000.0	1000.0	151999	84.36341	62.461685	285.5319	-168.73459	84.36357	62.461365	286.45496	-164.11003	-84.45772	8.987712	2.275144	0.025740102	2.3765025	2.1777945	0.11800029	0.039741524	0.35658845	0.011465515	6.1515975	0.49960968	8.166002	4.609774	3876.866886615753
39	1154.0786	446.68127	1663.6107	680.3375	835.0094	7.221532	847.72876	825.33936	1000.0	1000.0	155999	83.534485	63.225014	280.1023	-173.64235	83.53461	63.22522	282.25375	-177.38608	-83.589645	9.486623	2.27724	0.026010435	2.3588743	2.177809	0.12090993	0.04123224	0.39173287	0.011101354	5.7049885	0.48082924	7.948892	4.267834	3978.698149204254
40	953.42053	543.45087	1809.7344	300.27832	715.0654	135.20515	957.2203	538.78217	1000.0	1000.0	159999	83.60582	63.632366	284.55746	-195.21432	83.60607	63.632572	288.21884	-194.09001	-83.72227	9.27606	2.2357512	0.043762133	2.3615367	2.0890987	0.1294943	0.03940576	0.3822089	0.012449003	4.933113	0.49363858	7.3009343	3.60627	4081.7740507125854
41	910.4418	382.86023	1389.7983	350.16797	937.6743	285.43726	1758.8431	755.9836	1000.0	1000.0	163999	83.575905	65.63966	287.45258	-175.04282	83.57605	65.64001	289.4695	-179.22725	-83.61159	9.318723	2.2406306	0.046208613	2.349225	2.0976985	0.1241732	0.043056916	0.322085	0.010210718	4.572807	0.3818035	6.3980885	3.3009672	4184.504919052124
42	904.0718	35.36592	963.2641	872.5596	1070.0295	524.1154	2039.6323	708.66	1000.0	1000.0	167999	83.65312	67.3113	289.23804	-203.20761	83.65303	67.311455	289.51477	-202.13536	-83.717094	9.512682	2.2913082	0.02439816	2.3749514	2.200217	0.117429204	0.038663857	0.2807421	0.013669559	4.55487	0.37289983	5.906312	3.0271957	4287.471626520157
43	802.8122	98.46612	967.1101	710.57684	1213.7391	371.3913	1839.7916	759.2238	1000.0	1000.0	171999	83.34003	68.652725	293.60767	-198.39856	83.33994	68.65353	294.6853	-188.70068	-83.37716	9.729955	2.3065283	0.02346493	2.3799448	2.2231088	0.12070604	0.04095525	0.32135096	0.012149906	4.333477	0.38970014	5.9029875	3.1987884	4389.071616411209
44	1147.6996	309.60904	1632.3463	852.4969	925.9969	18.713633	969.3417	895.1726	1000.0	1000.0	175999	83.32851	69.35541	290.73172	-179.37282	83.32863	69.35473	288.92685	-176.36836	-83.38895	9.835473	2.299367	0.025206396	2.3815806	2.1989737	0.11950789	0.040167466	0.3100127	0.012686213	4.262391	0.43453485	5.712836	3.0088282	4491.168080806732
45	941.5111	50.31082	1002.77856	884.05817	1481.8777	472.8396	2062.42	751.09827	1000.0	1000.0	179999	82.84532	69.89385	271.43918	-182.87175	82.84547	69.89443	273.39624	-175.52954	-82.81519	9.465158	2.285729	0.025784736	2.3822594	2.180685	0.11685501	0.0384184	0.27395964	0.013901218	3.9334893	0.41930336	6.0966907	2.5155692	4594.220932483673
46	806.12286	82.01722	932.1478	703.5433	1162.406	286.38705	1891.4596	952.3866	1000.0	1000.0	183999	82.21494	71.164604	269.53607	-181.79024	82.214806	71.163376	272.67715	-174.271	-82.229065	9.247346	2.285946	0.026611093	2.3705363	2.170541	0.11594643	0.04014832	0.32032853	0.012476353	3.687058	0.40703288	5.1717095	2.486092	4696.9260013103485
47	926.0866	73.53039	979.88165	799.48145	930.88367	20.114794	960.66925	900.54785	1000.0	1000.0	187999	81.99983	72.07586	268.7958	-192.71164	81.99967	72.075935	267.70572	-190.9828	-82.017	8.869364	2.2806559	0.025775138	2.3669825	2.1747305	0.11425331	0.0387887	0.3190264	0.010519316	3.4925268	0.40068212	5.2650757	2.237857	4799.28299331665
48	917.3197	27.60502	952.37305	878.92816	1165.8978	244.78291	1874.0684	981.6342	1000.0	1000.0	191999	81.4789	72.931	270.11337	-193.293	81.47919	72.9306	272.51294	-187.42053	-81.46217	9.020481	2.289289	0.024855755	2.3674748	2.1979232	0.110459164	0.037476588	0.2867094	0.0138682835	3.4333394	0.41036907	4.90974	2.0876606	4899.683519363403
49	1009.93146	96.40606	1173.4849	935.5262	1006.1776	153.1293	1361.0073	864.41156	1000.0	1000.0	195999	80.75111	73.81065	275.9544	-202.89372	80.75116	73.81076	274.29974	-207.35289	-80.724945	8.733211	2.295045	0.024003074	2.3660216	2.196908	0.11387753	0.039097477	0.2969094	0.010924866	3.2950485	0.39677846	5.165229	2.202825	5000.872575044632
50	930.8874	94.79329	1046.1062	784.6155	934.9406	14.0367775	950.17773	901.95026	1000.0	1000.0	199999	80.32049	74.366135	280.6124	-207.40308	80.32069	74.36602	275.39584	-202.89392	-80.30102	8.672264	2.3078558	0.022859069	2.3781898	2.2201953	0.11312376	0.039204344	0.30578825	0.012845617	3.3494081	0.39285445	5.1321936	2.117034	5104.04545879364
51	955.24097	37.649372	1001.5542	896.87823	973.9872	7.334535	988.18384	959.19867	1000.0	1000.0	203999	80.15461	75.27652	277.27652	-199.7219	80.15497	75.27575	276.71414	-191.97661	-80.13948	9.03516	2.316749	0.021831382	2.383912	2.226897	0.11311438	0.038655747	0.2855785	0.011174602	3.8138332	0.3932877	5.4367185	2.6163344	5208.416641950607
52	1058.7993	112.308136	1250.0878	962.353	1993.9812	341.80496	2425.4658	1391.7318	1000.0	1000.0	207999	80.32232	75.89745	285.01746	-211.16148	80.32223	75.89673	284.197	-211.32533	-80.366684	9.097845	2.3087807	0.02588887	2.391126	2.1880283	0.115867816	0.040721763	0.33538428	0.012339672	4.1625853	0.39156005	5.6398377	2.9490361	5311.029438734055
53	1615.518	315.0151	1939.1072	1141.5911	1780.376	308.20065	2195.5552	1168.0931	1000.0	1000.0	211999	81.14315	76.80122	283.61862	-184.57918	81.1431	76.80082	282.0266	-183.42685	-81.210594	8.788949	2.2563417	0.028395016	2.3522913	2.1382961	0.11656353	0.042287912	0.3997298	0.011703402	4.0856767	0.38392162	5.5372887	3.0037966	5413.500447750092
54	1932.6841	257.60062	2273.7114	1573.2902	1143.0026	134.53456	1352.4342	1027.6571	1000.0	1000.0	215999	81.60602	77.80315	278.37595	-170.32198	81.6064	77.803566	280.87796	-163.79134	-81.663795	9.01564	2.1970868	0.040123027	2.3226817	2.0357344	0.11377922	0.03680779	0.29112506	0.008443559	3.9338515	0.35865706	5.412833	2.931104	5516.854746341705
55	1356.4963	340.74503	1937.6278	1092.57	1561.3772	571.2829	2554.819	1168.265	1000.0	1000.0	219999	83.80769	77.511406	280.42432	-159.47025	83.807625	77.5117	276.38757	-158.36188	-83.877785	9.717214	2.161012	0.059010465	2.2992773	1.9369178	0.12227169	0.045328375	0.4649479	0.012273076	3.8180742	0.39829722	5.3155212	2.4805744	5620.63795375824
56	1549.5916	540.788	2183.96	958.97394	2333.2224	211.47754	2551.9019	1905.0938	1000.0	1000.0	223999	84.25605	78.00636	271.18307	-163.81711	84.25626	78.00699	273.20544	-159.51218	-84.24577	9.893808	2.1592965	0.03350431	2.2755172	2.0261395	0.11351868	0.036899436	0.33715427	0.011949337	3.64446	0.41333187	5.4182744	2.3068097	5723.952589273453
57	1359.309	398.96414	2049.0522	1092.01	1992.143	338.8074	2487.597	1519.7427	1000.0	1000.0	227999	85.20384	78.99113	277.4168	-157.21236	85.20399	78.99129	280.11807	-156.43561	-85.22513	9.805211	2.1031914	0.037849776	2.20172	1.9405184	0.109813035	0.036643196	0.4234674	0.007904111	3.6719754	0.42516053	5.3492174	2.2264345	5824.605754852295
58	1333.8025	283.0653	1759.2999	990.4861	1264.9623	253.52858	1951.049	1032.57	1000.0	1000.0	231999	84.5599	79.626236	287.4791	-156.33875	84.55965	79.626114	288.1317	-155.73549	-84.489456	10.112862	2.1887329	0.031617302	2.2762203	2.045818	0.10720023	0.034286417	0.29105225	0.010468819	3.7009099	0.4402453	5.5239453	2.4089026	5925.208556890488
