Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Averagepi_penalty	Stdpi_penalty	Maxpi_penalty	Minpi_penalty	Averagesh_penalty	Stdsh_penalty	Maxsh_penalty	Minsh_penalty	AverageQ_penalty	StdQ_penalty	MaxQ_penalty	MinQ_penalty	Time
16	343.20016	262.8333	587.6923	-60.042877	-8.154706	484.6412	529.9592	-621.4496	1000.0	1000.0	63999	284.9264	53.700024	497.58975	135.99605	284.92633	53.69766	498.37817	134.26431	-286.46838	41.205902	2.2566636	0.09567607	2.5097356	1.9790432	0.30012733	0.09821238	0.6954503	0.012093512	10.056705	0.50871587	11.971684	8.62045	1755.7795133590698
17	559.02844	127.70284	719.4368	368.74072	-78.931564	472.54645	774.4447	-478.8346	1000.0	1000.0	67999	314.0453	29.51227	435.06772	176.9233	314.04538	29.509083	439.44794	177.64214	-315.1015	28.87117	2.0784693	0.1169898	2.4117742	1.748883	0.26946184	0.086547434	0.51166683	0.01230657	9.255555	0.5295274	11.454724	7.7683764	1878.3742175102234
18	399.10522	262.78488	698.27716	6.565622	619.8727	107.95109	887.35376	457.75226	1000.0	1000.0	71999	319.73773	39.175804	432.6729	181.82762	319.73752	39.17427	437.0077	182.48386	-319.92783	19.584734	1.6007361	0.3041293	2.232698	1.0605781	0.20321997	0.068185836	0.40482014	0.009745673	7.636984	0.9379329	10.265322	5.595263	2000.0353004932404
19	814.9578	84.049446	903.7046	676.5834	832.496	84.3107	954.3942	701.8741	1000.0	1000.0	75999	295.09616	44.311394	418.5555	165.44571	295.09607	44.312054	414.398	165.02257	-294.74765	12.750831	1.0586704	0.11474612	1.3399401	0.7952973	0.13601711	0.04197403	0.25159627	0.008510329	5.8883243	0.42120567	7.3867316	4.7610297	2123.302262544632
20	935.48376	32.192238	990.867	912.149	902.7197	5.855088	914.55774	896.89874	1000.0	1000.0	79999	263.71774	44.942657	383.25153	148.79648	263.7176	44.943356	387.0402	145.92436	-263.27637	9.030666	0.7386337	0.07381221	0.96849525	0.59079814	0.092460394	0.026960077	0.21286821	0.0073289536	4.98132	0.30770814	6.1853466	4.090095	2241.9447269439697
21	967.81476	19.473661	992.15485	938.32227	944.40967	33.065567	983.9069	895.0561	1000.0	1000.0	83999	235.1252	41.684532	370.32886	105.65292	235.12492	41.68607	368.8284	103.795166	-234.74289	6.5173984	0.665065	0.025555447	0.75659806	0.5733653	0.07414586	0.019296855	0.13186426	0.006812772	4.6248136	0.24639627	5.548148	3.7937307	2361.2384576797485
22	945.3559	35.601315	982.7298	891.7892	998.7757	40.195404	1077.9323	963.2704	1000.0	1000.0	87999	210.8079	39.53752	334.97363	78.80755	210.80779	39.538315	332.86984	83.75482	-210.41608	5.186804	0.56826854	0.05684974	0.7115935	0.44015083	0.059583724	0.016177338	0.10143324	0.005670052	4.155348	0.26520702	5.105875	3.3542562	2484.466545343399
23	982.1052	21.56908	1004.7951	956.54016	981.9606	5.2761793	993.5552	973.38367	1000.0	1000.0	91999	188.64738	36.679035	309.3907	57.460503	188.64703	36.680458	312.99036	53.607517	-188.26947	4.307459	0.44028723	0.02809111	0.5411456	0.35652223	0.04750953	0.011782506	0.078847654	0.0052344985	3.7172017	0.2177518	4.5805507	3.0830004	2587.209212779999
24	1031.0454	35.148132	1083.9996	991.98413	1019.2064	27.145264	1060.5586	986.2973	1000.0	1000.0	95999	169.19952	33.584743	272.3648	24.591787	169.19936	33.585518	270.25024	25.385609	-168.8456	3.68586	0.37800935	0.019974552	0.4471558	0.32293817	0.038683645	0.009586396	0.06670404	0.004728797	3.4220877	0.20197642	4.1888437	2.7868383	2693.1531534194946
25	1010.2049	19.555996	1040.351	987.50793	1003.3541	9.977105	1021.4876	991.84827	1000.0	1000.0	99999	152.86752	30.880835	246.84952	23.092148	152.86739	30.88113	246.10204	24.142189	-152.5416	3.1489058	0.34941596	0.013402631	0.4096822	0.310761	0.033444587	0.007923636	0.059698682	0.004439862	3.239736	0.17158942	3.9412212	2.7062912	2810.1275413036346
26	995.52814	1.13847	997.3572	994.2275	1058.2963	44.919327	1125.2263	987.1499	1000.0	1000.0	103999	139.67964	28.750927	211.4638	4.4457436	139.6796	28.750679	213.17918	6.4601746	-139.36804	2.8027995	0.33772492	0.01459976	0.41918314	0.29849523	0.030413354	0.0072983406	0.049604695	0.0042685354	3.1004858	0.16946255	3.7566307	2.5760577	2935.9349372386932
27	1023.3271	18.259516	1053.2463	1004.1701	1107.4388	55.30777	1182.3555	994.73236	1000.0	1000.0	107999	129.16573	26.792194	194.48003	9.1169	129.16573	26.791996	195.92596	10.182894	-128.86337	2.5416012	0.32596746	0.013350681	0.3843521	0.28811407	0.027728299	0.0065462356	0.054180242	0.0040534134	2.9927008	0.16643374	3.5309486	2.4497592	3066.593841791153
28	1119.1542	78.06632	1231.1263	1012.0922	1110.6285	79.63445	1234.6011	998.9248	1000.0	1000.0	111999	120.39158	25.343143	179.90475	0.13909078	120.39159	25.342838	178.59201	-6.850936	-120.096115	2.3986216	0.32222778	0.013025798	0.39785483	0.28248158	0.02622302	0.0061740424	0.049525794	0.003935969	2.9365473	0.16273995	3.7053556	2.416893	3183.4908781051636
29	1141.1199	30.96656	1172.5371	1089.9816	1184.8518	76.58508	1303.3982	1069.5142	1000.0	1000.0	115999	113.70336	23.929186	162.61105	-5.7335057	113.70325	23.929337	163.7363	-6.7211943	-113.425316	2.1572366	0.31996128	0.012134243	0.3777751	0.28094974	0.024941575	0.0057533393	0.040825404	0.0038573965	2.8956711	0.15820114	3.6820319	2.3895645	3291.592285633087
30	1185.9362	74.806015	1276.4441	1109.8849	1270.9788	70.642784	1343.7745	1087.9231	1000.0	1000.0	119999	108.57297	22.988008	154.41333	-3.6820254	108.57294	22.987925	157.68004	-3.7150457	-108.31207	2.1037788	0.3212603	0.012929702	0.37788174	0.2827608	0.02402148	0.005489459	0.05427492	0.004025935	2.9316347	0.15635861	3.5712664	2.4461951	3409.1682958602905
31	1209.0903	124.25165	1411.5203	1103.7529	1135.7175	40.026028	1211.6512	1083.9353	1000.0	1000.0	123999	104.95061	22.173595	148.57216	-18.764626	104.95064	22.173222	149.05147	-12.111805	-104.69051	1.9727464	0.3357689	0.012659163	0.3975629	0.29723778	0.024099847	0.00548141	0.04160716	0.0040504686	2.994645	0.15834266	3.6138103	2.4803526	3529.831910610199
32	1213.5103	143.78854	1458.9858	1092.0996	1458.773	28.478848	1501.8944	1423.5919	1000.0	1000.0	127999	102.49634	21.550076	136.61443	-10.341613	102.49633	21.550222	139.71901	-11.527479	-102.24973	1.9109602	0.34671557	0.016285889	0.42709288	0.30062902	0.024186881	0.0055805007	0.04029569	0.0040741395	3.0779996	0.1676722	3.8133657	2.5370727	3657.803126335144
33	1451.2717	21.229418	1474.9855	1424.7896	1537.5391	15.314829	1562.5499	1513.4801	1000.0	1000.0	131999	101.39199	21.48586	132.7592	-14.622332	101.39187	21.485857	132.50627	-8.054185	-101.14858	1.8251843	0.3663148	0.013260906	0.4229367	0.32371244	0.025150256	0.0058562467	0.050924834	0.0042773085	3.183288	0.15336178	3.902784	2.738706	3779.3608553409576
34	1602.6503	20.423903	1637.6538	1587.2953	1606.9485	29.89604	1664.4662	1550.6012	1000.0	1000.0	135999	101.2539	21.53308	131.64343	-11.725561	101.25389	21.533173	131.37766	-7.8654523	-101.01929	1.7981688	0.38411865	0.013915125	0.43741608	0.34022728	0.025624527	0.0057703997	0.04212396	0.00445951	3.2858033	0.15691145	3.9854174	2.779124	3882.55939745903
35	1603.6158	17.261732	1631.6345	1585.8457	1529.0374	34.85774	1598.1552	1485.1901	1000.0	1000.0	139999	102.48319	21.988464	135.432	-13.048849	102.48307	21.988554	134.59845	-11.027111	-102.264915	1.8727978	0.43490475	0.01880519	0.5023852	0.36676845	0.027986892	0.006309237	0.044973	0.0046732267	3.5469596	0.16345993	4.2382684	3.013332	3996.2831296920776
36	1618.8534	84.15605	1751.2438	1518.7367	1796.9033	41.923553	1850.1122	1717.5402	1000.0	1000.0	143999	104.6673	22.871778	138.30893	-3.0786297	104.66719	22.871946	138.19418	-3.4742365	-104.45051	1.8663825	0.46809047	0.0174182	0.53916115	0.41216666	0.029553464	0.00657239	0.047301695	0.0049803294	3.6374571	0.16262744	4.380141	3.110162	4117.020064353943
37	1736.7699	77.66154	1821.5262	1655.8839	1700.4059	35.47786	1783.1107	1648.8732	1000.0	1000.0	147999	107.83486	24.050947	146.0149	0.6664617	107.83483	24.051182	145.17458	0.087786674	-107.629654	1.927751	0.52270776	0.022247264	0.6053754	0.44119826	0.032616645	0.0072634635	0.058572356	0.0053066593	3.8285108	0.15997994	4.4180865	3.2691095	4215.352904558182
38	1746.0673	44.354538	1796.3212	1689.1149	1797.4404	24.982506	1835.864	1757.7307	1000.0	1000.0	151999	111.75537	25.390575	148.36569	3.3528512	111.75529	25.390636	148.80235	7.1051445	-111.54813	1.9531987	0.54450804	0.019352665	0.6145993	0.4784374	0.033919457	0.007712549	0.05468751	0.0054175793	3.900942	0.16966887	4.4894967	3.328518	4332.554672956467
39	1808.953	72.02061	1896.7368	1698.3738	1977.7917	46.894855	2042.1519	1883.9691	1000.0	1000.0	155999	115.09824	26.21577	153.69194	9.2408085	115.09836	26.215685	153.57562	6.1936193	-114.89302	1.9701296	0.5425408	0.029382883	0.6476568	0.46662778	0.034079894	0.008056486	0.07437009	0.005448285	3.956716	0.20814976	4.659383	3.3893933	4455.986232757568
40	1633.5294	374.2746	1914.8829	993.75916	1602.2078	18.574791	1625.8717	1562.4261	1000.0	1000.0	159999	119.57729	27.880945	158.53694	5.8837833	119.57728	27.881151	158.85036	6.699133	-119.40163	2.054629	0.6200494	0.030669743	0.71532017	0.5369944	0.037906393	0.00851749	0.06910787	0.005899609	4.1612873	0.18613586	4.907285	3.5680058	4579.5889456272125
41	1859.5991	98.426025	1971.5908	1708.8398	1752.8125	157.38972	1847.6442	1286.3334	1000.0	1000.0	163999	124.18336	29.214037	162.9245	10.527548	124.18329	29.214336	162.18979	12.073364	-123.97832	2.1550214	0.61225694	0.022066519	0.70432365	0.5475168	0.03870656	0.008808069	0.06384888	0.0057476233	4.1577063	0.19797616	4.8437266	3.5846393	4693.87267947197
42	1940.3563	163.74406	2073.212	1663.9008	2051.2642	366.06784	2253.598	964.7348	1000.0	1000.0	167999	128.35988	30.034712	168.19408	15.55668	128.35999	30.03473	168.08138	15.464932	-128.15706	2.231464	0.64671326	0.032273285	0.7419305	0.5548508	0.04074022	0.009543765	0.07350978	0.0057273535	4.250907	0.18565384	4.873717	3.653921	4809.911513566971
43	2079.0562	70.0538	2142.5215	1960.4868	1717.4655	382.2098	2338.1677	866.9006	1000.0	1000.0	171999	133.38722	31.41817	175.7778	17.294985	133.3871	31.418545	175.16064	17.426348	-133.21893	2.5529618	0.7121141	0.051030956	0.8408263	0.5962992	0.045985702	0.011147326	0.07998803	0.005962771	4.5351424	0.25194973	5.435702	3.72956	4925.94983458519
44	1741.88	574.80554	2469.6523	860.51337	1173.8109	439.83704	2251.334	847.7116	1000.0	1000.0	175999	140.02893	33.483475	183.20813	20.335398	140.02884	33.484104	184.44481	18.32483	-139.87766	2.9329023	0.779611	0.03210166	0.8997538	0.6786428	0.05039515	0.011945753	0.080049664	0.0064767045	4.7860303	0.21865267	5.6150928	4.0589566	5046.233822345734
45	1162.5438	204.405	1362.4501	839.34	1350.7036	397.14804	2098.667	835.76086	1000.0	1000.0	179999	147.10867	36.593483	195.41125	21.21106	147.1086	36.593826	195.70462	18.273613	-146.96407	3.6071386	0.8370585	0.037633833	0.96609974	0.71812177	0.05649774	0.013917295	0.10907693	0.006685126	5.0307155	0.24056667	5.9134727	4.32128	5162.72602057457
46	1197.5299	370.64194	1800.0172	809.3356	2159.8213	568.8348	2852.1174	1313.8375	1000.0	1000.0	183999	153.84138	40.226254	206.75337	12.198501	153.84166	40.226074	207.3295	18.96579	-153.702	4.0961137	0.8822723	0.031714816	1.0124217	0.7694225	0.061791763	0.015352917	0.11597231	0.006929708	5.2334332	0.22631317	6.3232183	4.47348	5269.748207569122
47	2214.961	697.0914	2757.9407	1026.6643	1787.5615	511.347	2408.3096	990.194	1000.0	1000.0	187999	159.2498	43.024715	224.11034	21.898304	159.24976	43.0243	224.28445	24.8989	-159.07455	4.3009143	0.8397987	0.02910512	0.9538784	0.73804253	0.05947789	0.01424648	0.09174496	0.0068732332	5.0690284	0.23734441	5.9455557	4.268361	5385.526031732559
48	1615.2966	609.9724	2557.6194	1073.548	2115.064	517.16614	2685.148	984.8797	1000.0	1000.0	191999	163.46297	46.121048	236.34651	24.03295	163.46326	46.12073	235.80943	21.641918	-163.31369	5.200404	0.8731736	0.0355099	1.0010983	0.7559477	0.06454989	0.016381945	0.11673292	0.0065669543	5.3121386	0.28587553	6.4725256	4.498755	5495.741716384888
49	1288.2234	271.1753	1710.4982	979.0468	1484.9667	427.23862	2224.2869	926.80206	1000.0	1000.0	195999	168.78566	50.25635	255.71036	23.56942	168.78564	50.25653	255.73405	18.483702	-168.6804	6.608373	0.9399457	0.04685633	1.0831172	0.79568243	0.076303676	0.020035716	0.15328948	0.0074681756	5.6386395	0.3151194	6.7880673	4.58211	5617.222739934921
50	1592.5762	465.64813	2286.7449	1096.9362	2813.0774	94.55156	2940.4475	2643.8328	1000.0	1000.0	199999	176.2551	54.855206	260.15665	7.1661696	176.255	54.855602	261.69376	3.7351906	-176.20694	7.850801	1.0304551	0.039954666	1.1601057	0.9133321	0.08482802	0.022891333	0.19116466	0.008088684	5.90763	0.2858069	7.022568	4.946738	5732.647728681564
51	1334.4623	448.08032	2098.7998	952.9135	1819.2566	772.6766	2867.3767	771.1043	1000.0	1000.0	203999	182.90347	58.513588	270.36197	21.812744	182.90344	58.513687	270.1431	18.73184	-182.82999	7.371271	1.0071169	0.035919026	1.1439295	0.89034414	0.08338605	0.022776142	0.17763664	0.007981557	5.925456	0.30698875	7.016874	4.954515	5843.741207361221
