Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
22	447.35828	55.42375	528.6753	372.50638	636.5978	204.24605	952.0182	459.16998	1000.0	1000.0	87999	116.58802	44.06745	344.2414	35.21228	116.58792	44.064552	345.96942	34.36037	-0.063568555	2.0334642	14.377054	-10.871725	-117.14794	5.9769287	1586.9716262817383
23	723.5176	94.45523	844.81494	585.43805	688.7903	6.721492	698.5158	680.3998	1000.0	1000.0	91999	110.78697	45.3728	351.13388	21.86858	110.78725	45.37105	348.04855	22.752714	0.36550918	2.2778678	17.910046	-12.1028	-111.652565	7.8857455	1659.8490035533905
24	654.15283	52.549274	726.2553	584.3882	587.5701	125.72447	698.34753	424.37027	1000.0	1000.0	95999	121.31184	40.04636	315.7432	13.4775	121.3127	40.043694	320.86795	19.630426	0.8302626	2.2317564	16.962048	-11.978275	-122.63649	8.699344	1732.387621641159
25	545.7513	110.44395	717.82214	427.2326	479.87848	5.6410446	485.4549	467.8977	1000.0	1000.0	99999	119.74642	40.843147	270.54434	-17.212585	119.7467	40.843315	277.8249	-9.67062	-0.014309702	2.004911	13.86627	-10.114431	-120.43577	6.268294	1806.1340737342834
26	476.10706	84.86015	606.1715	382.6344	635.18726	3.8294237	640.85443	628.60077	1000.0	1000.0	103999	115.51974	44.00989	263.72336	-8.238383	115.51963	44.01047	266.13605	-5.1404552	-0.3542079	1.847379	13.337477	-11.613448	-115.973	5.2591147	1879.3300359249115
27	674.97906	64.27588	746.62476	570.78284	671.20886	19.24113	696.0275	626.85614	1000.0	1000.0	107999	108.24974	45.89138	273.8195	-15.996154	108.24948	45.891083	272.80353	-13.7930565	-0.330028	1.8462898	13.910355	-10.787373	-108.69425	5.343932	1951.9147877693176
28	739.3882	67.329834	834.121	663.65204	576.67175	85.75509	714.4673	467.95602	1000.0	1000.0	111999	103.011	47.901363	287.91287	-14.514628	103.01081	47.900913	280.2294	-13.741053	-0.27165252	1.88486	16.134266	-11.734054	-103.45833	5.603341	2025.1098504066467
29	635.2914	138.25606	871.76495	524.6376	512.8464	7.0201554	527.00555	501.44077	1000.0	1000.0	115999	97.27071	49.63106	277.2553	-32.31138	97.27051	49.63153	275.66525	-28.04205	-0.34327352	1.8737954	16.876122	-11.091627	-97.64374	5.578881	2098.112226009369
30	503.71936	20.072634	536.02924	480.8481	578.4106	3.2411067	581.7837	572.3621	1000.0	1000.0	119999	92.1628	51.66681	283.8073	-30.208317	92.16242	51.666992	282.26068	-33.933685	-0.45182475	1.8495566	12.838932	-11.374656	-92.54025	5.4548635	2171.486908197403
31	580.5073	57.059288	678.98157	539.8115	539.57166	23.234787	563.1616	507.9253	1000.0	1000.0	123999	88.32646	53.89813	275.7967	-43.562565	88.32637	53.897717	273.19186	-43.765495	-0.5111609	1.8154004	10.395687	-9.972662	-88.72958	5.168051	2244.5809869766235
32	659.6842	85.128784	746.66077	560.6061	785.56055	5.365572	796.9303	779.33887	1000.0	1000.0	127999	85.81286	55.46815	270.9285	-43.867664	85.81267	55.468845	269.34924	-44.403152	-0.37835452	1.8678548	11.740957	-10.8113165	-86.27964	4.9866123	2317.6023421287537
33	733.723	61.522778	835.7843	680.4055	973.3345	9.90676	986.75165	956.9285	1000.0	1000.0	131999	86.66809	55.106697	269.63074	-31.590998	86.66808	55.10672	267.0674	-29.94966	-0.112949304	1.8863809	14.143152	-14.058917	-87.21614	4.7968564	2389.919265270233
34	915.8068	37.993954	961.29504	873.4924	921.9697	135.9854	985.25214	514.7709	1000.0	1000.0	135999	86.46354	55.11468	267.02917	-29.959862	86.46313	55.115402	267.82065	-30.568668	-0.29848266	1.9669527	13.367626	-11.783289	-86.9887	4.692669	2462.741298675537
