Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
22	496.63165	105.69344	798.1102	363.4622	561.7079	49.051548	636.4948	481.88797	98.95	110.2	87999	186.42702	91.05094	324.93796	-35.483562	186.42776	91.049416	328.32834	-33.780716	-5.92316	4.086227	37.74898	-24.030718	-187.69835	82.34009	1394.0929453372955
23	538.4406	108.00312	765.59015	362.74918	501.47266	29.231049	547.56757	463.5968	106.710526	92.5	91999	188.33401	92.142136	362.0082	-34.803177	188.3361	92.14068	339.5614	-64.53868	-5.804192	4.19287	59.060177	-23.605274	-189.62521	81.81204	1457.6206641197205
24	546.7025	135.98274	884.01416	359.67426	492.74112	54.797794	606.77856	416.1648	107.324326	92.9	95999	190.1286	92.994385	344.88974	-30.115576	190.12756	92.99447	338.75168	-33.96418	-5.787874	4.174434	98.061745	-21.75287	-191.37804	80.95763	1521.4671173095703
25	539.641	123.701645	1050.4114	333.27347	511.72186	57.875584	613.0752	431.60214	107.64865	99.5	99999	191.83972	93.80346	339.80963	-32.60691	191.83961	93.80344	340.52988	-32.904568	-5.792084	4.2350373	61.56087	-21.616558	-193.07031	82.48715	1585.5606031417847
26	556.0745	109.54709	827.86206	399.28903	559.83295	102.43657	767.99005	432.80197	110.72222	109.3	103999	193.51784	94.365105	343.3126	-32.078064	193.51982	94.365265	364.8458	-50.80482	-5.6278725	4.2760997	39.173542	-22.008656	-194.74976	84.23351	1649.524739742279
27	556.72473	150.34294	998.94684	312.21573	529.41223	46.96542	605.9341	472.6244	112.5	101.1	107999	194.9084	94.96031	339.95654	-38.416233	194.90866	94.96047	339.7436	-71.70532	-5.839224	4.2404704	28.677952	-24.119968	-196.10793	82.97188	1713.2202401161194
28	539.46344	90.83161	794.4368	394.013	584.6468	83.12231	772.6025	468.8276	107.97298	112.5	111999	196.36807	95.5147	347.3571	-24.557135	196.36794	95.515656	358.88937	-45.668556	-5.693551	4.2325697	37.376896	-21.008377	-197.54433	82.646736	1777.5242414474487
29	565.98706	106.40601	891.8852	370.06284	535.6253	80.80161	647.78577	430.27133	113.74286	103.6	115999	198.02538	96.38311	344.29022	-36.98896	198.02582	96.38267	347.16537	-32.297276	-5.6750975	4.3224087	24.196297	-22.993778	-199.22484	83.454124	1841.678181886673
30	556.92255	127.71441	965.6713	343.8189	638.0564	109.5823	902.666	515.37854	111.88571	133.2	119999	199.1764	97.23534	360.08542	-31.900476	199.17612	97.23788	353.93204	-39.797333	-5.7005806	4.2976418	39.592297	-22.617119	-200.33983	85.32836	1906.514291524887
31	591.9376	150.19289	1061.9745	342.57364	511.6883	91.48578	677.2628	376.91074	118.64706	97.8	123999	200.27927	97.560265	349.7908	-31.063679	200.27922	97.56103	358.6147	-30.670942	-5.619807	4.3201337	51.829803	-23.451279	-201.43819	84.19356	1970.5277094841003
32	586.9652	147.40321	927.69666	364.75287	588.1148	74.53347	724.98486	484.5907	116.2	116.2	127999	201.78996	98.06576	362.41574	-33.71461	201.78857	98.06879	357.57205	-55.949825	-5.6765842	4.3518457	29.077084	-21.412657	-202.91638	85.18903	2034.6690278053284
33	615.5939	150.14082	1002.1402	325.0381	577.2481	43.320892	662.41437	519.50336	121.90909	115.0	131999	203.22083	98.535355	365.97192	-30.80863	203.2205	98.53633	350.39886	-37.59122	-5.445692	4.43737	37.593792	-22.263721	-204.35226	88.08188	2098.72736787796
34	658.75555	155.75162	1013.1954	395.4505	685.2073	112.942154	913.035	575.9491	132.86667	136.0	135999	204.41156	98.84641	356.3855	-26.40819	204.41135	98.8478	368.29413	-38.105225	-5.613513	4.4293036	108.10587	-22.379574	-205.48857	88.51488	2163.6462025642395
