Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
25	5592.5547	51.22411	5642.507	5506.875	5939.7627	51.375633	6011.9434	5846.0215	1000.0	1000.0	99999	302.34534	127.61768	417.75974	-52.965767	302.3458	127.61896	417.9574	-55.314503	-305.11813	35.397243	1154.6682877540588
26	5538.4443	124.365456	5687.9497	5356.626	6076.827	19.332691	6097.9688	6038.666	1000.0	1000.0	103999	312.33145	128.538	425.74426	-55.521965	312.33154	128.5407	424.9875	-57.274628	-314.97293	35.7068	1201.9969837665558
27	5544.686	79.25209	5639.1265	5422.519	5867.144	35.362843	5912.3154	5810.154	1000.0	1000.0	107999	322.23184	128.42532	434.214	-57.347866	322.23206	128.4279	434.5399	-53.76628	-324.846	33.108665	1248.9099507331848
28	5682.4907	64.166954	5793.085	5640.0093	5663.3174	44.54746	5724.035	5582.8374	1000.0	1000.0	111999	331.1483	128.86945	442.0248	-50.978027	331.14813	128.87074	443.1405	-50.39343	-334.0728	33.6827	1296.0766298770905
29	5807.531	67.84548	5920.111	5747.9517	6226.457	48.594166	6288.3457	6126.4736	1000.0	1000.0	115999	339.78033	129.20403	451.94226	-62.893864	339.7806	129.20534	450.56595	-64.68493	-342.49847	32.112915	1343.343423128128
30	5799.677	51.62309	5863.58	5724.855	5591.712	75.64076	5677.6055	5402.4375	1000.0	1000.0	119999	348.09152	130.14168	460.86914	-65.69828	348.0913	130.1427	459.86633	-63.278946	-350.6089	32.764847	1390.4947550296783
31	5850.382	157.09001	6051.472	5657.3735	6567.6064	59.391354	6693.7734	6485.397	1000.0	1000.0	123999	356.76193	129.86497	470.6033	-68.29305	356.7617	129.8678	473.75714	-68.86468	-359.4065	32.420704	1437.6172606945038
32	6008.875	120.23214	6106.03	5807.634	6565.4844	119.997795	6805.2935	6332.9165	1000.0	1000.0	127999	365.2723	130.4307	480.9095	-67.71719	365.27216	130.4319	477.601	-66.61019	-368.0416	33.513977	1485.0363132953644
33	6056.6025	169.56653	6232.2544	5802.531	6644.1357	119.85364	6851.8325	6381.19	1000.0	1000.0	131999	373.4991	131.10542	493.70013	-60.387577	373.49915	131.10616	490.52005	-62.994434	-376.27362	34.551548	1532.4128086566925
34	6230.2046	76.45443	6312.814	6124.676	6912.764	88.29767	7012.119	6766.136	1000.0	1000.0	135999	381.942	131.71179	501.71674	-63.98612	381.94177	131.7124	501.76703	-65.755424	-384.744	35.486767	1579.7625823020935
35	6257.483	83.09635	6364.256	6140.9917	6264.6885	142.43237	6514.2646	5990.945	1000.0	1000.0	139999	389.5264	132.3186	512.53436	-63.73259	389.5264	132.31926	509.71588	-64.279625	-392.03525	36.798798	1627.007077217102
36	6420.594	166.40596	6678.801	6252.715	6776.0713	44.02643	6827.5317	6670.824	1000.0	1000.0	143999	398.12936	131.6034	519.8404	-63.032173	398.12943	131.60356	517.1418	-71.00397	-401.0214	36.560757	1674.2107019424438
37	6502.3164	73.272484	6627.3413	6446.6963	6844.4727	40.60249	6897.447	6772.6646	1000.0	1000.0	147999	406.70032	131.07068	527.27014	-54.897118	406.6997	131.07237	531.72327	-52.419304	-409.39548	37.01449	1721.4282591342926
38	6545.124	83.46351	6615.955	6403.646	6964.7954	78.22546	7142.111	6867.694	1000.0	1000.0	151999	413.90344	131.58008	532.76697	-57.88619	413.90433	131.57881	531.7559	-50.222343	-416.1325	37.090515	1768.843255996704
39	6550.387	51.0029	6606.5605	6499.104	7016.417	88.63652	7118.1567	6871.913	1000.0	1000.0	155999	421.49792	130.97733	541.5318	-43.227566	421.49783	130.97833	539.3365	-42.16121	-424.22546	38.64585	1816.202921628952
40	6564.91	132.9536	6683.1025	6339.182	6743.322	93.85514	6861.976	6545.639	1000.0	1000.0	159999	429.38956	129.76723	547.88574	-38.211197	429.3889	129.76884	550.4827	-37.306606	-432.1485	38.891514	1863.3946602344513
41	6671.157	123.2564	6777.687	6462.9546	7069.7305	146.52974	7352.23	6827.6577	1000.0	1000.0	163999	436.5807	127.95086	551.97815	-16.932693	436.58047	127.951935	552.9973	-24.951092	-439.43073	38.111053	1910.892390012741
42	6649.403	95.48542	6797.9526	6545.417	7103.134	149.41089	7332.939	6846.504	1000.0	1000.0	167999	443.31064	127.08038	558.97437	-7.2148714	443.31052	127.08225	560.38336	-9.006159	-445.89774	39.43368	1958.011262178421
43	6622.2295	172.41205	6895.9883	6435.978	7242.675	124.067085	7490.752	7017.854	1000.0	1000.0	171999	449.39423	126.23595	564.2866	-8.108219	449.39423	126.23794	563.0763	-11.245003	-452.04745	39.1762	2005.0578854084015
44	6553.47	169.32004	6729.679	6286.43	5582.2466	117.331604	5768.1196	5417.759	1000.0	1000.0	175999	455.40872	124.9903	569.09644	-12.161564	455.40833	124.992134	571.00336	-7.607194	-458.04282	38.982258	2052.3488891124725
45	6621.6235	145.08221	6842.9287	6435.686	7176.901	120.57065	7323.7344	6935.7896	1000.0	1000.0	179999	460.73935	124.90381	573.02594	9.09125	460.7393	124.90441	573.44226	6.5051584	-463.39285	38.560062	2099.54483628273
46	6696.498	144.6709	6929.386	6536.2476	7266.243	111.46563	7436.6533	7062.8306	1000.0	1000.0	183999	465.664	124.77105	576.2812	6.9782586	465.66397	124.77227	575.99176	4.298135	-468.2507	39.172237	2146.502298116684
47	6736.1836	132.61032	6896.112	6531.353	7137.63	102.25015	7334.0806	6923.4536	1000.0	1000.0	187999	471.64304	123.004036	585.099	16.553535	471.64276	123.00624	584.03076	12.243433	-474.3348	39.193195	2193.593775987625
48	6723.9736	60.417236	6808.1235	6637.7017	7392.926	84.89276	7528.5776	7220.1157	1000.0	1000.0	191999	476.38248	122.30554	591.6093	18.389605	476.3823	122.30777	593.40607	13.228858	-479.0965	40.77553	2240.45499587059
49	6913.1665	41.034443	6950.433	6843.8857	6121.3916	77.05268	6243.0493	6018.2256	1000.0	1000.0	195999	480.74423	122.530464	591.432	19.730177	480.74405	122.530334	593.36304	18.391125	-483.1221	39.644234	2287.5536255836487
50	6772.4697	113.90215	6888.302	6620.8555	7326.6084	86.733795	7456.1323	7189.685	1000.0	1000.0	199999	484.68887	122.66051	596.5312	20.63002	484.6892	122.66142	597.08734	17.834763	-486.9106	38.963516	2334.6577203273773
