Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-87.90599	54.544956	-22.769846	-164.47736	90.965546	1.3611213	93.190506	88.19031	1000.0	1000.0	3999	3.86026	5.627834	40.840687	-23.346779	-4.9474583	0.19531925	32.11412835121155
2	-106.610214	30.938408	-54.667553	-136.30135	337.7292	3.0273824	343.1484	332.70404	1000.0	1000.0	7999	61.829044	39.624992	258.10236	-14.703894	-69.13634	3.5446515	74.28899359703064
3	-38.44516	86.79634	88.57898	-143.59264	64.16866	142.32074	264.03473	-237.76396	1000.0	1000.0	11999	286.35895	102.27359	606.51245	63.970905	-304.49945	26.802637	116.44465970993042
4	-115.36916	126.34153	-20.229227	-331.9384	-66.253044	1.8174915	-63.24503	-69.45781	1000.0	1000.0	15999	461.83875	56.897327	699.9931	244.00447	-469.69962	33.846897	159.77158641815186
5	41.27507	208.23584	381.67917	-154.64409	6.435935	3.0363834	9.944802	-0.19813626	1000.0	1000.0	19999	498.58383	67.44839	1020.3666	256.0409	-506.84113	35.376774	203.22828602790833
6	21.034367	17.310274	38.6308	-5.940347	-51.57594	223.36272	305.37408	-353.29733	1000.0	1000.0	23999	691.13086	92.3075	1053.6849	353.3945	-708.27014	57.112274	246.57020545005798
7	-119.999176	77.27551	8.6768	-188.61604	-149.5201	1.7860054	-147.22308	-152.36787	1000.0	1000.0	27999	771.76294	84.61374	1078.9296	443.13138	-780.2465	41.114132	289.94928669929504
8	-5.9617844	163.2643	236.4112	-176.62772	90.341194	1.1702303	91.907394	88.10518	1000.0	1000.0	31999	733.5754	98.587746	959.05493	370.53043	-736.4332	28.104523	333.6190025806427
9	166.33604	97.728546	326.1875	83.22698	39.424603	120.60876	236.10327	-92.55517	1000.0	1000.0	35999	662.5905	65.584595	925.7494	358.38895	-667.7797	22.673082	376.9874691963196
10	105.03722	119.82	254.67172	-75.26997	-94.91955	70.66744	-59.270676	-305.09595	1000.0	1000.0	39999	636.67255	52.693115	875.8964	457.7112	-641.9316	20.82191	420.48281598091125
11	-27.89224	99.905235	131.56717	-131.22417	-226.0011	23.674307	-188.6234	-251.08658	1000.0	1000.0	43999	606.40656	49.88093	848.9141	413.83	-610.2275	19.992414	463.7997407913208
12	82.69614	82.64557	213.82043	5.2743416	190.23611	16.069065	219.47458	158.95206	1000.0	1000.0	47999	553.7396	50.870823	789.35016	373.62326	-556.606	16.71806	507.42253398895264
13	406.76657	168.09023	610.49976	179.05354	130.12424	45.69029	224.91956	51.63414	1000.0	1000.0	51999	532.17834	40.796707	765.2664	363.27118	-537.5633	16.159292	550.4517514705658
14	29.703297	50.386024	91.686844	-47.337032	90.43019	219.89154	727.5195	-57.477478	1000.0	1000.0	55999	510.3576	39.36496	780.6204	250.12186	-513.2588	11.94101	593.6080567836761
15	159.19972	156.96129	332.89178	-94.55293	353.41077	66.5399	410.4603	172.6107	1000.0	1000.0	59999	474.83585	43.192173	747.3593	251.10292	-478.19037	12.932906	636.99862241745
16	242.1723	63.15002	323.55936	161.5227	231.61604	72.37519	320.86792	104.934044	1000.0	1000.0	63999	449.4882	54.337284	680.5732	218.70949	-452.88495	12.118047	680.164124250412
17	286.51804	83.067055	423.265	200.42838	223.99646	419.0951	916.15576	-196.87257	1000.0	1000.0	67999	426.68323	59.72616	679.9949	184.2542	-429.82153	11.546614	723.3574347496033
18	969.31476	288.31387	1333.1885	547.5267	267.37744	109.68685	559.7586	143.93118	1000.0	1000.0	71999	402.26733	54.258907	658.9821	162.33948	-404.72995	10.169759	766.2031984329224
19	174.4859	138.49747	347.37164	-23.927082	291.6333	342.34995	1154.7385	-82.615906	1000.0	1000.0	75999	368.29877	48.44144	582.6049	148.1249	-370.3806	10.181193	809.5556242465973
