Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
26	30986.906	183.95346	31191.885	30752.555	31362.152	238.24599	31927.414	31171.053	1000.0	1000.0	103999	5290.915	972.57874	8128.2437	3102.0251	5290.9116	972.5433	8581.358	3535.8193	-5298.348	2939.3672	1525.2185368537903
27	30801.955	56.382877	30896.928	30748.87	31497.605	369.5178	32219.148	31163.973	1000.0	1000.0	107999	5386.799	992.53503	8558.522	2834.4927	5386.8047	992.52545	8414.12	3304.0808	-5391.823	3105.549	1585.6760284900665
28	38258.96	7411.228	45840.418	30804.45	31676.385	719.9796	33181.473	31148.375	1000.0	1000.0	111999	5489.374	1016.4281	8429.518	4114.9263	5489.366	1016.4197	8484.799	3862.1624	-5496.089	3174.4805	1644.8649311065674
29	35603.297	8327.16	50026.34	30772.51	31390.684	387.58423	32543.498	31152.809	1000.0	1000.0	115999	5628.9395	1060.2109	8558.055	4021.5547	5628.9473	1060.1672	9269.52	3766.5693	-5635.013	3364.0522	1704.537213563919
30	38140.94	7433.0176	45600.477	30700.078	31799.162	717.24866	33242.152	31164.867	1000.0	1000.0	119999	5727.926	1085.5303	8750.796	4092.2373	5727.922	1085.521	8756.299	4404.504	-5736.0854	3307.6973	1764.302541255951
31	34512.47	6297.131	45419.31	30844.91	32398.215	2621.1946	39992.082	31159.586	1000.0	1000.0	123999	5834.7188	1113.8514	8925.899	4157.753	5834.7266	1113.8174	8917.226	4471.2305	-5842.53	3360.3643	1824.0485124588013
32	35065.316	6688.0513	46620.96	30767.291	31428.11	401.37558	32395.625	31083.96	1000.0	1000.0	127999	5935.786	1140.416	9112.005	4386.5337	5935.7837	1140.4166	9104.054	4439.204	-5940.537	3602.1074	1883.662214756012
33	38480.703	7718.261	46676.12	30754.123	31584.162	606.8138	32892.566	31145.346	1000.0	1000.0	131999	6047.1274	1173.4536	9283.192	2603.3784	6047.1333	1173.4176	9227.024	3336.8867	-6054.72	3865.4631	1942.8837609291077
34	42057.934	6573.34	46727.47	30715.062	31240.082	51.473717	31321.418	31148.904	1000.0	1000.0	135999	6149.4155	1203.2028	9389.87	2846.7239	6149.4194	1203.1713	9443.369	3964.4849	-6154.921	3886.9294	2001.8586337566376
35	42724.25	7181.672	49549.895	30652.602	31586.676	456.65213	32549.824	31056.322	1000.0	1000.0	139999	6271.553	1242.0111	9573.671	4499.8184	6271.552	1241.9714	9588.608	4040.8933	-6280.0474	4154.9956	2060.7395191192627
36	38111.17	7208.789	45841.926	30822.99	31510.604	513.10535	32969.234	31105.066	1000.0	1000.0	143999	6367.007	1270.5787	10547.02	4249.8154	6367.01	1270.5487	9763.688	4348.898	-6374.6094	4105.8853	2120.365698814392
37	38316.234	7538.011	45945.94	30724.857	31608.812	669.56445	33388.816	31141.57	1000.0	1000.0	147999	6471.7153	1304.142	9851.281	4791.3496	6471.7153	1304.1094	9869.29	4777.1855	-6474.9434	4247.303	2179.8674104213715
38	38286.11	7273.9395	45659.42	30807.521	32081.863	2258.6296	38796.61	31121.555	1000.0	1000.0	151999	6553.4	1327.5797	9995.624	4172.2617	6553.3965	1327.5636	10319.605	4462.9077	-6560.737	4416.818	2239.2797899246216
39	38310.01	7408.347	45957.848	30671.107	31633.516	594.3812	32815.87	31067.445	1000.0	1000.0	155999	6635.784	1353.707	10112.687	4781.111	6635.787	1353.6882	10101.222	4953.721	-6646.716	4485.336	2299.004980325699
40	38363.832	7682.278	46133.113	30584.197	31499.918	556.0055	32983.137	31136.129	1000.0	1000.0	159999	6721.821	1382.2538	10290.683	4146.907	6721.8145	1382.2576	10465.971	4805.399	-6725.923	4896.16	2358.9683709144592
41	38319.15	7386.2925	45845.164	30727.965	31689.182	780.59985	33843.1	31172.037	1000.0	1000.0	163999	6803.8657	1406.7906	10235.447	4731.9033	6803.8706	1406.7463	10254.112	5085.8604	-6811.8623	4717.268	2418.479953765869
42	34572.63	6546.1343	45910.434	30706.094	31332.559	92.27245	31521.07	31237.076	1000.0	1000.0	167999	6881.0117	1431.7606	10374.047	5150.212	6881.006	1431.7633	10356.5625	5249.3574	-6887.723	4864.457	2478.496694803238
43	34205.42	6130.438	44823.277	30584.297	31774.246	861.0964	34041.855	31182.24	1000.0	1000.0	171999	6935.305	1451.41	10450.364	5172.539	6935.297	1451.4027	10457.698	5081.6367	-6943.4644	4826.9194	2538.063945055008
44	39830.0	9376.011	52253.03	30756.953	31283.363	134.37782	31584.45	31156.129	1000.0	1000.0	175999	6992.7974	1475.4717	10594.642	5250.2554	6992.8	1475.4667	11354.769	5251.6304	-7002.799	4943.0757	2598.226758003235
45	34560.08	6387.003	45620.633	30672.553	31597.14	594.4757	33206.676	31063.205	1000.0	1000.0	179999	7054.0776	1499.5154	10710.854	4922.659	7054.0776	1499.5264	10830.265	5302.0015	-7062.2285	5082.525	2658.184505701065
46	38126.633	7322.2324	45787.46	30746.455	31870.016	1051.2666	34950.26	31269.365	1000.0	1000.0	183999	7111.7554	1522.5614	10823.8545	5376.4756	7111.7554	1522.5059	10835.515	5162.1855	-7116.375	5196.541	2717.926317691803
47	34587.496	6658.873	46120.54	30662.93	31565.078	264.92728	31971.541	31187.068	1000.0	1000.0	187999	7168.6943	1546.0377	10915.91	5338.64	7168.6963	1546.0365	10928.912	5118.8433	-7175.752	5226.931	2777.207113265991
48	38207.74	7256.081	45570.926	30776.09	31596.566	693.32007	33513.312	31147.312	1000.0	1000.0	191999	7235.7793	1572.9052	11028.151	3517.11	7235.777	1572.8872	10985.562	4157.809	-7242.996	5583.6045	2837.028340816498
49	30758.19	13.024298	30770.682	30738.578	31420.184	382.79385	32524.857	31080.943	1000.0	1000.0	195999	7275.1313	1590.1866	11085.98	4629.6226	7275.1245	1590.1803	11152.947	4465.6577	-7279.957	5382.972	2897.1835839748383
50	38604.457	7420.177	46168.56	30787.025	31427.3	353.89774	32241.316	31134.32	1000.0	1000.0	199999	7318.1353	1611.1926	11162.149	5408.007	7318.1333	1611.1716	11158.356	5216.506	-7324.029	5565.5615	2956.7247960567474
51	34523.65	6374.827	45564.887	30786.676	31582.656	619.17755	33342.066	31139.818	1000.0	1000.0	203999	7374.7183	1636.1416	11248.818	3797.4146	7374.709	1636.1287	12387.561	4098.636	-7380.366	6009.572	3016.449104785919
52	38114.805	7234.299	45372.312	30854.06	31689.332	531.97565	32984.113	31201.951	1000.0	1000.0	207999	7414.9126	1656.2523	11316.273	4925.445	7414.9165	1656.2245	11392.564	5129.3057	-7424.5806	5989.136	3075.9261684417725
53	38286.348	7559.193	45895.01	30714.955	32024.809	902.0176	33966.13	31186.133	1000.0	1000.0	211999	7466.0693	1681.1467	11370.13	2477.4746	7466.0654	1681.1433	11407.876	5494.4263	-7468.3965	6113.0806	3135.154381275177
54	39626.805	9060.501	51145.2	30728.244	31406.615	249.47914	32124.299	31224.338	1000.0	1000.0	215999	7522.859	1709.9243	11467.361	5440.3794	7522.865	1709.8755	11481.406	5252.848	-7526.136	6110.376	3194.3867721557617
55	34537.16	6484.605	45768.715	30753.385	31741.459	802.8882	33762.332	31135.941	1000.0	1000.0	219999	7550.412	1729.4958	11694.288	5443.473	7550.402	1729.5093	11618.337	5504.4907	-7559.067	6271.264	3254.0209317207336
56	38344.688	7360.787	45924.24	30885.764	31272.36	74.91688	31430.0	31189.307	1000.0	1000.0	223999	7600.7993	1754.8375	11692.759	5533.921	7600.813	1754.7983	11706.255	5589.304	-7609.646	6403.39	3313.064891576767
57	30819.207	87.949646	30933.508	30719.758	31365.355	180.53282	31840.936	31170.037	1000.0	1000.0	227999	7637.028	1775.4799	11765.568	5238.595	7637.017	1775.464	11769.079	5366.1357	-7646.165	6763.2256	3372.9151554107666
58	30769.012	148.24686	31024.629	30665.217	31736.693	798.74786	33751.766	31172.06	1000.0	1000.0	231999	7646.8955	1787.8964	11872.71	5366.4365	7646.8896	1787.8984	11840.169	5668.4077	-7655.5596	6435.5063	3432.7664136886597
