Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Averagemmd_entropy	Stdmmd_entropy	Maxmmd_entropy	Minmmd_entropy	AverageQ_penalty	StdQ_penalty	MaxQ_penalty	MinQ_penalty	Time
1	-292.21988	159.31335	-139.70964	-559.2607	-293.60358	110.42959	-73.53052	-465.90854	1000.0	1000.0	3999	3.9033296	4.823996	26.530582	-9.010963	3.9035163	4.8242936	26.206999	-8.897308	-5.3222466	0.37609455	2.764423	0.3893887	3.5043516	0.1949435	2.2226334	0.74326444	3.6236873	1.7156762e-07	63.19747757911682
2	-247.43636	39.432106	-203.88023	-289.92606	-487.83115	151.24422	-167.35596	-638.95905	1000.0	1000.0	7999	26.994268	9.282431	55.967003	0.8259522	26.994213	9.282762	55.96144	1.2297499	-28.903028	0.8619443	3.0854082	0.042331	3.2307758	2.9227052	3.0675445	0.23698278	3.9310405	2.4774776	142.5820450782776
3	-300.27496	111.351425	-221.94504	-491.32263	684.6794	143.70831	903.3268	429.1905	1000.0	1000.0	11999	55.122826	13.617213	105.9367	20.268658	55.122555	13.616929	104.55998	19.658436	-57.25987	2.8305216	3.2293794	0.06797017	3.3630586	3.0085952	3.825184	0.38879868	5.0787287	2.943275	224.0144214630127
4	347.3653	325.90277	861.22186	-40.249504	1836.4658	186.03354	2172.3726	1455.0721	1000.0	1000.0	15999	65.96131	20.905159	127.31611	26.351341	65.96127	20.904922	127.07547	26.751987	-67.14766	2.4689023	2.8095288	0.11693954	3.1742048	2.4924622	3.229555	0.16470076	3.8519714	2.6642325	305.297315120697
5	1944.5481	394.78888	2337.14	1453.4711	1822.9459	828.56995	2705.8257	506.6259	1000.0	1000.0	19999	72.58187	31.708546	148.265	20.55934	72.582016	31.708363	148.14716	20.029636	-73.619644	3.60656	2.594377	0.06146622	2.8055217	2.3829434	3.3270712	0.20743763	4.0550847	2.7094896	384.81389236450195
6	2940.7566	277.69968	3210.7039	2576.2485	3273.9917	154.75304	3494.575	3007.6724	1000.0	1000.0	23999	88.09623	42.260468	180.31139	17.32027	88.09639	42.260162	179.8562	17.762554	-89.21556	5.4837446	2.6471212	0.051768303	2.8368564	2.4683688	3.8830612	0.291022	4.983497	3.0666232	463.4947326183319
7	3656.046	317.20395	4087.6755	3202.4734	2326.875	1184.2268	3894.211	357.38013	1000.0	1000.0	27999	110.47198	53.00282	210.33102	12.291258	110.47226	53.00149	210.05077	11.70306	-111.68239	7.9689727	2.6873736	0.04744432	2.8573177	2.5221	4.620884	0.33404577	5.6565623	3.634802	542.5659372806549
8	4224.8584	236.19672	4506.1377	3975.879	3583.8892	760.8628	4140.544	1965.5471	1000.0	1000.0	31999	137.4813	63.77201	250.40894	10.1334	137.4819	63.770176	251.07349	10.08531	-138.76712	10.500035	2.745783	0.044457294	2.9091008	2.5754461	5.462362	0.38822913	6.7491827	4.028103	621.6828331947327
9	2769.1301	1465.9792	4287.0835	908.98816	4001.2383	265.93213	4392.3086	3558.4443	1000.0	1000.0	35999	163.58675	77.37003	292.69345	4.0770016	163.5874	77.36752	292.67734	4.127645	-164.88936	14.2134	2.768614	0.042509023	2.9073277	2.6245577	6.3465858	0.43500125	7.999155	5.1178503	700.7594497203827
10	4786.6797	140.49524	4941.427	4601.611	4744.6245	90.04674	4875.589	4625.295	1000.0	1000.0	39999	191.63461	90.37882	331.1789	-3.5473683	191.63544	90.37543	330.34146	0.30836463	-192.99171	20.042294	2.766547	0.042463683	2.9127936	2.6105144	7.3443727	0.49850273	9.132479	5.795321	777.2516074180603
