Epoch	AverageTestEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet0	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	Q1Vals	Q2Vals	LossPi	LossQ	Averagemmd_entropy	Stdmmd_entropy	Maxmmd_entropy	Minmmd_entropy	Averagealpha	Stdalpha	Maxalpha	Minalpha	Time
1	-267.51694	74.85309	-157.38805	-364.56845	77.87251	84.2939	273.5435	7.150768	1000.0	1000.0	3999	-0.12279213	-0.122699365	0.2255087	0.7090129	0.2350166	0.04115536	0.394414	0.18744531	1.5927837	0.48829272	2.7842705	0.96067494	61.67028880119324
2	-208.13725	45.83953	-161.6672	-284.2906	72.92013	58.165474	212.96735	17.07615	1000.0	1000.0	7999	6.217666	6.217314	-6.6103916	2.552922	0.3356544	0.019524822	0.40697062	0.26596227	1.3860772	0.19252391	1.6228298	0.95092887	141.64264798164368
3	59.203674	457.92017	780.7784	-388.20273	1126.5359	390.9788	1567.3809	304.99704	1000.0	1000.0	11999	18.297277	18.296957	-18.761574	3.625582	0.36066768	0.019523712	0.43338695	0.2986158	1.5043582	0.10316723	1.634235	1.2328273	223.10636186599731
4	767.2133	307.37994	1245.6418	422.42514	1483.7953	342.94894	1693.1396	480.59344	1000.0	1000.0	15999	28.462538	28.462292	-28.735369	2.9280093	0.37979797	0.018104814	0.48892	0.3215976	1.2187567	0.032849316	1.2873596	1.1436678	304.6787574291229
5	1755.221	47.84121	1800.7515	1676.8701	1849.448	90.86332	1965.9712	1667.2135	1000.0	1000.0	19999	38.08595	38.085773	-38.22203	3.3662338	0.3809037	0.019214591	0.47593272	0.32583255	1.3070935	0.089909986	1.4945761	1.1577538	384.42352509498596
6	2003.1217	74.009445	2067.6628	1878.4224	2176.5806	57.43714	2254.9954	2062.602	1000.0	1000.0	23999	51.691734	51.69156	-51.719135	4.6904078	0.38404906	0.019075902	0.45498642	0.31979626	1.5251572	0.037573684	1.621732	1.4204894	464.10385751724243
7	2261.3667	87.34984	2411.0513	2193.001	2469.2192	62.017567	2553.748	2345.031	1000.0	1000.0	27999	68.13482	68.1344	-68.18056	5.8574286	0.41418934	0.02213384	0.5004914	0.34116292	1.532219	0.040561635	1.6300769	1.4421844	545.1984038352966
8	2541.3032	152.3139	2755.1653	2334.409	2672.4143	55.704525	2730.5461	2550.2456	1000.0	1000.0	31999	86.25176	86.25129	-86.2713	6.85389	0.4443523	0.026932241	0.5956955	0.36989552	1.5335213	0.039692022	1.6451936	1.4317737	625.4326276779175
9	2711.4045	54.905117	2795.0476	2650.0544	2904.6355	88.77505	3030.8157	2693.7039	1000.0	1000.0	35999	105.50386	105.50352	-105.50659	8.073709	0.4876038	0.029872362	0.60013	0.40766075	1.5092866	0.04779936	1.6537371	1.4044987	706.2956938743591
10	2929.8494	25.439217	2957.6753	2889.2349	2928.3662	98.670815	3072.8315	2749.997	1000.0	1000.0	39999	124.69073	124.69048	-124.651764	9.067617	0.52068764	0.03530446	0.70875096	0.4262603	1.5280952	0.039142292	1.6359243	1.4407943	787.9342353343964
11	2865.8606	108.34347	3039.934	2763.4297	3002.7295	110.6214	3145.3125	2731.678	1000.0	1000.0	43999	143.48279	143.4822	-143.40436	9.7168	0.5522516	0.03743825	0.7377521	0.4369176	1.5152358	0.042893257	1.6195673	1.4287846	869.3180787563324
12	3042.959	98.33328	3171.524	2916.2458	3152.1768	68.52419	3275.2441	3033.9446	1000.0	1000.0	47999	161.1625	161.1623	-161.03421	10.432208	0.57001925	0.03509407	0.706476	0.45326704	1.5031391	0.033008642	1.5973268	1.4231198	948.9018905162811
13	2993.0356	120.562706	3199.6348	2897.942	3344.7856	40.008312	3393.4734	3265.3652	1000.0	1000.0	51999	177.10612	177.1061	-176.92316	11.013162	0.58764786	0.035686217	0.76059926	0.48040524	1.5043631	0.046071876	1.6553237	1.372348	1030.134835243225
14	3197.606	87.20467	3275.3625	3054.5925	3328.3218	71.36837	3455.766	3207.3108	1000.0	1000.0	55999	192.03506	192.03488	-191.8611	11.681071	0.61658645	0.036750942	0.795404	0.5103826	1.4579511	0.057665534	1.639654	1.3777742	1110.8882040977478
15	3336.4348	96.5384	3450.769	3191.765	3409.9702	64.711624	3508.1914	3290.2734	1000.0	1000.0	59999	206.0976	206.09734	-205.85008	11.867603	0.62036	0.037408423	0.78684825	0.5142332	1.4944724	0.04298732	1.5921756	1.3953763	1191.7688698768616
16	3369.1406	36.323708	3417.4883	3319.0798	3607.7427	94.65678	3753.1055	3439.0251	1000.0	1000.0	63999	218.6393	218.63911	-218.33957	12.294042	0.6259437	0.03632044	0.7843621	0.49734747	1.5099431	0.040836062	1.6087649	1.3857267	1272.2752978801727
17	3405.3208	95.76207	3535.2864	3291.3735	3573.9644	102.917786	3750.5007	3334.391	1000.0	1000.0	67999	230.08984	230.08981	-229.78488	12.725305	0.6433559	0.036992393	0.8376863	0.53688383	1.5050064	0.030946538	1.6120491	1.440049	1353.590098142624
18	3399.898	82.3209	3525.2153	3312.7646	3704.3262	96.12695	3868.719	3593.3694	1000.0	1000.0	71999	241.14462	241.1443	-240.82048	12.7724085	0.649856	0.03734192	0.8017257	0.5374067	1.4894243	0.041407444	1.5671496	1.3895506	1434.8672666549683
19	3518.0203	86.738815	3667.04	3453.9434	3697.9844	51.08855	3766.0632	3593.1995	1000.0	1000.0	75999	251.20107	251.20097	-250.83707	13.250892	0.6551471	0.036457114	0.8118213	0.5444106	1.5236279	0.035809368	1.603948	1.440263	1515.0226480960846
