Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Averagemmd_entropy	Stdmmd_entropy	Maxmmd_entropy	Minmmd_entropy	AverageQ_penalty	StdQ_penalty	MaxQ_penalty	MinQ_penalty	Time
1	9.685471	117.00977	195.3136	-111.98803	-61.97771	125.70058	85.24516	-340.1432	1000.0	1000.0	3999	15.04521	19.629675	134.95125	-17.511518	15.04539	19.630032	136.07272	-17.518661	-17.086544	5.545545	1.7136608	0.9565342	2.8831308	0.18439262	5.4223	3.2143824	11.085745	1.580726e-07	80.68141746520996
2	-24.464378	70.66456	94.58233	-88.65237	-129.74316	0.8496408	-128.2454	-131.05241	1000.0	1000.0	7999	123.45323	60.73905	411.79562	7.9536414	123.45268	60.739727	410.7784	5.943928	-130.12433	23.307281	3.0344431	0.1524083	3.2961833	2.5147731	13.450673	3.5238664	22.882458	8.336352	184.13878178596497
3	9.580694	55.78829	101.75675	-38.590004	-0.5947141	4.04566	5.5173507	-7.90282	1000.0	1000.0	11999	350.25363	83.51104	610.54785	92.42958	350.25323	83.509384	609.75635	92.5371	-361.55237	64.438286	3.2035253	0.04944203	3.3129487	2.9734607	21.009808	1.7852021	27.26731	16.289206	287.72542929649353
4	150.05093	110.43234	292.5889	22.285923	-30.799511	51.940804	50.00041	-151.27278	1000.0	1000.0	15999	471.40384	40.45998	609.1644	295.38074	471.4033	40.46491	603.24963	293.79797	-473.94913	46.734108	2.9171925	0.09043384	3.1627681	2.676174	13.841554	2.122301	20.517536	9.953502	392.75378704071045
5	-45.988007	89.26861	28.96359	-195.92172	-80.88175	103.503334	23.931288	-348.19604	1000.0	1000.0	19999	471.63092	30.40389	579.5146	355.11484	471.63065	30.406515	577.4213	354.3307	-471.84293	27.403824	2.5964453	0.16559774	2.9120526	2.1788619	9.441676	0.99354345	12.161052	7.126275	497.9408140182495
6	224.69122	151.08784	450.02887	55.875458	54.061573	174.9877	348.19495	-286.07477	1000.0	1000.0	23999	430.04684	30.214476	541.4138	308.30957	430.04733	30.211811	537.14923	306.66052	-429.1728	19.023485	1.677175	0.32679257	2.4188497	1.0681036	6.6748886	0.64959633	9.105064	5.169984	603.1558358669281
7	43.79582	116.09908	236.14328	-57.972706	52.08303	33.603462	119.21376	2.7279015	1000.0	1000.0	27999	365.12076	29.943617	474.53583	251.39047	365.121	29.943596	469.5974	252.78047	-364.24136	13.8122635	1.0587656	0.06754145	1.3028837	0.85816896	5.328112	0.39732057	6.8912864	4.173202	709.0411360263824
8	63.14829	135.57759	282.28494	-85.16409	196.1865	148.14037	346.24274	-42.03606	1000.0	1000.0	31999	305.25513	26.265392	420.28827	204.48825	305.2552	26.265244	421.5779	206.08362	-304.41083	10.159222	0.74821836	0.13138388	1.1374748	0.5086072	4.220989	0.38107955	5.6126575	3.2823095	814.9467298984528
9	377.96423	151.90451	563.4744	140.26712	446.8523	80.2023	607.0065	320.77454	1000.0	1000.0	35999	251.25684	23.338617	348.93533	161.08618	251.25696	23.339489	345.93283	160.71841	-250.49179	8.224328	0.5772789	0.039361656	0.7838114	0.46874645	3.7067618	0.22459343	4.732961	2.9581287	920.4260549545288
10	546.9402	143.53534	745.54016	343.23514	839.09015	71.90576	988.14154	740.3807	1000.0	1000.0	39999	209.2113	22.249632	302.2107	127.36253	209.21098	22.253834	300.64072	126.88063	-208.62054	7.755293	0.5401831	0.035614032	0.73272586	0.42609975	3.6410155	0.2173021	4.7755713	3.0018432	1025.9327356815338
11	527.26556	279.71558	903.3017	122.65933	695.53687	118.99334	903.7961	486.86038	1000.0	1000.0	43999	177.05838	23.310556	281.82004	102.94437	177.0583	23.31381	281.79156	102.92706	-176.5545	7.724091	0.5441805	0.034113202	0.69086087	0.42171898	3.5767791	0.2307784	4.6099696	2.9127228	1131.376636981964
12	631.4684	140.13734	750.4515	399.29684	438.4393	38.573814	500.43997	376.6306	1000.0	1000.0	47999	151.66068	25.748058	266.56952	79.56667	151.66064	25.750277	267.5553	80.22943	-151.14505	8.038076	0.5398717	0.0378997	0.76779366	0.4277288	3.487266	0.23997778	4.7200475	2.7800953	1237.1687190532684
13	375.59982	241.2808	653.0984	80.466324	798.32855	65.11322	921.13257	724.4422	1000.0	1000.0	51999	130.49638	28.256626	250.7783	56.034718	130.49605	28.258703	251.21352	54.97622	-129.96082	8.49474	0.5559011	0.039663672	0.72350955	0.42922282	3.5078793	0.24741708	4.571357	2.748273	1342.062774181366
14	592.25665	260.03107	815.10126	149.32932	824.2095	86.47321	950.1155	709.10583	1000.0	1000.0	55999	113.14664	30.525625	239.58609	40.01796	113.14659	30.528412	244.07343	39.777077	-112.61115	8.629012	0.5702708	0.043640234	0.8059747	0.43502817	3.5974755	0.25413856	4.857735	2.7853923	1447.9934237003326
15	860.4645	67.65552	923.65283	748.4628	1019.3229	131.34674	1215.5999	829.36945	1000.0	1000.0	59999	100.42976	32.475044	224.31859	25.290169	100.43003	32.476772	223.24211	26.321512	-99.90084	8.804928	0.58681184	0.04296721	0.79414105	0.4677179	3.6049476	0.25863448	4.6802607	2.758627	1553.1756749153137
16	1002.67194	54.3089	1082.187	930.32404	1108.4731	219.25998	1424.1207	592.35626	1000.0	1000.0	63999	91.4641	34.480953	215.15305	12.656388	91.46414	34.482185	216.5599	11.9461	-90.93848	9.073045	0.61498886	0.048540074	0.8760158	0.48592153	3.6029365	0.26503858	4.57957	2.8061304	1658.9097352027893
17	1139.0157	196.335	1331.9967	812.2583	1317.7332	291.9949	1566.2201	490.87354	1000.0	1000.0	67999	84.99556	35.452255	217.20026	4.4623837	84.99555	35.453354	216.38452	2.4566054	-84.471794	9.40049	0.62847745	0.047182053	0.80634266	0.48334664	3.5995958	0.2524601	4.69234	2.8582027	1764.7610621452332
18	937.81573	423.80115	1370.039	234.68234	1015.2277	507.11462	1623.3029	168.62741	1000.0	1000.0	71999	80.41804	36.446373	217.37857	-1.8670995	80.41817	36.446953	221.04105	-2.365646	-79.89392	10.465116	0.663814	0.06182686	0.8815166	0.48264176	3.7254233	0.26519445	4.8817115	2.8704262	1869.8197813034058
19	1126.6793	134.86533	1290.0459	923.74316	1182.0269	305.1773	1555.0648	543.6172	1000.0	1000.0	75999	78.28879	38.03172	222.0707	-7.8679996	78.288826	38.032825	225.02557	-8.725467	-77.75601	11.904433	0.70424217	0.05134329	0.93515563	0.5565113	3.8358407	0.24929842	4.8488812	3.1052666	1974.5237038135529
