Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	Q1Vals	Q2Vals	LossPi	LossQ	Averagemmd_entropy	Stdmmd_entropy	Maxmmd_entropy	Minmmd_entropy	$\alpha$	Stdalpha	Maxalpha	Minalpha	Time
23	576.313	113.86434	755.7355	449.91943	-202.87268	630.102	443.71454	-1545.9039	1000.0	1000.0	91999	106.39738	106.39714	-106.67457	18.762466	1.4044254	0.35632285	2.2372856	0.5766686	1.9116582	0.31769392	2.4784868	1.3328983	2351.3467013835907
24	-77.3596	537.54224	571.73376	-840.3631	-529.04803	602.4332	32.785282	-1951.9623	1000.0	1000.0	95999	178.79938	178.80042	-181.9254	39.18283	2.1094034	0.19409335	2.810784	1.6344066	1.7075393	0.65493286	2.6843665	0.80807817	2454.9449059963226
25	-393.10223	131.27676	-185.51268	-537.7146	-526.4599	235.96222	-117.35956	-883.226	1000.0	1000.0	99999	244.60948	244.60956	-247.65321	36.779804	2.2911916	0.14387302	2.9101639	1.7678539	0.85111254	0.30714917	1.4722657	0.4213691	2558.005390882492
26	109.9167	54.31654	149.89792	17.51776	67.97369	96.22777	167.65196	-153.8768	1000.0	1000.0	103999	268.8577	268.8581	-270.69394	27.346582	2.1189902	0.14754473	2.568886	1.6985418	0.8039382	0.13899222	1.073293	0.52198887	2661.7057027816772
27	317.13156	228.78314	708.48505	156.88373	678.118	132.3697	764.2144	365.0038	1000.0	1000.0	107999	267.26514	267.2652	-267.99103	21.37651	1.7001462	0.22674054	2.5257483	0.9755202	0.5929021	0.1797007	0.9896454	0.35439846	2766.1461584568024
28	422.39764	189.58641	694.1494	202.79561	834.91345	52.45661	888.07666	713.8903	1000.0	1000.0	111999	247.38072	247.38045	-247.691	18.517431	1.3807902	0.19802786	1.9703178	0.76298565	0.6392305	0.11849394	0.9622356	0.42254496	2871.5305302143097
29	627.1674	93.383835	757.2081	531.3416	851.7966	27.621595	903.1622	813.49634	1000.0	1000.0	115999	224.55164	224.5515	-224.54979	15.689439	1.088522	0.12380019	1.5510435	0.7582387	0.6349944	0.051127233	0.7932129	0.537318	2975.6973798274994
30	597.1347	37.946423	638.54266	549.7005	815.3241	194.63826	1034.2799	262.42517	1000.0	1000.0	119999	202.73232	202.73264	-202.59526	14.136753	0.9312921	0.12871893	1.4388933	0.6067841	0.70586216	0.09813206	0.9070418	0.55078566	3080.6360337734222
31	799.8918	131.1909	931.8739	590.2295	817.75146	61.34223	957.6486	731.7196	1000.0	1000.0	123999	184.85143	184.85248	-184.64244	16.314297	0.90258795	0.14853178	1.443087	0.54954183	0.8792434	0.07166454	1.0303535	0.73065865	3185.323546409607
32	649.6775	188.67223	819.6301	362.5609	777.3517	226.86821	994.9196	202.1729	1000.0	1000.0	127999	170.1784	170.17838	-169.9424	16.975206	0.9056643	0.15275073	1.5135612	0.5271909	0.9056493	0.07759269	1.0956651	0.76837695	3289.2919521331787
