Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Averagemmd_entropy	Stdmmd_entropy	Maxmmd_entropy	Minmmd_entropy	AverageQ_penalty	StdQ_penalty	MaxQ_penalty	MinQ_penalty	Time
19	106509.016	23813.1	130145.74	70305.29	94365.43	21552.832	130221.2	65950.07	1000.0	1000.0	75999	494.15775	86.68296	848.13617	268.40805	494.15915	86.67993	849.98694	267.0878	-495.47244	47.89625	5.7219257	0.016004376	5.7746496	5.6611357	17.058933	0.6810472	19.760235	14.87424	3032.206740140915
20	94401.875	32173.17	128889.57	56540.383	80605.59	12785.103	108317.016	67513.32	1000.0	1000.0	79999	501.22375	87.57925	856.4266	266.27545	501.2235	87.577126	860.1686	269.05484	-502.4034	48.916843	5.719832	0.016272122	5.782923	5.6523137	17.670835	0.76115876	20.58022	15.410516	3225.5319056510925
21	89365.08	23531.818	130074.05	74175.72	90903.375	27735.826	132029.52	58668.14	1000.0	1000.0	83999	505.8194	85.29653	839.7654	276.89905	505.82077	85.292946	839.6226	278.2959	-506.76947	49.947132	5.711169	0.0161708	5.764023	5.649922	17.574347	0.8606086	20.485638	14.865549	3420.1678953170776
22	91550.734	25712.86	129228.86	59523.324	105218.39	19754.8	138022.23	73021.96	1000.0	1000.0	87999	505.598	84.156006	837.4272	278.03748	505.5986	84.15531	837.4955	280.63348	-506.42334	50.924587	5.710658	0.016586842	5.7613626	5.648157	17.210556	0.7660722	20.257465	14.438557	3612.985604763031
23	97773.13	6869.1494	106614.72	87322.06	98500.375	14759.253	112430.984	67024.29	1000.0	1000.0	91999	507.16672	83.61888	812.8309	265.44592	507.16544	83.62006	817.51404	273.0459	-508.01974	47.394245	5.714458	0.01659121	5.772012	5.646263	17.050774	0.7679859	19.924704	14.416816	3805.5287437438965
24	104226.74	21210.037	136488.89	76944.89	98456.11	21021.783	129214.555	67789.08	1000.0	1000.0	95999	507.36526	82.274574	775.65784	269.31256	507.36655	82.272385	775.6988	274.03763	-508.14526	46.413754	5.7138867	0.016514791	5.7659225	5.650833	17.33868	0.7599318	20.30941	14.557692	3996.8771817684174
25	128628.44	1976.809	131341.7	126531.516	121919.92	22656.602	143873.78	76528.54	1000.0	1000.0	99999	507.06223	81.06629	742.64026	284.02365	507.06247	81.06808	743.62244	284.25894	-507.81253	44.72668	5.7161756	0.01676222	5.7719445	5.656422	17.864101	0.79599494	20.591503	15.256886	4190.723982095718
26	117907.22	19823.744	139165.16	88234.125	120713.96	17523.781	137853.02	85457.164	1000.0	1000.0	103999	508.3175	82.06149	734.47485	291.13623	508.3176	82.06251	735.3072	287.05157	-508.9721	43.204	5.721117	0.01658663	5.770099	5.645665	18.453173	0.8536519	21.496323	15.65534	4387.374700546265
27	94630.63	19954.275	115970.14	62061.305	115192.914	25021.209	159483.5	77754.79	1000.0	1000.0	107999	510.4445	82.178	737.49493	301.41458	510.4443	82.18064	735.593	294.31775	-511.07846	44.93908	5.7220306	0.016109033	5.7758036	5.6598377	19.08303	0.8723046	22.426086	15.95479	4584.565910577774
28	120754.06	9665.8	135371.28	108698.77	117082.52	13332.248	138487.12	90579.625	1000.0	1000.0	111999	512.16	82.62885	734.50024	285.33972	512.16077	82.62655	733.122	284.28473	-512.8181	46.877117	5.721754	0.016413366	5.7780576	5.6619368	19.160652	0.87498146	22.825905	15.465613	4780.1105172634125
29	123066.3	7740.1626	132815.23	114278.4	106629.56	21573.24	128506.53	58208.785	1000.0	1000.0	115999	514.7984	82.50526	755.92944	290.61374	514.7985	82.50407	759.7928	292.17517	-515.4077	47.103638	5.719858	0.016476993	5.780303	5.6535716	19.582357	0.92652446	23.00736	16.616	4976.395864486694
30	118012.37	12639.181	130811.13	99743.25	118048.766	17120.914	131805.66	80004.04	1000.0	1000.0	119999	517.45	82.95946	752.6281	274.82712	517.4505	82.961945	754.199	290.45328	-518.08417	46.637623	5.721211	0.016018499	5.7818456	5.659201	20.322989	0.9153255	23.589392	17.37721	5171.4738647937775
