Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	Q1Vals	Q2Vals	LossPi	LossQ	Averagemmd_entropy	Stdmmd_entropy	Maxmmd_entropy	Minmmd_entropy	$\alpha$	Stdalpha	Maxalpha	Minalpha	Time
23	1437.999	426.31192	1984.3271	808.911	2014.2852	155.91917	2318.496	1834.3403	1000.0	1000.0	91999	127.56452	127.5641	-127.2502	7.972757	1.6514403	0.058606762	1.8666297	1.4329413	0.5740721	0.047348414	0.677029	0.4912585	2122.368542909622
24	1715.4146	125.074165	1804.4679	1499.9648	1699.5992	114.523735	1876.536	1571.4972	1000.0	1000.0	95999	131.70956	131.70958	-131.41306	8.762165	1.6491162	0.054163102	1.8476936	1.4676719	0.59189737	0.026126975	0.6655622	0.5294619	2215.436693906784
25	1762.6688	252.7263	2047.8478	1377.3094	1513.2538	380.4791	1932.0676	749.9403	1000.0	1000.0	99999	133.46239	133.46187	-133.16945	8.946272	1.6499358	0.055063445	1.829986	1.4107552	0.5717991	0.031086877	0.685324	0.518992	2308.9823184013367
26	1686.1123	528.73883	2168.4739	801.7498	1477.4513	86.187546	1607.7819	1330.3967	1000.0	1000.0	103999	135.66316	135.6629	-135.32791	9.990151	1.6515824	0.05729173	1.879176	1.4347254	0.5744999	0.027823532	0.63835424	0.51156163	2401.818463087082
27	1943.9908	254.67166	2355.3062	1665.5292	1989.2139	108.846214	2144.9556	1820.0177	1000.0	1000.0	107999	140.78249	140.78223	-140.40358	11.886635	1.6496845	0.057132967	1.8630589	1.443383	0.64984846	0.037603635	0.7575909	0.55968165	2494.416671514511
28	1858.2444	652.7591	2352.4282	746.6004	1451.997	607.1905	2155.9758	673.56165	1000.0	1000.0	111999	144.9186	144.91843	-144.60097	11.408205	1.6499909	0.046814058	1.8342593	1.4934382	0.6242565	0.021362387	0.6777912	0.56707096	2588.2117371559143
29	1953.1799	323.7165	2255.1887	1408.7507	2298.1003	70.93056	2377.3875	2160.0015	1000.0	1000.0	115999	147.77832	147.7783	-147.36914	11.66773	1.6498821	0.04785251	1.8073403	1.46996	0.62473726	0.030455088	0.6741775	0.5532448	2681.409418821335
30	2222.1042	118.77221	2386.4358	2074.4297	2317.5645	79.58984	2458.5945	2163.3015	1000.0	1000.0	119999	149.29549	149.29572	-148.9108	11.881488	1.648925	0.05398305	1.8374021	1.4822787	0.5750664	0.021032102	0.6270571	0.52729994	2773.4843306541443
31	2381.3442	70.66166	2475.449	2276.359	2338.7385	170.74991	2559.7559	2072.6597	1000.0	1000.0	123999	150.82858	150.82863	-150.44507	12.541802	1.6510044	0.058029678	1.831468	1.444563	0.60315937	0.04688799	0.71728206	0.50633425	2865.376178264618
32	2435.9958	157.8254	2635.5256	2270.5962	2492.2515	189.54845	2789.9353	2166.259	1000.0	1000.0	127999	153.64966	153.64978	-153.22414	12.799426	1.651652	0.056427546	1.8863904	1.4737961	0.6446511	0.049948707	0.74853534	0.5549133	2957.7344887256622
33	2445.343	197.49046	2698.5408	2158.7874	1900.9313	107.73657	2066.289	1693.0669	1000.0	1000.0	131999	157.3693	157.36914	-156.90529	13.216404	1.6480879	0.05222495	1.8222896	1.4377099	0.6756346	0.029230107	0.76113087	0.58997434	3050.338764190674
34	2331.6348	133.76073	2471.989	2114.5024	2457.2769	187.18565	2707.7659	2042.0735	1000.0	1000.0	135999	160.66618	160.66579	-160.18553	13.230686	1.6528081	0.051548533	1.8317373	1.4879392	0.66087854	0.033834845	0.73676705	0.59691805	3142.747545480728
35	2361.2153	220.59134	2574.5632	2058.694	2462.934	130.55219	2748.9521	2276.7422	1000.0	1000.0	139999	163.06158	163.0614	-162.5026	14.250887	1.6486586	0.05093453	1.8643653	1.4849232	0.6957255	0.034727458	0.7477091	0.5974045	3234.835955142975
