Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
32	319.06824	424.04938	612.22595	-413.50848	612.56744	505.87085	1263.1622	-594.3669	1000.0	1000.0	127999	224.86343	35.800106	403.00003	104.033104	-226.15494	21.434547	1379.5723311901093
33	822.1539	382.14267	1216.6459	199.98917	255.27422	170.68648	583.4324	62.20078	1000.0	1000.0	131999	209.91216	33.79	366.87723	77.57065	-211.27974	22.149075	1422.7331447601318
34	290.1879	421.48993	816.43005	-322.22247	109.367775	534.69763	1042.1321	-781.8839	1000.0	1000.0	135999	198.52158	31.91762	347.86942	73.72764	-199.8674	22.597261	1466.6658389568329
35	657.389	216.85522	922.0776	438.2922	436.7357	345.3033	929.60767	-206.74847	1000.0	1000.0	139999	189.69316	31.288351	335.04395	55.762672	-191.06433	22.969831	1510.3980114459991
36	419.65573	398.85974	990.24176	-47.254112	-82.21824	259.1028	186.03232	-514.1692	1000.0	1000.0	143999	181.5973	31.538404	337.5451	39.811066	-182.91696	22.647	1554.5295732021332
37	89.861115	185.69499	363.04846	-86.281166	236.77995	520.9526	1122.5747	-501.85443	1000.0	1000.0	147999	174.55247	31.708975	331.28867	46.991882	-175.83379	23.139101	1597.7729470729828
38	396.80377	362.8611	985.5258	3.586206	161.23312	539.3297	913.401	-1097.1654	1000.0	1000.0	151999	169.08644	32.018833	345.811	28.477764	-170.39728	22.91286	1641.07395362854
39	31.186436	393.32132	604.1286	-455.3565	108.079834	618.44696	982.5631	-1007.7998	1000.0	1000.0	155999	164.26048	33.251938	350.9973	11.660252	-165.51482	23.609758	1684.6933569908142
40	742.3765	201.80638	1061.1691	541.4279	511.8504	449.112	1526.4034	-159.63509	1000.0	1000.0	159999	158.7187	33.24709	352.54315	20.062265	-159.91081	23.526278	1728.2715680599213
41	1000.92267	243.11072	1279.9038	651.5693	-45.25904	301.2596	430.40442	-596.75684	1000.0	1000.0	163999	154.19632	33.1287	353.90176	11.677197	-155.37286	23.735956	1771.8984355926514
42	182.34076	601.3236	788.6028	-607.33606	111.171486	521.0991	1059.9357	-584.63184	1000.0	1000.0	167999	151.1702	32.955814	339.0326	23.418482	-152.40761	23.96277	1815.5879573822021
43	131.15714	255.59335	557.69946	-117.16483	256.3945	369.24997	815.1696	-495.69107	1000.0	1000.0	171999	148.97314	32.61776	354.1443	18.82137	-150.22954	24.266802	1859.3416204452515
44	-15.062561	299.89395	336.57922	-434.41113	251.87837	484.51416	970.4883	-419.09125	1000.0	1000.0	175999	147.40208	33.736885	357.4894	11.012928	-148.61914	24.987402	1902.8406994342804
45	274.8834	131.9068	421.41586	83.047264	491.01822	295.6257	884.1982	-305.43277	1000.0	1000.0	179999	144.86497	34.61482	368.12567	-5.934106	-146.0461	25.03361	1946.37407040596
46	515.989	239.3208	875.50507	240.18579	808.8024	481.07324	1517.3538	4.3193927	1000.0	1000.0	183999	142.59451	34.967625	343.48566	-0.63108957	-143.75421	24.585262	1990.1847248077393
47	337.36902	379.3885	686.4603	-300.24158	480.63632	351.21442	827.86334	-425.34485	1000.0	1000.0	187999	140.56831	35.34781	354.6404	-9.051867	-141.68687	24.111216	2033.6645803451538
48	384.27515	785.55396	1430.8832	-626.3515	1387.0302	181.84319	1649.1	1049.9619	1000.0	1000.0	191999	138.53452	35.630417	369.8512	-1.8278399	-139.70212	25.920893	2077.153769493103
49	1035.9774	263.30096	1376.4473	738.0348	581.5761	380.95978	1266.8907	160.2132	1000.0	1000.0	195999	138.07387	35.777702	385.24084	-16.010544	-139.22606	26.667805	2120.9461476802826
50	672.7772	522.8789	1457.4768	59.60915	563.6987	530.40656	1456.808	-62.49836	1000.0	1000.0	199999	138.67232	35.557106	355.456	-23.727398	-139.8878	26.779457	2164.565989255905
51	286.48065	672.71844	1177.0509	-710.33813	561.45184	287.74594	1098.0079	148.32909	1000.0	1000.0	203999	138.21706	35.49991	338.3501	-21.94708	-139.34978	25.919436	2207.900122642517
52	474.01276	129.58469	615.18976	263.7045	988.14355	530.0565	1822.0117	23.446608	1000.0	1000.0	207999	136.59854	35.42201	329.82745	-2.263891	-137.65625	25.7085	2251.6249344348907
53	600.08716	711.826	1624.8917	-326.89365	261.5604	592.5476	992.33453	-715.3778	1000.0	1000.0	211999	134.53494	35.192036	326.85938	1.9884822	-135.59575	25.50749	2295.5069534778595
54	738.2903	425.77844	1215.483	49.11455	959.01434	365.20935	1553.0597	416.07648	1000.0	1000.0	215999	134.81577	35.42682	310.03506	2.631439	-135.94087	26.264803	2338.829957962036
55	99.635925	338.0437	370.63474	-476.8992	794.6389	445.00873	1546.1687	225.98964	1000.0	1000.0	219999	134.98354	35.483112	310.45584	-16.33401	-136.09396	26.301462	2382.3110551834106
56	804.21204	958.5293	2094.8796	-430.55844	460.26385	1125.7257	2044.6904	-2309.9995	1000.0	1000.0	223999	135.087	35.739765	327.30045	-8.57519	-136.21983	26.433422	2426.1041100025177
57	1341.5424	453.16656	1832.1007	864.7688	1314.0569	489.5378	2217.167	272.76846	1000.0	1000.0	227999	136.00888	35.909576	324.5147	-14.5975895	-137.15623	27.395971	2469.713057756424
58	1374.4519	750.57916	2473.5469	389.52353	780.6093	628.42316	2238.0066	178.06012	1000.0	1000.0	231999	137.064	35.906204	313.82626	-30.791008	-138.25691	27.878906	2513.423482656479
59	729.2436	986.12897	2315.9092	-235.03021	1029.8241	333.66705	1522.8295	604.57904	1000.0	1000.0	235999	139.32469	36.007694	313.25497	-23.121399	-140.57167	28.954243	2556.9930062294006
60	271.129	491.12766	1098.4641	-158.92363	964.41	638.02106	1777.321	194.2897	1000.0	1000.0	239999	141.76271	36.182068	316.9868	-25.081646	-143.05988	29.908466	2600.6456513404846
61	652.9832	559.9701	1451.2593	-44.968338	390.7181	658.61505	1374.9259	-579.0518	1000.0	1000.0	243999	144.52444	36.376587	319.39047	-31.499348	-145.78172	30.935883	2644.157453775406
62	1163.0957	563.4652	1938.4496	385.34955	848.2197	465.33826	1597.8645	238.52132	1000.0	1000.0	247999	146.32455	36.768467	321.979	-26.711546	-147.57317	30.980608	2687.500095129013
63	1281.6063	373.30658	1816.0677	760.4224	856.59735	591.9582	1398.2705	-470.7283	1000.0	1000.0	251999	148.19727	37.261967	323.42334	-16.160847	-149.49252	30.919016	2730.9916286468506
64	1192.1257	630.3112	2080.378	483.56958	1736.1328	536.5992	2479.2092	833.1083	1000.0	1000.0	255999	150.47665	37.64604	322.81427	-19.38457	-151.76003	31.395464	2774.334074497223
65	1438.0721	821.37695	2126.0579	78.84609	1255.5999	633.12256	2319.192	369.38843	1000.0	1000.0	259999	152.91788	38.56733	328.4994	-19.85152	-154.20981	31.93296	2817.870670080185
66	1861.292	545.11676	2352.1284	937.8032	805.1597	470.82614	1979.6143	244.65755	1000.0	1000.0	263999	154.86095	39.446472	335.97168	-14.5456085	-156.14609	32.813595	2861.5080704689026
67	2128.4482	454.17786	2861.2625	1685.3564	1754.9944	675.0789	2447.01	82.58901	1000.0	1000.0	267999	157.50592	40.969746	342.54102	14.377943	-158.82219	33.590797	2904.7971906661987
68	1754.3353	763.59973	2655.4177	826.86523	1211.061	599.29	2190.3784	393.0601	1000.0	1000.0	271999	160.47124	42.354492	341.14276	-5.6260715	-161.83017	34.24604	2948.175154685974
69	1123.7552	259.3259	1501.4476	810.12067	1202.8025	705.4813	2191.2512	235.81613	1000.0	1000.0	275999	165.4091	44.38212	344.8948	-3.9416924	-166.86737	35.318375	2991.7768502235413
70	836.4926	467.56992	1592.4415	362.98373	1219.2157	508.63538	1989.1245	338.21744	1000.0	1000.0	279999	169.11533	45.93612	352.9075	3.905811	-170.53265	35.716	3035.310276031494
71	794.47504	442.6328	1511.062	300.262	1261.5446	530.3706	2099.1335	459.1958	1000.0	1000.0	283999	172.38828	47.18141	361.57196	5.614025	-173.84775	36.867786	3078.9132962226868
72	1257.6787	700.7438	2028.4363	481.58813	1279.6697	495.4866	2215.1438	644.4795	1000.0	1000.0	287999	174.9618	48.197556	378.7135	-3.6377165	-176.32437	37.199368	3122.5824480056763
73	1628.4841	543.4254	2443.7993	922.8602	1315.7291	701.7176	2115.159	81.23064	1000.0	1000.0	291999	176.7091	49.355335	386.69147	0.06329894	-178.09639	38.952774	3166.198886871338
74	841.1729	774.8197	1938.529	-15.401005	716.3732	721.2402	1778.3427	-895.17194	1000.0	1000.0	295999	177.36407	50.841145	380.56543	3.7070312	-178.69987	40.074112	3209.87508893013
75	860.4701	742.4308	1589.4581	-124.532585	1247.2708	811.0752	2398.7834	143.61897	1000.0	1000.0	299999	178.00311	52.127758	374.48315	-13.196217	-179.36871	40.681007	3253.428038597107
76	999.67706	324.5752	1333.0322	562.524	1067.6927	780.62256	2544.0261	-113.173805	1000.0	1000.0	303999	178.76382	52.969803	379.3505	-13.8968315	-180.0956	40.966373	3296.971457719803
77	1139.3182	851.31757	2152.3467	-169.67223	1428.839	580.5169	2329.215	124.57384	1000.0	1000.0	307999	179.6028	53.88968	378.9905	-5.8727727	-180.96483	42.179882	3340.9104483127594
78	1606.7843	568.56177	1957.8262	622.32117	618.8398	616.9471	1830.2589	-142.58774	1000.0	1000.0	311999	180.31604	54.93539	378.18646	-6.3308144	-181.66791	42.41993	3384.601675271988
79	709.43164	606.36774	1482.7544	-216.30333	1322.3557	894.5455	2058.0784	-1024.3231	1000.0	1000.0	315999	181.38852	56.01548	381.40146	-16.086376	-182.75705	41.508236	3428.1875796318054
80	1439.5781	629.92725	2214.7031	457.4574	1966.611	429.12634	2696.1516	1172.4298	1000.0	1000.0	319999	182.11629	57.24865	394.25797	-30.347364	-183.38925	42.002254	3471.7899827957153
81	1080.6349	460.13867	1574.9097	362.72192	675.5837	611.36597	1754.3678	-230.04665	1000.0	1000.0	323999	181.18892	57.547142	380.45898	-25.209875	-182.4223	42.043705	3515.373247385025
82	529.6307	420.2565	1249.3284	229.87811	682.8454	794.454	1719.8181	-427.002	1000.0	1000.0	327999	181.22574	58.43633	383.3215	-25.51268	-182.53313	43.040886	3558.802651643753
83	1190.6979	514.17566	1810.7981	528.45337	986.3917	518.4928	2122.271	308.32312	1000.0	1000.0	331999	181.84467	59.27638	385.61807	-35.222622	-183.16125	43.548557	3602.2196712493896
84	1138.7783	470.4906	1684.7085	392.45865	1098.425	685.0091	2153.376	20.108305	1000.0	1000.0	335999	182.28374	59.580647	389.11923	-24.646345	-183.53737	43.958744	3645.677059173584
85	1249.4866	566.6631	1861.0122	348.2729	1429.1887	264.90225	1789.2343	1018.61237	1000.0	1000.0	339999	181.11874	59.878136	382.55212	-26.948475	-182.32379	43.462486	3689.3050706386566
