Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Averagepi_penalty	Stdpi_penalty	Maxpi_penalty	Minpi_penalty	AverageQ_penalty	StdQ_penalty	MaxQ_penalty	MinQ_penalty	Time
19	517.6928	169.26035	886.7737	208.99118	474.3493	111.35729	687.1551	305.5536	106.47369	105.1	75999	193.4681	109.995224	394.3263	-41.884777	193.46764	110.00101	393.30316	-48.179226	-196.70174	112.529396	5.620494	0.02165575	5.696045	5.5418925	23.80057	1.6605206	30.998182	19.132719	4240.84229516983
20	528.7812	110.28429	720.9097	272.8493	642.42316	120.10468	842.20734	422.62228	108.62162	128.0	79999	192.16454	105.533905	372.09674	-43.73669	192.16644	105.531204	377.23438	-55.67997	-194.99681	101.61253	5.613353	0.021656629	5.7043614	5.538899	22.111088	1.5381845	28.187368	18.094326	4467.062881469727
21	552.50665	181.32616	1235.8644	311.34872	524.7097	151.34964	854.93604	263.09576	111.361115	107.8	83999	190.8815	102.66601	367.4984	-54.028896	190.88277	102.66797	365.6972	-58.772762	-193.371	94.11409	5.602991	0.02236122	5.6844635	5.526998	20.658789	1.4295741	28.217192	16.315372	4693.80946969986
22	514.21387	151.70152	963.52844	309.66977	607.392	276.33304	1369.637	375.54764	110.44444	129.8	87999	191.20804	101.0787	357.95322	-40.030613	191.20972	101.07993	363.8523	-45.29982	-193.67099	90.09642	5.6032367	0.0214887	5.685621	5.5295897	19.702808	1.3496481	25.984203	15.763508	4918.040004014969
23	477.67587	139.81941	953.6274	270.48322	537.6437	141.49214	827.462	375.8876	100.15	111.6	91999	192.72328	101.8288	374.9261	-57.755543	192.724	101.83575	372.1188	-42.67005	-195.04991	88.19094	5.5999002	0.021900551	5.6721797	5.5081425	19.284065	1.298099	25.727373	15.605743	5143.614313840866
24	558.018	194.22008	1112.7875	225.869	652.63904	360.39203	1561.2739	325.61755	116.94118	128.7	95999	195.00244	103.55635	367.29077	-38.272804	195.00314	103.5562	371.67322	-41.210064	-197.31387	89.55488	5.5997324	0.021911874	5.6804194	5.5222416	19.088955	1.3361547	25.338095	15.268801	5374.238033056259
25	565.8253	174.43298	1084.9614	274.45425	770.9543	271.64966	1304.7183	417.98578	116.02941	155.9	99999	196.14027	104.053246	365.39	-34.534332	196.14142	104.05657	361.99084	-33.012474	-198.36325	89.58714	5.598275	0.022066329	5.66989	5.520575	18.796026	1.3400156	23.982216	15.225403	5607.025257825851
26	675.58136	212.49597	1128.8391	332.6745	572.8272	138.57843	741.89154	311.833	138.48276	122.2	103999	197.35107	104.459465	365.49008	-41.447247	197.3518	104.46081	359.7776	-36.763744	-199.53812	89.084984	5.590676	0.022025105	5.6608534	5.5126925	18.551552	1.352269	24.23155	14.732267	5829.074065923691
27	648.6502	176.42522	1064.8535	356.9457	603.45416	228.49721	975.5049	304.54016	130.90323	119.3	107999	199.8326	105.23545	371.53812	-36.644375	199.83336	105.23825	367.81064	-43.674553	-201.98317	88.527016	5.58549	0.022736669	5.6540923	5.494693	18.494614	1.331917	24.625105	14.829736	6054.326889514923
28	687.9986	213.9136	1125.7482	203.09885	723.4355	119.546234	899.629	542.5678	138.89285	148.8	111999	202.54317	105.990524	387.93958	-56.832077	202.54333	105.989716	380.8461	-77.312584	-204.66316	89.65305	5.5804915	0.022970147	5.65819	5.485593	18.580421	1.3665569	24.198402	15.0345745	6283.95623922348
