Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
1	35492.21	2566.862	39139.16	32634.36	61530.1	289.87216	61992.438	61245.496	1000.0	1000.0	3999	142.22493	69.01767	486.89926	-5.757598	142.22163	69.023994	448.30225	-6.6291895	-145.13876	81.28187	43.787240982055664
2	35991.758	2174.6997	38334.38	33705.535	61573.65	358.8372	62017.43	60928.504	1000.0	1000.0	7999	443.8469	119.376114	944.0079	120.31911	443.84924	119.370766	942.68207	145.393	-452.61212	223.32024	96.18422031402588
3	45747.605	12962.105	60020.2	30899.107	61426.914	296.8994	61846.85	60848.098	1000.0	1000.0	11999	837.65686	150.94968	1518.8514	473.68668	837.65753	150.94763	1520.9712	472.41412	-852.5455	416.87778	151.32853746414185
4	60962.9	1026.9169	62032.844	59915.105	61744.062	238.99211	62008.145	61290.27	1000.0	1000.0	15999	1312.7584	198.15195	2135.7788	836.32983	1312.7607	198.15395	2072.9602	819.70465	-1328.2015	556.0329	209.98822712898254
5	60424.72	838.344	61862.35	59828.348	61289.324	418.52695	61821.11	60188.785	1000.0	1000.0	19999	1817.795	231.79118	2703.4436	1213.8134	1817.7916	231.80754	2730.2957	1203.9778	-1832.7368	755.68835	269.2368721961975
6	55679.22	6686.413	62023.6	46210.16	61511.062	453.91336	61985.77	60437.76	1000.0	1000.0	23999	2307.9766	247.85805	3190.7559	1576.8005	2307.978	247.86143	3272.8032	1546.8894	-2321.3887	962.03754	328.0619535446167
7	60491.92	639.9121	61575.523	59996.258	61411.68	1017.23584	62017.24	58442.273	1000.0	1000.0	27999	2776.791	276.15433	3820.9854	1908.742	2776.7922	276.15488	3776.9575	1916.7443	-2788.2004	1124.033	386.83896350860596
8	61978.613	97.79207	62089.16	61854.94	61555.324	278.55133	62027.926	61193.58	1000.0	1000.0	31999	3241.6106	301.243	4266.23	2077.021	3241.6147	301.22894	4214.5264	2264.6877	-3251.795	1272.1401	445.9634852409363
9	60255.523	1009.48157	61921.5	59199.82	61665.707	294.60638	61923.64	60954.74	1000.0	1000.0	35999	3696.6313	322.2861	4660.4746	2271.893	3696.6355	322.25238	4711.3843	2369.087	-3707.6052	1491.1808	505.46431279182434
10	62033.715	44.432262	62076.96	61966.87	61571.492	258.40445	62013.168	61258.547	1000.0	1000.0	39999	4137.5166	340.5497	5286.798	2514.8486	4137.514	340.5905	5320.7256	2469.2207	-4148.629	1608.5769	564.5868513584137
11	60736.82	1058.4109	61888.234	59431.83	61622.52	249.4751	61898.566	61279.207	1000.0	1000.0	43999	4565.9365	358.06155	5671.6206	1628.6007	4565.9385	357.9905	5776.0796	1916.7001	-4576.513	1858.9669	623.9325835704803
12	60995.27	1053.1099	62094.5	59883.363	61440.617	266.28705	61895.79	61108.195	1000.0	1000.0	47999	4980.9194	373.51492	6798.817	2730.271	4980.9253	373.52045	6520.6245	2706.2773	-4990.4033	1833.1746	682.4093146324158
13	60914.914	995.14197	62009.242	59898.93	61600.695	312.2647	62066.895	61250.617	1000.0	1000.0	51999	5380.9346	388.41165	6640.6104	3313.6008	5380.939	388.37643	6651.7544	3522.767	-5390.375	2057.0615	741.8023571968079
14	60038.336	140.0394	60237.617	59851.113	61436.938	198.77289	61817.883	61243.2	1000.0	1000.0	55999	5765.6006	402.80585	6730.781	3607.7935	5765.6025	402.78342	6662.7207	3510.031	-5773.943	2041.0208	800.4857516288757
15	61013.68	1060.6683	61993.508	59325.76	61592.582	265.14993	61897.977	61240.77	1000.0	1000.0	59999	6137.343	418.20645	7407.969	3935.267	6137.344	418.16617	7233.9023	3963.4446	-6146.509	2189.2795	859.5859975814819
16	61950.707	158.9112	62088.793	61680.78	61519.445	281.4475	61886.023	61116.457	1000.0	1000.0	63999	6501.0312	428.69946	7681.535	4263.1675	6501.0244	428.71655	7733.604	4298.105	-6510.843	2306.2686	918.8308417797089
