Epoch	AverageTestEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet0	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	Q1Vals	Q2Vals	LossPi	LossQ	Averagemmd_entropy	Stdmmd_entropy	Maxmmd_entropy	Minmmd_entropy	Averagealpha	Stdalpha	Maxalpha	Minalpha	Time
22	3378.2417	70.26804	3453.6426	3267.2678	3674.6582	88.02834	3838.1401	3537.199	1000.0	1000.0	87999	258.81183	258.8117	-258.34393	13.713153	0.65142775	0.03610194	0.80217284	0.5296355	1.5118997	0.031163136	1.6166774	1.4450521	1828.2575771808624
23	3362.5303	94.27997	3451.7344	3207.0942	3729.4602	80.10152	3845.41	3601.2876	1000.0	1000.0	91999	265.3973	265.3975	-264.9185	13.894557	0.67031324	0.037842445	0.84715486	0.55072844	1.4801165	0.039828837	1.5981452	1.3992629	1912.1779913902283
24	3468.8054	64.07574	3530.5566	3369.1113	3766.809	106.88291	3920.3306	3559.7012	1000.0	1000.0	95999	271.18735	271.18716	-270.689	13.975875	0.6695862	0.037937958	0.8017959	0.55602777	1.479692	0.039451547	1.5521598	1.3786258	1995.9487812519073
25	3506.5046	68.96216	3603.0322	3418.578	3800.0098	76.01922	3915.1914	3694.903	1000.0	1000.0	99999	276.96573	276.96576	-276.44717	14.335051	0.68142474	0.037920088	0.8164576	0.5676332	1.484625	0.054353688	1.6103582	1.3729923	2081.860059738159
26	3667.1394	50.625317	3708.4924	3580.6997	3793.9438	75.23194	3925.2798	3702.303	1000.0	1000.0	103999	282.367	282.36694	-281.8803	14.775264	0.6898704	0.03718675	0.85068685	0.5711672	1.4608628	0.031623606	1.5489656	1.394765	2165.611328601837
27	3554.3823	50.056526	3606.067	3475.4382	3905.8218	61.843895	3980.0918	3762.2095	1000.0	1000.0	107999	287.7353	287.73535	-287.20847	14.799351	0.69037974	0.03936302	0.8510629	0.56848353	1.4898349	0.043921653	1.5904424	1.4047798	2248.1057801246643
28	3634.0825	111.12916	3781.2974	3468.232	3891.6216	57.891544	3983.3386	3814.8997	1000.0	1000.0	111999	292.5227	292.5226	-291.9686	14.786451	0.69039917	0.04016252	0.82848597	0.5686546	1.4971819	0.040410537	1.5985916	1.4028013	2329.346841812134
29	3669.1338	134.07095	3842.547	3507.884	3906.6958	99.37325	4047.0332	3738.8416	1000.0	1000.0	115999	296.91153	296.9116	-296.33893	15.129743	0.6954838	0.039773423	0.8804939	0.57577115	1.512365	0.03864702	1.6075422	1.3965684	2415.366327047348
30	3608.7456	106.373604	3778.7317	3511.9265	3788.8406	466.8645	4110.2856	2421.967	1000.0	1000.0	119999	301.1125	301.11243	-300.54648	15.529976	0.7125697	0.041757196	0.87143636	0.59128904	1.4934192	0.046614785	1.6562428	1.3937309	2500.619882583618
31	3743.7395	110.70155	3905.5027	3599.1184	3973.039	52.695736	4052.1978	3893.5244	1000.0	1000.0	123999	305.70685	305.7067	-305.12823	15.488122	0.72089875	0.040914312	0.8906507	0.5975062	1.5013077	0.029129153	1.5797708	1.4233885	2586.121971845627
32	3689.3567	105.671364	3849.2607	3569.5603	4116.538	54.314514	4199.7476	4029.9473	1000.0	1000.0	127999	309.88605	309.88602	-309.27475	15.809106	0.72268116	0.04191968	0.8775103	0.5991002	1.523814	0.034227457	1.6119994	1.4339763	2670.1860110759735
33	3783.7031	48.75165	3840.2468	3705.9062	4082.0874	70.21688	4217.5483	3985.546	1000.0	1000.0	131999	313.7516	313.75174	-313.13605	15.944507	0.7302729	0.040702805	0.8971054	0.602918	1.5237805	0.028696263	1.5889379	1.435799	2754.3882250785828
34	3800.7136	79.05812	3888.2373	3693.8928	4168.336	82.87101	4348.1904	4048.014	1000.0	1000.0	135999	317.6696	317.6693	-317.05444	15.950147	0.7379744	0.041293297	0.91255623	0.60401714	1.5150741	0.038395412	1.6016469	1.4116782	2838.066373348236
35	3820.548	101.00583	3910.5718	3649.3752	4201.043	90.58041	4337.301	4069.2036	1000.0	1000.0	139999	321.45096	321.4511	-320.8196	15.924012	0.7401742	0.04023461	0.9006554	0.6086445	1.5145632	0.036109462	1.593869	1.4280827	2921.5328941345215
36	3806.8486	86.081726	3898.8486	3715.357	4235.411	97.122856	4371.9204	4077.519	1000.0	1000.0	143999	324.78763	324.7875	-324.13675	16.242672	0.75443774	0.043589823	0.91642314	0.6188371	1.5268687	0.027276237	1.6190041	1.4606723	3004.6661903858185
37	3915.004	103.12477	3980.94	3736.5884	4383.6396	91.37387	4534.957	4222.7124	1000.0	1000.0	147999	328.68665	328.6866	-328.075	16.111263	0.7793099	0.04625344	0.95667493	0.6353115	1.4954226	0.04581315	1.6301624	1.410678	3088.8609664440155
38	3936.3232	61.060448	4008.9365	3839.6704	4419.796	89.81659	4612.203	4320.9775	1000.0	1000.0	151999	332.74188	332.74182	-332.09943	16.46963	0.78983885	0.0449942	0.96633613	0.63949335	1.4892771	0.03320127	1.5854448	1.4203922	3172.5319378376007
