Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
21	4576.694	43.214466	4628.325	4512.515	5091.6406	69.6335	5176.3633	4921.966	1000.0	1000.0	83999	208.3894	82.57928	325.16373	39.416622	208.38908	82.57936	323.86307	35.950886	1.5102811	3.9997354	28.11409	-14.962867	-208.63512	16.96685	1519.8140606880188
22	4502.8545	303.8676	4733.989	3987.3518	5243.4473	120.82866	5429.314	5013.6025	1000.0	1000.0	87999	219.61362	86.622025	339.47064	-82.20628	219.61322	86.62147	341.11053	-94.03886	1.6886933	4.039342	36.10755	-13.891514	-219.84056	19.389889	1591.4170908927917
23	4878.1978	101.157196	5016.6855	4760.8257	5314.8984	381.1715	5621.591	4260.5786	1000.0	1000.0	91999	230.4097	90.15086	355.99466	-67.9913	230.40929	90.150696	356.77563	-64.1073	1.815622	4.064478	40.83966	-15.879896	-230.6211	19.617407	1663.9468758106232
24	4905.376	230.29836	5071.9346	4513.5884	5229.7227	63.926056	5298.8936	5073.265	1000.0	1000.0	95999	241.74046	93.57479	368.99487	-69.909195	241.74026	93.57557	370.55383	-66.745865	2.022822	4.1219907	51.60037	-13.295969	-241.9429	20.255875	1736.3385214805603
25	4952.7617	65.18382	5064.3774	4900.582	5335.458	114.34416	5485.813	5148.751	1000.0	1000.0	99999	252.64148	96.48507	380.35956	-60.476955	252.64095	96.48549	380.07697	-58.067135	2.1436336	4.1501565	40.936253	-12.882616	-252.8173	21.245178	1808.6891717910767
26	5161.087	127.714424	5369.244	5027.8696	5704.622	106.68136	5888.1543	5540.4272	1000.0	1000.0	103999	263.5527	99.17789	393.51257	-68.65826	263.5525	99.17832	395.0142	-66.98742	2.2465072	4.1724606	46.48751	-13.2669735	-263.71103	21.275454	1880.7161507606506
27	5193.0835	50.887196	5274.9907	5140.358	5822.836	78.40169	5934.2993	5677.7065	1000.0	1000.0	107999	273.45016	101.82777	408.73627	-70.766556	273.45004	101.828896	411.11694	-72.84951	2.2620876	4.194348	39.72267	-15.206604	-273.58594	21.672678	1953.3889079093933
28	5336.545	164.80563	5546.8193	5084.4893	5801.669	91.47008	5956.3164	5681.546	1000.0	1000.0	111999	283.477	104.04752	413.53903	-80.04818	283.47668	104.04794	413.60742	-74.72505	2.4133713	4.21167	40.817196	-13.376025	-283.59256	21.434805	2025.7013840675354
29	5287.324	192.7577	5515.113	5020.6055	5880.9224	116.78149	5993.6865	5560.9395	1000.0	1000.0	115999	292.40955	106.36372	429.2982	-64.842865	292.4092	106.36436	423.54248	-64.57405	2.481348	4.23952	49.123726	-13.79133	-292.5112	21.398628	2097.705554008484
30	5502.658	73.48158	5624.6445	5431.0083	6046.7827	126.187355	6210.6455	5736.5225	1000.0	1000.0	119999	301.3407	107.91715	431.06552	-77.64761	301.3408	107.91785	428.87015	-88.724174	2.5908298	4.2743382	59.678688	-13.525666	-301.41168	21.681246	2169.6285648345947
31	5587.712	54.67394	5658.3315	5522.494	6049.4775	99.89768	6157.976	5807.7974	1000.0	1000.0	123999	309.51627	109.947495	439.45935	-71.32642	309.51617	109.94857	438.62112	-65.6508	2.667186	4.2743616	47.090137	-14.861272	-309.5687	22.552094	2242.120892047882
32	5665.5947	158.89015	5890.216	5461.43	6111.011	75.90893	6236.383	5992.487	1000.0	1000.0	127999	318.24347	111.209984	445.84656	-70.27596	318.2431	111.21065	449.4404	-60.512543	2.733122	4.3012137	61.391003	-14.371912	-318.305	22.554085	2314.4798402786255
33	5800.4185	86.871315	5937.154	5720.2324	6353.7817	89.75931	6512.263	6231.47	1000.0	1000.0	131999	325.81085	112.79004	454.15796	-52.03598	325.81097	112.7907	455.80972	-53.272526	2.8274763	4.327988	54.022766	-13.153876	-325.8516	22.837729	2386.8285274505615
34	5869.525	78.82123	5986.4536	5791.2886	6428.1	83.36704	6600.5254	6305.572	1000.0	1000.0	135999	333.42535	113.98459	464.65747	-67.210434	333.4246	113.985306	462.79984	-56.97297	2.947371	4.366825	60.4331	-14.212494	-333.44638	23.105684	2458.922758102417
35	5960.296	121.866035	6094.695	5764.273	6545.3335	79.71263	6700.521	6425.8364	1000.0	1000.0	139999	341.067	114.9718	474.70624	-58.04936	341.0672	114.973816	474.9647	-58.127823	2.9463575	4.338322	42.91409	-14.295219	-341.08005	23.251003	2530.2972252368927
36	6045.3003	136.71825	6273.108	5908.4297	6500.215	70.841774	6611.5483	6326.029	1000.0	1000.0	143999	348.22437	116.336044	481.2466	-62.789944	348.22412	116.336914	481.8296	-66.33174	3.0398622	4.3752356	55.641735	-13.253971	-348.20563	23.720942	2602.2913448810577
37	5998.841	86.15346	6101.449	5867.482	6619.5483	126.55024	6808.102	6357.615	1000.0	1000.0	147999	355.53015	117.351906	488.18387	-67.4811	355.52975	117.3524	486.97723	-79.011314	3.120978	4.3820844	59.12163	-14.221941	-355.51486	23.872145	2674.4059205055237
38	6172.062	161.02873	6305.808	5897.4976	6723.8584	85.28123	6894.4673	6597.459	1000.0	1000.0	151999	362.2794	118.07728	492.7235	-56.516655	362.27948	118.07806	492.0339	-70.97366	3.2073884	4.409363	57.963097	-12.66831	-362.25015	24.212618	2746.5379033088684
