Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	Q1Vals	Q2Vals	LossPi	LossQ	Averagemmd_entropy	Stdmmd_entropy	Maxmmd_entropy	Minmmd_entropy	$\alpha$	Stdalpha	Maxalpha	Minalpha	Time
1	36059.39	4094.378	41078.016	30553.059	34212.55	45.2016	34270.875	34148.234	1000.0	1000.0	3999	11.131142	11.13095	-10.4439945	0.27439108	0.34112445	0.006594323	0.3663138	0.3201919	1.7999998	1.1920929e-07	1.8	1.8	121.86714601516724
2	32137.883	1716.1527	34413.96	30413.414	38757.03	332.8783	39438.625	38380.32	1000.0	1000.0	7999	32.978504	32.97863	-32.165752	0.7103197	0.35680073	0.009642413	0.39207372	0.33033517	1.7999997	2.3841858e-07	1.8	1.8	376.6845998764038
3	47793.047	9479.492	60639.547	37149.07	57726.727	5681.7036	66310.04	49405.402	1000.0	1000.0	11999	58.23249	58.23255	-57.62263	3.2168381	0.6304419	0.04740985	0.79138446	0.35954744	1.7999997	2.3841858e-07	1.8	1.8	625.7258055210114
4	55850.617	2884.1016	57662.285	50861.344	66990.33	7289.996	78732.375	54986.918	1000.0	1000.0	15999	87.41418	87.41452	-86.780685	6.3120556	0.6768465	0.031589214	0.80421805	0.57309824	1.7999997	2.3841858e-07	1.8	1.8	878.144561290741
5	61174.61	3816.139	64200.324	54742.312	71286.73	7629.319	79931.33	56605.637	1000.0	1000.0	19999	114.20039	114.20034	-113.35253	13.313436	0.78683454	0.052752897	0.9746094	0.63710505	1.7999997	2.3841858e-07	1.8	1.8	1132.9289939403534
6	67717.99	2549.3298	70700.305	64954.73	70510.86	8998.774	89238.94	57745.08	1000.0	1000.0	23999	141.04666	141.04736	-140.10628	23.189337	0.95643735	0.091965355	1.2919195	0.7449194	1.7999997	2.3841858e-07	1.8	1.8	1386.377695798874
7	62063.594	4159.383	66799.266	55450.844	75919.65	8371.255	91213.37	65210.137	1000.0	1000.0	27999	163.91989	163.91982	-162.80391	22.889568	0.83517396	0.04813897	1.0584352	0.6881156	1.7999997	2.3841858e-07	1.8	1.8	1639.5388567447662
8	63342.773	5157.6074	71862.45	58636.215	79631.08	11438.168	99962.766	62003.47	1000.0	1000.0	31999	181.33688	181.33788	-180.07986	25.963142	0.82404554	0.038950823	0.9639834	0.6763765	1.7999997	2.3841858e-07	1.8	1.8	1891.5492675304413
9	69494.05	6911.783	78121.89	62183.777	70989.44	6326.5566	82443.84	59008.72	1000.0	1000.0	35999	196.0934	196.09392	-194.71866	29.073782	0.8624607	0.04815526	1.0414754	0.7095034	1.7999997	2.3841858e-07	1.8	1.8	2144.4463312625885
10	73934.95	4005.1406	80777.305	70632.36	76744.65	11507.649	103639.195	66181.195	1000.0	1000.0	39999	209.26114	209.26132	-207.74863	29.337164	0.86820203	0.04799013	1.062017	0.71761066	1.7999997	2.3841858e-07	1.8	1.8	2396.443563222885
11	68256.09	4880.664	74237.62	63071.098	77138.6	9820.807	90637.54	58482.586	1000.0	1000.0	43999	220.44344	220.44328	-218.8567	33.49622	0.9021222	0.051004324	1.1205219	0.7492901	1.7999997	2.3841858e-07	1.8	1.8	2650.4166131019592
12	71767.01	9920.414	84498.44	57506.78	77765.664	11779.27	95270.445	58104.316	1000.0	1000.0	47999	232.00562	232.00555	-230.3275	37.71187	0.9270305	0.057726577	1.173638	0.7543109	1.7999997	2.3841858e-07	1.8	1.8	2904.0912182331085
13	74925.266	8534.292	85557.09	61965.836	72271.055	8932.771	88562.83	62459.117	1000.0	1000.0	51999	238.95444	238.95538	-237.1979	36.851006	0.8982063	0.04630222	1.0833948	0.72966146	1.7999997	2.3841858e-07	1.8	1.8	3157.0910613536835
