Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
26	218.04376	72.99299	295.5847	98.130035	493.94574	260.1088	781.7875	-85.131035	1000.0	1000.0	103999	81.9659	29.510586	242.40846	-11.66645	81.96421	29.52277	243.7327	-11.197151	-84.02236	33.51069	1221.0864281654358
27	422.42307	96.12471	515.9755	261.6554	329.3094	175.61305	695.34607	70.14692	1000.0	1000.0	107999	74.49459	29.200092	239.4506	-23.538557	74.49417	29.213251	238.94508	-23.065649	-76.75055	34.66729	1268.7761104106903
28	381.49017	185.54846	657.5249	138.3406	375.46405	150.27594	595.2226	155.8558	1000.0	1000.0	111999	67.29947	29.185675	229.83278	-38.238598	67.29783	29.20049	234.66312	-44.50549	-69.37973	35.725006	1316.5613186359406
29	560.0864	260.40863	966.2756	239.82172	264.84613	205.17477	810.803	49.948517	1000.0	1000.0	115999	60.679516	29.538074	230.39433	-40.947273	60.680103	29.549269	227.94078	-44.00096	-62.709164	36.09846	1364.3374111652374
30	276.22083	139.95798	446.884	101.68887	243.85971	274.05634	832.385	-47.554768	1000.0	1000.0	119999	54.13552	29.652914	221.91507	-59.20441	54.134945	29.663425	231.92781	-60.563496	-56.078884	35.43651	1411.7916741371155
31	330.30927	417.32635	656.72626	-381.07193	292.34003	310.7914	716.2108	-329.75906	1000.0	1000.0	123999	47.944954	29.513197	216.97731	-72.22329	47.945305	29.522192	221.98428	-70.43099	-49.891655	35.954956	1459.1383349895477
32	597.83875	297.6629	1091.0282	303.20456	562.25854	438.46167	1521.467	-29.088804	1000.0	1000.0	127999	43.051174	29.55134	210.54016	-89.630875	43.05019	29.567274	210.15477	-87.735596	-44.97256	35.47863	1506.8912608623505
33	646.1188	202.24588	915.3574	387.6646	382.00174	209.8083	702.11774	109.626465	1000.0	1000.0	131999	38.831944	29.640213	210.34233	-99.94793	38.831635	29.652506	206.8273	-99.62084	-40.768387	34.555866	1554.4983010292053
34	444.11713	288.82053	749.9631	14.957345	846.64014	201.60217	1421.2917	685.0648	1000.0	1000.0	135999	34.99428	30.028341	209.7091	-100.81999	34.994522	30.042717	208.63438	-100.38521	-37.076084	33.77317	1601.6371886730194
35	596.76373	448.45294	1327.6992	126.81483	226.84494	150.6997	411.40787	-137.35458	1000.0	1000.0	139999	31.68698	30.585629	215.8415	-96.17082	31.68628	30.599007	220.0309	-98.64515	-33.788452	33.765198	1649.1411600112915
36	414.767	364.73563	1029.9878	91.24935	545.9923	383.29974	1407.7546	9.296492	1000.0	1000.0	143999	28.993818	31.632164	217.12816	-90.340385	28.991547	31.646358	218.91867	-85.34764	-31.190228	34.647335	1696.6479170322418
37	812.3115	521.0843	1302.767	-59.585022	594.0071	277.81476	932.00525	147.34697	1000.0	1000.0	147999	26.52477	32.473763	213.24507	-96.55114	26.524796	32.486885	209.01591	-105.851715	-28.54859	34.92759	1743.8603963851929
38	553.9718	287.92813	991.5359	183.10196	965.1538	303.1123	1478.1803	563.2749	1000.0	1000.0	151999	23.810938	32.494343	217.57327	-95.31209	23.810366	32.506897	203.17065	-97.68524	-25.706366	34.950687	1791.33460688591
39	580.7888	176.6207	845.03467	347.38757	569.1085	325.42822	1257.084	239.58736	1000.0	1000.0	155999	21.025377	32.606617	207.62619	-92.693245	21.02488	32.620922	204.18497	-92.87912	-23.058445	35.032696	1838.8315796852112
40	605.2683	254.08694	1005.1388	314.65738	359.66898	269.01227	848.07745	35.992428	1000.0	1000.0	159999	18.469269	32.505733	206.19977	-100.77206	18.470867	32.51681	203.85025	-94.5126	-20.428396	34.705246	1886.3974659442902
41	295.14316	234.8251	591.44586	-63.945877	210.37737	303.98947	833.808	-298.92255	1000.0	1000.0	163999	16.10143	32.488735	208.0412	-100.72031	16.101582	32.50451	208.31871	-120.21805	-17.96364	35.019955	1933.8594942092896
42	657.0668	479.68198	1439.0304	161.2651	600.6502	312.9447	1038.8077	160.64667	1000.0	1000.0	167999	14.058786	32.42526	197.56691	-102.684044	14.058912	32.438602	197.8489	-109.27862	-15.70614	34.822	1981.1736311912537
43	18.627892	547.2068	467.77536	-916.3598	478.88495	305.89844	1169.9418	125.69811	1000.0	1000.0	171999	12.843979	32.5008	198.1403	-108.69352	12.844789	32.51342	197.96515	-119.80468	-14.672316	34.384285	2028.456785917282
44	484.9824	270.42874	893.3616	150.00986	617.2923	295.82437	1303.6327	280.4786	1000.0	1000.0	175999	11.32902	32.632122	193.94028	-149.86194	11.329586	32.64299	193.13277	-164.62468	-13.140676	34.29176	2075.9971504211426
45	389.62238	202.4872	581.70013	97.7134	566.97766	335.73395	1194.0038	119.147705	1000.0	1000.0	179999	10.1408615	32.239132	184.22983	-170.97156	10.142185	32.249275	185.73883	-188.70001	-11.911693	33.79967	2123.5165791511536
46	596.1235	169.32956	725.8507	311.49075	488.74405	587.32526	1705.5343	-124.53274	1000.0	1000.0	183999	9.240781	32.23934	177.78218	-183.02876	9.241342	32.250725	179.84738	-204.03246	-11.066447	34.490665	2170.869823694229
47	498.47934	284.2858	903.2702	139.47766	586.1986	274.3708	1135.793	297.05377	1000.0	1000.0	187999	8.040511	32.13359	175.32542	-220.32152	8.03914	32.146442	173.20062	-215.42967	-9.763864	35.185307	2218.187828063965
48	680.8872	111.15015	830.0588	518.31195	638.521	431.87357	1690.0707	193.47511	1000.0	1000.0	191999	6.5703807	32.00504	167.14946	-232.34685	6.5705104	32.01767	167.4751	-235.4371	-8.352762	35.409977	2265.3489990234375
49	633.283	271.5853	901.7459	205.97536	785.53766	326.93198	1243.801	258.31366	1000.0	1000.0	195999	4.991826	32.082085	166.92622	-275.84784	4.9919376	32.09164	164.33662	-304.10968	-6.819513	36.080772	2312.622059106827
50	484.49	254.15417	800.9803	168.49973	886.65216	491.252	1764.7542	238.7307	1000.0	1000.0	199999	3.925621	32.182533	168.88907	-292.4452	3.9243433	32.19618	163.48315	-295.5323	-5.728076	36.540768	2360.2625749111176
51	615.84924	252.81166	1038.8527	373.35223	817.9733	268.5272	1342.0781	329.7936	1000.0	1000.0	203999	2.8009665	32.112034	171.41301	-293.05667	2.8017194	32.12173	157.19098	-304.5238	-4.6664424	36.534657	2407.8670275211334
52	529.5823	195.53993	749.1218	216.71318	473.29214	216.52762	785.90344	35.04487	1000.0	1000.0	207999	1.7043514	32.048557	208.5362	-284.88596	1.7047411	32.060364	198.16356	-294.54385	-3.68309	36.224033	2455.5810883045197
53	558.2142	449.85013	1300.4518	111.893456	654.3537	112.671265	877.5875	502.64825	1000.0	1000.0	211999	1.0127301	31.300526	197.4544	-268.70428	1.0164772	31.312962	193.33691	-269.8262	-2.7990751	35.43232	2503.0580282211304
54	583.94275	254.68018	928.49146	211.27254	698.5665	329.47757	1397.5029	264.59067	1000.0	1000.0	215999	0.21244761	30.856123	209.70444	-254.45029	0.21873143	30.868261	223.06494	-256.76395	-1.9337734	34.702488	2550.18235707283
