Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Averagemmd_entropy	Stdmmd_entropy	Maxmmd_entropy	Minmmd_entropy	Averagealpha	Stdalpha	Maxalpha	Minalpha	Time
18	1282.2302	93.982216	1358.4028	1125.7737	1358.282	201.21346	1598.3768	944.41925	1000.0	1000.0	71999	107.6495	36.44833	248.89888	43.87405	107.64957	36.448513	247.99585	44.90441	-108.14806	4.802798	2.2985032	0.025488794	2.3797958	2.1917431	0.006738242	1.1124023e-06	0.006742141	0.006735062	1810.8875188827515
19	1436.2129	145.79932	1619.0659	1220.7765	1350.5024	161.09119	1581.1644	1027.5103	1000.0	1000.0	75999	111.22258	36.324806	263.6668	43.256344	111.22259	36.325558	262.8333	46.035038	-111.90864	5.4750166	2.3157945	0.02262149	2.3828301	2.2261803	0.0067382585	1.0505788e-06	0.006741354	0.0067353803	1910.5440628528595
20	1160.8838	248.90718	1579.0416	967.0518	1112.5382	356.93314	1720.1064	511.5741	1000.0	1000.0	79999	114.99562	36.66204	272.78	-16.960686	114.99596	36.66185	273.36816	-16.96491	-115.47277	6.386467	2.3051972	0.024053436	2.3873122	2.2000697	0.0067382725	1.1251632e-06	0.006742289	0.0067354026	2010.2676842212677
21	1203.9885	274.065	1522.6476	823.7449	1133.5774	106.64435	1329.822	971.0595	1000.0	1000.0	83999	115.64373	37.644093	290.94708	-14.712959	115.64377	37.64379	291.43033	-13.396538	-116.079	7.5828056	2.3140886	0.022788862	2.3872497	2.218381	0.0067382907	1.1097976e-06	0.006741833	0.006735114	2109.2887160778046
22	1108.7876	390.36475	1417.4392	438.75406	1687.7849	72.925354	1813.8358	1586.7485	1000.0	1000.0	87999	117.62078	37.353012	302.90723	23.121794	117.62086	37.35266	303.33588	21.759905	-118.11544	7.9827166	2.3153138	0.02287602	2.386028	2.2269256	0.0067382813	1.1058381e-06	0.006741443	0.0067355405	2205.7840399742126
23	1714.9642	94.26558	1784.7595	1553.5532	1632.4015	350.92444	2117.713	743.29553	1000.0	1000.0	91999	120.7954	38.860096	336.714	39.74878	120.79566	38.85966	340.25464	40.476696	-121.267815	8.333301	2.31348	0.02256619	2.3806045	2.2334387	0.006738265	1.123695e-06	0.0067413887	0.006735509	2311.0197875499725
24	1551.6007	117.69719	1667.1166	1361.0795	1737.1487	141.04416	1942.5713	1506.2477	1000.0	1000.0	95999	123.91843	42.20012	353.19516	40.25788	123.91849	42.200005	355.27338	38.4607	-124.43061	8.720366	2.312899	0.02221788	2.3831875	2.2230065	0.00673825	1.0681188e-06	0.0067413696	0.0067353933	2409.648385286331
25	1713.6367	195.20955	1999.5427	1472.9861	977.4199	601.20105	1761.6893	478.91763	1000.0	1000.0	99999	127.0351	45.227665	361.29977	38.317207	127.0354	45.22781	363.1345	37.96364	-127.49213	8.676516	2.3043664	0.022743791	2.3771348	2.2327406	0.0067382497	1.1493647e-06	0.0067424783	0.006735152	2506.422656059265
26	1697.7214	158.77538	1866.7847	1449.2584	1862.4121	131.207	2101.0764	1544.3634	1000.0	1000.0	103999	130.2786	48.022076	370.22583	40.97305	130.27838	48.021984	371.71075	41.43822	-130.7402	9.00832	2.298085	0.024244897	2.3767536	2.1845894	0.006738259	1.121859e-06	0.0067423503	0.0067352485	2603.640448331833
27	1880.7494	155.14204	2052.001	1629.9526	1922.7803	67.33625	2018.5613	1798.0365	1000.0	1000.0	107999	133.03903	50.511303	380.01062	42.231064	133.03905	50.510506	380.7782	43.136883	-133.47191	9.177553	2.283429	0.024116926	2.3678489	2.182639	0.006738214	1.1351584e-06	0.0067423885	0.006735261	2702.9464864730835
28	1827.2141	163.43013	1948.7605	1546.2434	1921.2926	102.403854	2049.2063	1727.4045	1000.0	1000.0	111999	135.80705	52.24393	375.85895	42.898422	135.80693	52.24339	375.37393	41.63876	-136.23851	9.902832	2.2757988	0.02520431	2.3481994	2.1674068	0.006738197	1.1397484e-06	0.0067422506	0.0067352136	2809.3348627090454
29	1904.9878	115.47436	2074.585	1795.6914	1961.7067	119.63301	2114.224	1731.9932	1000.0	1000.0	115999	138.39609	51.38789	375.35907	40.287502	138.3962	51.38625	374.56122	40.20648	-138.76817	10.192062	2.2665303	0.025648205	2.3454432	2.1770241	0.0067382315	1.1717956e-06	0.0067421184	0.006734937	2915.7689204216003
