Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Averagemmd_entropy	Stdmmd_entropy	Maxmmd_entropy	Minmmd_entropy	AverageQ_penalty	StdQ_penalty	MaxQ_penalty	MinQ_penalty	Time	$\alpha$
18	476.43732	152.10054	803.36957	208.10869	533.5371	144.43903	747.2872	323.20514	99.175	106.6	71999	157.01216	88.154625	316.81094	-54.961853	157.01193	88.153694	318.0488	-25.33257	-154.33864	61.824768	3.3100839	0.09264602	3.635028	3.009057	16.811762	1.4293988	22.864574	12.954739	4476.10480928421	1.2
19	486.1948	119.90947	859.6623	301.1456	526.47986	201.7829	1025.2809	298.02777	98.80488	100.3	75999	152.85893	84.49304	289.78278	-26.98726	152.85905	84.490486	292.81403	-25.91665	-150.10573	57.991276	3.1487265	0.074952714	3.4213214	2.8959813	15.735758	1.378908	21.266953	11.947124	4728.802071094513	1.2
20	480.7208	119.65975	826.9375	283.97394	415.16626	124.34739	662.36536	299.8822	96.46342	83.3	79999	148.83604	80.91602	281.268	-17.671755	148.83603	80.915016	283.73953	-26.253296	-146.05084	52.359085	2.976718	0.106244974	3.3086715	2.6774395	14.994014	1.3087407	20.752783	11.715651	4980.212287425995	1.2
21	556.2538	211.56187	989.49347	200.4213	551.62274	144.65007	804.4581	357.53683	108.675674	104.9	83999	145.77406	77.86899	270.19763	-35.418537	145.77441	77.8683	271.477	-27.04638	-142.93398	49.70972	2.8090503	0.06884196	3.0537632	2.5545666	14.331896	1.2011397	20.123737	11.188067	5233.154590129852	1.2
22	551.8988	176.50916	1030.8179	265.48325	569.50024	280.75232	1258.1503	302.35947	110.166664	112.2	87999	145.68839	76.285675	268.39233	-19.946896	145.68909	76.283844	268.45715	-19.229162	-142.84038	48.944	2.76323	0.06793357	2.998281	2.5173242	14.106859	1.1494874	18.424511	10.899184	5484.537516117096	1.2
23	555.80304	210.46986	1346.7614	258.39017	659.5182	195.61287	1103.8347	418.77133	109.4054	128.0	91999	147.4026	76.30002	267.33325	-47.66852	147.4025	76.29879	263.85983	-22.870676	-144.61179	49.045284	2.7022963	0.0739246	2.9935794	2.438097	14.029964	1.2143729	19.294956	10.557709	5733.281703472137	1.2
24	538.895	163.88689	949.6149	239.94426	612.9254	219.77089	1008.07214	330.45978	105.27027	114.9	95999	150.26472	77.4171	273.14438	-23.382942	150.26308	77.41886	273.4046	-20.7052	-147.50356	50.26065	2.7008443	0.06504973	2.9091475	2.4266326	13.970422	1.1502792	18.358349	10.961112	5984.939172267914	1.2
25	637.413	219.56345	1221.8405	340.00513	774.88763	219.3419	1208.343	450.89172	124.48485	147.1	99999	154.04018	79.50264	278.19162	-24.790228	154.0386	79.50266	276.76575	-29.242224	-151.28444	53.230747	2.7673569	0.08394754	3.0835767	2.4561756	14.243313	1.2019663	19.929453	11.062641	6237.523968458176	1.2
26	734.89777	282.48874	1666.6133	379.11853	679.0377	192.2056	1022.74347	362.64532	143.07143	127.9	103999	159.19801	82.36284	287.8566	-27.138512	159.1982	82.362656	287.8501	-26.775997	-156.45047	56.614155	2.8459318	0.06909781	3.0792012	2.5870023	14.664172	1.2463087	19.743242	11.511827	6489.303814411163	1.2
27	741.2011	262.93802	1495.1848	355.10162	939.334	358.01718	1592.4945	572.7831	142.28572	181.0	107999	164.63348	85.246994	294.60953	-19.267462	164.63338	85.24597	297.89557	-22.870214	-161.94054	60.327454	2.8983276	0.07848542	3.166274	2.6357276	15.188488	1.3086945	20.659925	11.8665085	6742.029628276825	1.2
28	698.7445	224.93977	1304.8408	336.0564	961.9824	305.40927	1426.3109	514.2207	135.7931	178.8	111999	171.34155	88.965355	315.78577	-33.328426	171.34064	88.964714	313.7874	-58.72828	-168.66658	64.02398	3.0171263	0.07295057	3.2814791	2.7682183	15.460209	1.2976247	20.900085	12.0072775	6994.823683023453	1.2
29	756.736	199.93283	1319.4344	414.66693	898.9624	326.24112	1528.1106	538.7038	144.60715	174.3	115999	177.22694	92.14732	316.59583	-33.67731	177.22664	92.146805	313.0224	-36.12047	-174.52518	67.78945	3.057835	0.07926776	3.3465838	2.7746558	15.916571	1.3606664	21.730051	12.188295	7245.692264556885	1.2
30	757.60925	279.42258	1542.6984	404.35214	1169.5249	497.48016	2099.9617	524.0894	148.23077	224.7	119999	183.24545	95.148415	327.6533	-36.37039	183.24524	95.14668	328.27362	-24.928959	-180.55971	73.804436	3.15964	0.076676846	3.4386623	2.8800788	16.32829	1.3902447	22.792511	12.578074	7495.939800262451	1.2
31	955.4091	310.58075	1573.397	494.39188	1042.3896	243.55122	1431.9857	604.39087	181.31818	190.4	123999	189.35033	99.04084	343.16266	-29.606762	189.35156	99.03868	337.42352	-24.326097	-186.67203	77.3101	3.2364864	0.073645346	3.555886	2.9827442	16.827032	1.4094143	23.997545	13.351388	7748.099697589874	1.2
32	997.2444	326.85184	1573.5701	398.2931	963.6636	382.7684	1647.8223	581.7043	187.95454	180.2	127999	194.65147	101.39196	356.6565	-31.395569	194.6517	101.38974	360.03946	-23.233051	-191.92819	81.801895	3.2341478	0.07529461	3.5289006	2.932489	17.003746	1.4402896	24.34143	13.230039	8001.975473642349	1.2
33	1023.7285	544.44434	2846.7678	509.7972	1145.9924	394.94742	2106.7803	648.02356	198.8	205.3	131999	199.38432	103.961876	355.58145	-23.381823	199.38432	103.96134	360.71548	-23.322708	-196.61812	84.97563	3.32037	0.084472194	3.6023695	3.000079	17.42709	1.480697	24.154985	13.328442	8254.873725414276	1.2
34	1163.3544	618.86694	2645.6777	381.1931	834.40607	339.67426	1332.9395	326.06836	222.23529	159.1	135999	205.8408	106.855774	366.26492	-26.224976	205.84119	106.85464	365.38333	-25.245152	-203.13385	89.6069	3.3962836	0.07414319	3.6768985	3.1214554	17.869604	1.5360882	25.441187	13.806553	8505.18707203865	1.2
35	1142.8958	496.6724	2472.8635	486.26776	1834.8746	522.78436	2901.6426	1295.0693	214.85	324.5	139999	211.7325	109.59526	383.9064	-33.457733	211.73286	109.594025	382.93378	-26.677908	-208.99097	91.599915	3.4488857	0.07235325	3.6998603	3.182514	18.318626	1.5408075	25.143515	14.301559	8757.02861571312	1.2
36	1693.1763	618.5972	3005.7449	841.00757	877.871	338.31564	1668.977	440.55637	301.6154	159.2	143999	216.40189	112.13772	377.98157	-37.179523	216.40202	112.13791	380.7581	-30.884476	-213.62961	96.31395	3.4465747	0.071034215	3.709155	3.1789076	18.504066	1.5816001	25.671635	14.491111	9006.352904558182	1.2
37	1793.3439	633.9836	3111.208	1019.6981	1303.6986	456.96774	2356.7632	714.8147	325.41666	233.1	147999	220.73642	113.703865	384.30768	-42.68806	220.73717	113.703186	386.3008	-38.94631	-217.96222	100.02792	3.462256	0.08150834	3.7609923	3.1826062	18.787935	1.6228625	27.152294	14.860476	9255.216458559036	1.2
