Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Averagemmd_entropy	Stdmmd_entropy	Maxmmd_entropy	Minmmd_entropy	AverageQ_penalty	StdQ_penalty	MaxQ_penalty	MinQ_penalty	Time	$\alpha$
18	5687.0205	115.21112	5866.832	5545.496	5873.76	46.472523	5931.6196	5793.502	1000.0	1000.0	71999	364.4934	96.238625	489.25784	85.57182	364.49335	96.236404	486.48373	80.518105	-365.58588	18.213938	2.8300598	0.036143143	2.9559937	2.6869674	11.386657	0.5732044	13.440748	9.486932	1402.0471272468567	0.0
19	5736.0913	34.174046	5773.181	5680.2754	5613.9736	133.01152	5898.4443	5483.3545	1000.0	1000.0	75999	383.25568	99.12359	506.1453	85.82331	383.2556	99.12135	506.4018	85.18706	-384.35364	18.651413	2.8394	0.03604313	2.960952	2.7066727	11.838532	0.5939759	14.04968	9.831695	1479.4142832756042	0.0
20	5855.702	118.97841	5968.4995	5666.789	5894.686	98.68093	6001.5205	5689.3325	1000.0	1000.0	79999	400.3651	101.7536	527.5857	86.46015	400.36517	101.751236	527.0851	84.16736	-401.45267	19.70802	2.8435175	0.036128588	2.9794583	2.7223654	12.141402	0.61720103	14.603725	9.892487	1556.8751044273376	0.0
21	5972.1455	46.9211	6008.953	5892.4966	6000.355	122.17289	6179.7056	5819.77	1000.0	1000.0	83999	417.07852	103.25988	538.0468	88.49712	417.0787	103.25745	537.747	80.204895	-418.16925	20.019728	2.857202	0.035111126	2.992796	2.717181	12.514505	0.62012184	14.748481	10.448414	1635.298238992691	0.0
22	5994.464	156.67384	6185.2886	5802.2686	6250.689	96.91439	6421.9785	6053.3555	1000.0	1000.0	87999	432.31436	104.88001	551.37744	92.377266	432.31415	104.87784	552.2514	92.52267	-433.3792	19.630478	2.8613951	0.03528164	2.98318	2.7408595	12.72198	0.63221574	15.231373	10.865937	1715.09148645401	0.0
23	6081.483	54.30242	6123.55	5989.321	6088.1655	56.659843	6209.5576	6017.5312	1000.0	1000.0	91999	446.37808	105.66973	564.3647	98.36751	446.37793	105.66759	564.245	94.18293	-447.41995	19.857025	2.8690045	0.0346349	2.9989502	2.7450695	12.996736	0.65580475	15.467561	10.887648	1793.6807618141174	0.0
24	6151.337	48.132866	6226.704	6094.4624	6197.5005	327.4222	6506.642	5317.209	1000.0	1000.0	95999	459.70203	106.289474	572.08435	103.48038	459.702	106.2876	572.7232	100.33814	-460.72574	19.698421	2.8768134	0.03457769	2.9863253	2.7238963	13.194056	0.63931507	15.91899	11.011104	1873.6552367210388	0.0
25	6192.584	79.857475	6279.413	6064.659	6162.4663	113.92434	6274.5557	5934.4624	1000.0	1000.0	99999	471.54572	107.51231	584.84375	106.98442	471.5456	107.51007	585.6854	107.524284	-472.54407	20.022945	2.8682415	0.035847805	3.002212	2.7483916	13.487816	0.6541261	16.269108	11.020686	1951.3012783527374	0.0
26	6247.9595	103.1413	6407.394	6155.02	6533.883	118.93353	6762.7524	6320.4766	1000.0	1000.0	103999	482.70316	108.26425	593.2742	104.92096	482.70337	108.26198	593.6837	100.74799	-483.7014	20.684195	2.8775334	0.03490644	3.0014431	2.7391539	13.687701	0.6746283	16.124702	11.478134	2029.612357378006	0.0
27	6400.309	177.99274	6598.6655	6186.791	6378.044	131.6469	6520.68	6037.306	1000.0	1000.0	107999	493.0138	109.130424	604.38074	109.93101	493.0136	109.12767	605.2234	105.529015	-494.00595	21.511927	2.872046	0.03481297	2.9851332	2.7531574	13.9586525	0.70612055	16.777798	11.618604	2111.181672811508	0.0
