Epoch	AverageTestEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet0	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	Q1Vals	Q2Vals	LossPi	LossQ	Averagemmd_entropy	alpha	Time
32	138455.72	14948.263	149557.72	112900.195	149110.25	6549.527	154407.42	131612.42	1000.0	1000.0	127999	514.4684	514.46875	-511.9895	71.776146	2.2983997	1.1795716	4113.279048919678
33	139356.23	14380.869	153617.14	115872.67	145787.52	13933.486	154511.05	117468.35	1000.0	1000.0	131999	518.8104	518.8094	-516.29877	69.7377	2.2990987	1.1576648	4348.34099984169
34	146709.77	7184.6733	155101.9	135249.31	144076.45	13450.472	154525.9	118856.875	1000.0	1000.0	135999	521.91754	521.91754	-519.43225	67.6513	2.3022406	1.1493167	4580.28345990181
35	145004.6	4317.8696	151801.78	141105.86	137551.38	21256.467	161838.22	103825.984	1000.0	1000.0	139999	526.1975	526.19794	-523.7492	67.02297	2.3002496	1.1196285	4812.892983675003
36	149860.81	4457.408	153961.42	142492.2	141194.44	9362.054	152187.34	126285.9	1000.0	1000.0	143999	530.04694	530.047	-527.6458	65.300766	2.2980165	1.0943917	5049.3245215415955
37	145310.53	6736.1855	152774.97	134737.44	147854.73	6132.8687	155857.39	137312.31	1000.0	1000.0	147999	534.10675	534.1067	-531.71796	63.16044	2.2977705	1.093066	5283.261389970779
38	139396.39	11919.524	149160.94	119313.07	146852.81	10700.585	159458.31	126805.445	1000.0	1000.0	151999	538.54315	538.54266	-536.13885	62.962452	2.30233	1.0943753	5516.3320071697235
39	141719.8	11936.4	153559.52	122429.5	143111.42	19385.72	160784.62	98266.54	1000.0	1000.0	155999	542.84265	542.8428	-540.42114	63.629097	2.300693	1.0932239	5749.805108308792
40	145201.17	2801.9458	147746.2	140609.84	144259.98	15027.088	159594.38	112826.34	1000.0	1000.0	159999	546.5933	546.5933	-544.15375	62.210243	2.2982798	1.1004572	5981.546044826508
41	140001.0	17815.871	152630.95	109247.34	145846.97	18609.928	161856.6	106110.15	1000.0	1000.0	163999	550.1537	550.15283	-547.7576	62.347717	2.299199	1.0616578	6216.7283709049225
42	144077.8	14746.676	156902.42	119200.18	149393.64	16582.094	164003.86	114733.66	1000.0	1000.0	167999	552.84454	552.8447	-550.41833	62.647915	2.3015373	1.0632199	6450.939400196075
43	136811.73	24007.422	158721.12	98093.21	150362.47	8512.351	159685.73	133609.4	1000.0	1000.0	171999	556.17804	556.17847	-553.6929	62.832314	2.2967548	1.0761372	6683.557250261307
44	135839.89	17309.643	156324.1	110195.664	141681.28	26469.7	175258.22	84016.03	1000.0	1000.0	175999	558.15985	558.1593	-555.6622	64.21558	2.305525	1.0741872	6918.446411371231
45	140681.94	22857.836	167998.52	105628.97	149932.28	23213.982	180846.14	93901.81	1000.0	1000.0	179999	560.99506	560.99457	-558.4681	65.97822	2.2951772	1.0837567	7153.113386631012
46	124149.14	13220.933	145359.27	108959.42	134236.58	21348.607	164715.34	87823.23	1000.0	1000.0	183999	562.77246	562.77246	-560.18335	69.765816	2.300368	1.103699	7385.474451303482
47	139075.17	14462.228	152520.97	116308.83	138443.39	27215.01	172987.0	79202.734	1000.0	1000.0	187999	564.33704	564.33655	-561.6897	73.84344	2.3021069	1.1266603	7618.550166606903
48	147322.38	6054.987	151930.72	136922.12	148479.83	25197.246	181519.33	94039.25	1000.0	1000.0	191999	566.2566	566.2567	-563.5354	76.8318	2.3020177	1.1472684	7852.87971329689
49	146898.77	14981.736	162187.86	124617.21	140367.06	24039.672	180434.97	82879.07	1000.0	1000.0	195999	568.5717	568.57153	-565.76697	79.67513	2.2986608	1.1820544	8088.088207244873
50	155752.42	6717.5405	166163.75	147585.31	144457.58	18633.844	176735.12	100867.1	1000.0	1000.0	199999	570.48254	570.4822	-567.66876	80.39826	2.3013272	1.1752443	8321.43831038475
51	157006.95	8721.127	164226.72	142177.61	142338.45	12032.905	156334.06	122822.0	1000.0	1000.0	203999	572.86914	572.8699	-569.9751	84.91029	2.3003793	1.2195972	8554.987495660782
52	141988.38	12989.18	155080.94	120381.984	154847.36	22460.094	188339.36	100332.88	1000.0	1000.0	207999	574.8617	574.8618	-571.90814	88.946335	2.3013778	1.2305125	8789.899498701096
53	138606.03	20790.824	171756.78	115645.13	147381.16	18335.98	191636.38	119460.47	1000.0	1000.0	211999	576.86	576.8596	-573.8018	95.62824	2.3000445	1.2837358	9024.518654584885
54	147647.98	11761.257	158156.77	128409.62	146648.33	11871.71	171630.02	132302.9	1000.0	1000.0	215999	578.8701	578.86926	-575.6093	105.304924	2.3306432	1.369587	9258.349225521088
55	157825.6	13467.273	171157.77	138644.72	146814.12	15113.854	177625.19	114558.51	1000.0	1000.0	219999	582.5367	582.5364	-579.2706	112.16264	2.4189816	1.3715096	9491.998697757721
56	131691.22	37001.504	175231.48	75403.88	143426.55	31048.73	172720.19	71947.23	1000.0	1000.0	223999	593.74506	593.74506	-590.4039	126.02933	2.743049	1.5013348	9727.040263175964
57	152008.38	19140.178	173736.16	128906.266	145737.05	27186.504	178963.56	86185.41	1000.0	1000.0	227999	611.4167	611.4173	-608.4219	135.71782	2.9385374	1.3378955	9962.722744464874
58	167282.69	17159.725	183292.98	141983.7	161969.12	28287.754	212592.1	116985.695	1000.0	1000.0	231999	623.5538	623.5532	-620.5354	136.54088	2.948239	1.254928	10196.193767547607
59	154385.44	36365.707	196571.42	96229.66	154866.83	24051.676	198040.48	105317.8	1000.0	1000.0	235999	630.87354	630.87274	-627.7278	136.98082	2.9465644	1.2641087	10430.709943532944
60	175282.08	8453.938	189333.14	166736.62	171086.6	13626.511	192778.56	154059.11	1000.0	1000.0	239999	637.36914	637.36945	-634.1394	139.54901	2.9531622	1.2720628	10663.130551815033
61	164375.31	18451.9	195802.75	148568.81	157822.78	15970.847	186465.53	127005.07	1000.0	1000.0	243999	643.39734	643.39655	-640.2527	146.18451	2.953113	1.2424715	10894.91655087471
62	163666.64	16321.901	186225.61	145305.8	165185.95	22318.482	204719.27	114206.766	1000.0	1000.0	247999	648.51263	648.51294	-645.1951	151.82712	2.9508317	1.3181529	11125.124356508255
63	171436.98	26748.963	206574.39	132092.4	165468.16	25895.27	231465.67	132936.42	1000.0	1000.0	251999	656.3421	656.3404	-652.87463	159.34315	3.0266623	1.3642881	11358.703196763992
64	135008.34	17003.56	147223.36	105744.945	157488.05	13424.713	178554.11	138889.31	1000.0	1000.0	255999	662.1762	662.1753	-658.71875	168.25768	3.0526986	1.3283691	11590.952619552612
