Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Averagepi_penalty	Stdpi_penalty	Maxpi_penalty	Minpi_penalty	Averagesh_penalty	Stdsh_penalty	Maxsh_penalty	Minsh_penalty	AverageQ_penalty	StdQ_penalty	MaxQ_penalty	MinQ_penalty	Time
16	3848.1013	68.71503	3949.443	3758.049	4170.454	104.025986	4315.1426	3999.861	1000.0	1000.0	63999	263.72934	60.100822	326.03223	1.8346236	263.7294	60.100952	325.03665	1.6761659	-263.22943	9.997736	1.0359716	0.04799683	1.2314844	0.86796904	0.34640992	0.031595066	0.54265517	0.22466032	7.43875	0.37532535	8.907973	6.2301574	1106.6473128795624
17	4009.8066	78.22245	4108.101	3925.7441	4374.803	80.83301	4500.836	4209.83	1000.0	1000.0	67999	277.84274	61.00186	340.00165	0.3769877	277.8426	61.002144	339.12805	1.7088317	-277.3203	10.317925	1.0643748	0.04932271	1.2332886	0.897649	0.34417924	0.031030461	0.4709472	0.23601012	7.5836773	0.38857675	9.133194	6.241389	1177.0375208854675
18	4137.102	59.010315	4187.6323	4036.5127	4414.1396	94.63723	4537.8057	4207.378	1000.0	1000.0	71999	291.44705	61.707424	353.73108	4.7968674	291.447	61.70792	354.39505	4.6275835	-290.8981	10.425534	1.1090838	0.050033744	1.2780745	0.9164533	0.3422086	0.030370705	0.47195813	0.23698196	7.669408	0.3957923	9.194101	6.1923547	1247.6700990200043
19	4289.5244	78.3136	4387.6006	4204.132	4558.8843	67.7342	4691.3467	4464.751	1000.0	1000.0	75999	304.16788	62.917564	372.05057	7.1534696	304.16785	62.91791	371.48486	8.041947	-303.594	10.72438	1.1531732	0.05372394	1.3562397	0.9518269	0.34451234	0.03301614	0.48947948	0.21343644	7.816166	0.4022563	9.509654	6.422605	1320.4629163742065
20	4048.5498	646.36536	4496.655	2932.956	4811.819	37.792755	4890.8296	4761.6064	1000.0	1000.0	79999	316.4987	64.75109	386.885	9.784128	316.49878	64.75152	385.71094	10.081314	-315.91183	11.670965	1.2237864	0.06622145	1.4292802	1.0158212	0.343258	0.033381503	0.46884763	0.2180065	8.025365	0.42884004	10.0623255	6.2309327	1394.4279956817627
21	4587.471	14.329891	4607.719	4567.301	5016.057	93.71367	5257.2295	4923.2476	1000.0	1000.0	83999	329.38333	66.9514	404.3735	9.876406	329.38336	66.95123	403.94894	10.906455	-328.78052	11.848307	1.2911098	0.0556919	1.5009025	1.0763828	0.33868042	0.03375129	0.47456166	0.22702715	8.27475	0.43372366	9.744036	6.6691003	1468.106427192688
22	4759.5015	106.1595	4922.6055	4635.7905	5084.404	98.1286	5266.0405	4994.388	1000.0	1000.0	87999	342.2491	69.27618	419.6	8.503651	342.24905	69.27607	420.21558	10.187257	-341.64023	12.174474	1.3506045	0.06286284	1.5667409	1.1052246	0.33896312	0.036146004	0.51188785	0.20138745	8.540539	0.45106128	10.225215	7.133027	1539.12934756279
23	4855.4336	75.6432	4966.459	4783.5415	5272.8174	60.621582	5376.627	5152.0815	1000.0	1000.0	91999	355.7411	70.9562	437.2936	3.6789308	355.74097	70.9564	436.7375	7.2764363	-355.12024	11.837326	1.4085654	0.059589583	1.618974	1.2159231	0.3355268	0.036419783	0.51577574	0.211344	8.679313	0.45637828	10.357169	7.0017443	1611.2931590080261
24	4977.244	139.82799	5123.122	4748.274	5454.0596	76.89094	5636.5415	5345.8965	1000.0	1000.0	95999	368.6771	72.1208	449.08237	8.620956	368.67725	72.12079	451.05734	9.340392	-368.051	12.232323	1.454933	0.061166875	1.7024786	1.2314999	0.33350548	0.036259055	0.49560043	0.20770729	8.856467	0.46084026	10.463515	7.2893066	1683.0401203632355
25	5162.99	97.50976	5304.282	5044.12	5421.7275	109.43356	5613.047	5253.6357	1000.0	1000.0	99999	381.67465	74.11342	466.95502	1.3812467	381.67484	74.11379	467.36554	1.9712917	-381.0275	12.509459	1.4888601	0.05912409	1.6889967	1.2665157	0.32973406	0.037130877	0.5087773	0.20598988	9.006014	0.4606005	10.84875	7.5803103	1754.1236927509308
