Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	Q1Vals	Q2Vals	LossPi	LossQ	mmd_entropy	alpha	Time
32	117484.57	14201.788	138378.83	101025.59	135824.28	17410.926	176514.53	114774.44	1000.0	1000.0	127999	482.1002	482.10135	-478.99625	181.83002	2.8240027	1.3392075	7473.617250442505
33	134112.38	25004.14	162237.3	93688.086	126674.58	13716.745	149859.34	103374.19	1000.0	1000.0	131999	487.8211	487.82367	-484.6425	191.62997	2.8303697	1.3376644	7704.8045473098755
34	121987.16	13270.084	140344.56	102941.25	141404.56	11060.698	157450.23	124248.555	1000.0	1000.0	135999	493.6658	493.66788	-490.38837	200.12999	2.8662398	1.3704934	7937.7882289886475
35	132280.73	16356.1455	149409.05	110191.29	126206.71	20418.67	154792.47	94172.35	1000.0	1000.0	139999	500.5807	500.58237	-497.19174	210.56357	2.930627	1.4024284	8171.760763168335
36	113095.836	19476.24	127514.5	79537.15	140127.66	16845.123	162768.72	110047.29	1000.0	1000.0	143999	508.05493	508.05557	-504.62454	219.21347	3.0045612	1.3895003	8403.456642150879
37	113894.945	28448.62	158483.75	83476.1	127922.875	19233.24	163846.31	100680.34	1000.0	1000.0	147999	512.1884	512.1904	-508.75797	221.42928	3.037097	1.3459927	8637.047226667404
38	130146.78	10636.362	141226.0	113583.64	130649.29	19547.596	152321.12	80177.99	1000.0	1000.0	151999	516.6162	516.619	-513.18304	226.29381	3.0665796	1.3210449	8869.268533706665
39	153471.31	11678.445	173677.89	145911.11	151832.11	16226.273	176519.16	123353.59	1000.0	1000.0	155999	519.11847	519.1196	-515.547	230.68842	3.0823383	1.3299206	9099.367408514023
40	139080.0	12148.72	151326.95	119384.92	153175.16	20175.688	193086.66	121119.48	1000.0	1000.0	159999	523.70746	523.71	-520.1527	238.33388	3.0949214	1.3161325	9332.914494276047
41	147089.02	26472.838	180302.34	120719.516	149190.34	12902.615	166439.08	126779.26	1000.0	1000.0	163999	525.93616	525.93646	-522.2741	242.75763	3.1019146	1.3294988	9565.452135562897
42	147644.75	17752.277	163564.16	119983.51	155461.83	11643.49	176783.97	140884.06	1000.0	1000.0	167999	529.7767	529.7773	-526.0619	245.76837	3.139676	1.3626148	9796.651350975037
43	134517.94	13938.63	157869.19	121093.1	145342.42	14705.046	168429.44	120321.83	1000.0	1000.0	171999	535.24854	535.25006	-531.5385	248.20612	3.1719775	1.3567951	10029.141482591629
44	133334.53	8468.006	142881.89	119658.05	153198.97	15742.409	177209.9	119940.16	1000.0	1000.0	175999	538.1708	538.1722	-534.35974	247.89807	3.1709461	1.3302891	10261.631791830063
45	157390.0	22493.549	184687.4	131502.95	154098.48	9790.232	171686.64	140081.44	1000.0	1000.0	179999	540.398	540.398	-536.5531	255.97792	3.1741652	1.3415147	10490.922319412231
46	123994.5	25697.83	156884.83	94334.94	152214.2	19731.105	186906.34	124274.04	1000.0	1000.0	183999	542.1206	542.12164	-538.2364	251.15247	3.194542	1.3287281	10722.956584215164
47	137941.25	22679.31	167179.11	103477.28	153375.16	10703.538	176647.75	139823.22	1000.0	1000.0	187999	543.0408	543.043	-539.1771	254.2819	3.2090926	1.3018396	10955.381690263748
48	144780.9	10935.242	158289.36	128362.26	151527.98	15145.425	172164.94	113217.555	1000.0	1000.0	191999	546.0219	546.0224	-542.123	262.5418	3.2307606	1.3200072	11187.62941980362
49	152336.62	14700.407	167593.3	131273.88	138837.08	18524.871	166077.72	99489.1	1000.0	1000.0	195999	550.439	550.4404	-546.4067	273.44794	3.2729712	1.3724922	11420.728065013885
50	166153.16	13846.232	178300.25	143216.2	146622.25	17368.303	165229.7	101687.375	1000.0	1000.0	199999	555.9151	555.9173	-551.8609	274.0759	3.2861896	1.3546205	11653.679226636887
51	152638.44	10740.271	167360.11	137148.4	143834.47	16597.387	164897.66	105150.47	1000.0	1000.0	203999	560.65955	560.6589	-556.5979	274.6241	3.337647	1.3322991	11883.679823637009
52	144887.84	13341.719	166485.77	131293.03	148871.2	13914.114	164627.52	123155.74	1000.0	1000.0	207999	565.0177	565.0185	-560.90063	272.0444	3.3551672	1.3210969	12116.578292608261
53	148342.36	22224.568	177957.31	118076.46	145115.4	22371.729	186469.53	113796.63	1000.0	1000.0	211999	566.3325	566.33264	-562.20636	280.44202	3.3573027	1.3172995	12349.133880376816
54	137408.86	13021.651	153619.73	121175.71	158968.2	28283.584	196099.47	113599.95	1000.0	1000.0	215999	569.42004	569.4223	-565.2	292.093	3.3657563	1.3502324	12582.753519058228
55	160757.47	17332.363	178041.69	133439.34	148024.98	7985.325	161227.0	134710.45	1000.0	1000.0	219999	571.0942	571.09265	-566.9126	291.12494	3.3935702	1.3154916	12814.918780326843
56	151101.02	18541.326	177710.88	128189.74	153357.97	10618.395	167563.11	132963.02	1000.0	1000.0	223999	573.8414	573.84406	-569.62006	291.92105	3.414999	1.3025359	13047.604692220688
57	155190.97	28715.32	197559.19	122893.33	158121.92	22095.24	192822.06	126491.53	1000.0	1000.0	227999	575.12225	575.1226	-570.9777	290.6427	3.4219549	1.2722026	13282.411026000977
58	159593.89	10870.028	172918.27	147431.7	164947.8	18833.955	192979.03	134150.92	1000.0	1000.0	231999	576.8134	576.81415	-572.60443	290.77087	3.4404562	1.2688894	13513.876154661179
59	157947.84	17603.818	188224.77	144699.8	169618.23	18020.777	200803.67	143950.45	1000.0	1000.0	235999	577.48804	577.4896	-573.3145	297.4428	3.4448829	1.2489632	13747.841215372086
60	165852.25	21756.027	193090.61	142950.25	166222.69	18945.344	189228.2	135019.02	1000.0	1000.0	239999	581.07214	581.0725	-576.85535	302.83994	3.4549577	1.2756926	13979.183679819107
61	154787.03	17002.857	179236.2	131222.94	171947.22	24149.57	196037.28	109489.1	1000.0	1000.0	243999	584.44574	584.44855	-580.04114	308.6041	3.4617078	1.3185273	14215.489560127258
62	151877.73	12055.574	171739.12	140520.31	161789.47	11178.522	180996.5	145131.06	1000.0	1000.0	247999	585.42114	585.42035	-580.9816	321.02393	3.4602304	1.3077756	14449.114620923996
63	168154.64	10565.405	181802.53	152360.62	161898.39	13595.362	183004.33	142214.02	1000.0	1000.0	251999	587.5642	587.56573	-583.17487	330.37643	3.495934	1.2978611	14681.699182271957
64	170400.53	7351.371	180556.45	162328.9	169820.95	12220.574	194910.25	155369.6	1000.0	1000.0	255999	591.80133	591.8023	-587.3644	336.67917	3.533673	1.2943923	14915.549659013748
65	165069.95	6796.77	171488.98	154989.83	182711.84	14954.816	210359.03	156192.12	1000.0	1000.0	259999	596.1178	596.11865	-591.72235	331.8317	3.5309238	1.2792503	15149.639914035797
66	182118.66	13812.004	196888.17	160151.83	186897.44	18406.021	208940.0	148484.0	1000.0	1000.0	263999	598.3048	598.3072	-593.79877	326.03806	3.5325422	1.3005207	15381.69670343399
67	169552.56	4649.093	177140.0	164591.8	169802.34	18668.611	190953.53	129953.37	1000.0	1000.0	267999	598.9824	598.985	-594.46765	325.44217	3.5278602	1.2762468	15615.011749982834
68	170806.02	15492.849	193108.17	152545.86	177972.52	13266.764	199723.7	153479.44	1000.0	1000.0	271999	600.3391	600.33997	-595.7225	323.78488	3.5492334	1.2992187	15848.132406234741
69	169526.03	22250.203	207940.12	154756.9	190101.4	12772.918	212691.66	170124.7	1000.0	1000.0	275999	602.76465	602.76495	-598.1565	330.5261	3.5694566	1.2955103	16081.461342811584
70	179683.48	17283.621	193090.92	150571.73	186930.52	13569.822	212478.36	170280.53	1000.0	1000.0	279999	605.566	605.56647	-600.8553	331.2887	3.6033132	1.329424	16312.068516254425
71	183955.17	24285.11	213438.81	152059.61	171794.81	13888.319	194929.84	151459.77	1000.0	1000.0	283999	609.8789	609.87885	-605.16187	336.75806	3.6304154	1.314903	16542.740086078644
72	181817.72	18745.021	206728.3	162009.25	182156.6	20823.994	209981.89	132892.11	1000.0	1000.0	287999	612.35345	612.3534	-607.7276	338.7056	3.641841	1.2827102	16776.35691189766
73	165822.94	19014.273	188621.33	140320.78	174069.31	11546.768	190022.4	154165.53	1000.0	1000.0	291999	615.4544	615.45386	-610.80774	337.2032	3.678124	1.2717966	17008.459582090378
74	183025.5	18813.348	212929.44	163186.34	179057.45	25044.123	206171.38	119604.055	1000.0	1000.0	295999	618.4448	618.44604	-613.829	341.7673	3.679443	1.2753072	17241.126022815704
75	199565.64	18811.623	226193.11	178561.77	198850.89	15831.183	225341.98	171307.67	1000.0	1000.0	299999	623.20984	623.211	-618.55054	342.91107	3.6823447	1.2966812	17474.875849723816
76	188318.62	10679.944	200587.0	171562.31	187894.52	16782.201	209435.08	149107.05	1000.0	1000.0	303999	628.4469	628.4478	-623.828	339.54758	3.728161	1.2759049	17711.197679519653
