Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	Q1Vals	Q2Vals	LossPi	LossQ	Averagemmd_entropy	$\alpha$	Time
32	145014.38	11599.604	158699.58	126595.17	111420.27	14522.259	146213.1	92731.16	1000.0	1000.0	127999	437.27567	437.27615	-434.63348	94.385735	1.8898612	1.3638693	4907.0374755859375
33	136822.14	17888.76	157879.81	109455.0	132155.94	18882.777	154474.34	96899.08	1000.0	1000.0	131999	443.2596	443.25995	-440.63928	92.68689	1.8889554	1.3219512	5139.862723827362
34	145892.16	21520.498	168011.3	111031.25	124790.77	23844.357	159918.84	75816.414	1000.0	1000.0	135999	448.6746	448.67532	-446.04633	92.32829	1.9092748	1.3034545	5371.516438245773
35	120324.84	12910.419	134298.0	100253.24	146753.86	28820.39	170866.64	80399.37	1000.0	1000.0	139999	453.75043	453.7505	-451.06927	93.14272	1.9100009	1.3014675	5603.94066286087
36	123475.516	20224.799	148952.98	93293.48	139656.27	16847.695	171503.53	112041.18	1000.0	1000.0	143999	457.93744	457.93784	-455.21484	95.3505	1.9145305	1.3074625	5836.751410245895
37	141013.88	23612.195	168406.69	103443.95	143413.3	25528.83	175125.5	94100.48	1000.0	1000.0	147999	462.11493	462.1151	-459.26804	98.91947	1.9485251	1.3530438	6069.116225242615
38	137401.77	15109.821	159782.19	122676.15	148604.1	14911.56	173126.81	122005.35	1000.0	1000.0	151999	466.028	466.028	-463.12726	103.80667	1.9898747	1.3721311	6303.15539264679
39	132640.61	3995.1626	138122.89	127501.08	141525.73	30997.832	198201.3	103197.59	1000.0	1000.0	155999	471.83917	471.83945	-468.87177	111.65683	2.0887089	1.4059798	6537.094921112061
40	129897.03	21129.932	161045.23	110218.75	118017.2	16360.91	140552.97	90983.42	1000.0	1000.0	159999	478.8982	478.89825	-475.92575	117.6829	2.152393	1.3953305	6771.292074680328
41	130002.0	31232.02	159866.56	78016.664	123499.0	31241.984	186081.2	83449.35	1000.0	1000.0	163999	486.28656	486.28705	-483.30124	120.94239	2.2098174	1.3796741	7004.464220762253
42	108717.04	17250.19	138201.12	94723.08	137978.69	28103.338	187410.62	105169.13	1000.0	1000.0	167999	492.2813	492.28204	-489.30203	124.53303	2.226655	1.3552661	7238.922269582748
43	121565.3	30927.738	168407.27	83251.23	133260.42	15891.801	156611.55	100929.43	1000.0	1000.0	171999	496.4894	496.49072	-493.50232	128.18858	2.2599556	1.3266432	7472.152183055878
44	142227.12	20340.734	168325.27	112437.086	134754.84	14522.634	160725.78	115768.54	1000.0	1000.0	175999	501.71756	501.71753	-498.5833	137.69524	2.3007424	1.3942057	7705.95622253418
45	98527.64	33895.67	154320.14	70179.45	163670.81	17995.51	190784.81	132571.2	1000.0	1000.0	179999	507.71915	507.71924	-504.56674	144.208	2.389829	1.4002249	7940.345801830292
46	120038.41	28030.309	146514.25	78996.9	142821.55	22041.03	172705.3	115426.07	1000.0	1000.0	183999	514.0937	514.09576	-510.98193	152.67181	2.484226	1.3488141	8173.732412099838
47	137292.78	9446.736	144850.36	121476.93	147458.08	13797.445	167702.88	128860.805	1000.0	1000.0	187999	521.10693	521.10754	-517.9578	156.57512	2.5373652	1.3409864	8407.447679042816
48	134949.48	17655.22	162607.16	114527.54	151577.84	19043.723	186463.08	117170.65	1000.0	1000.0	191999	526.54425	526.5438	-523.37067	162.79637	2.5739043	1.3235965	8640.577795267105
49	162876.52	5994.284	172097.31	157474.61	161204.78	15546.94	181058.23	129588.16	1000.0	1000.0	195999	530.89325	530.8931	-527.66473	165.59773	2.5773869	1.3117014	8874.493700027466
50	145635.84	20622.074	178940.55	123981.9	154521.98	33866.234	204848.89	93478.49	1000.0	1000.0	199999	534.7936	534.79364	-531.59595	166.56412	2.5895576	1.279057	9107.219899654388
51	150262.94	35156.027	205983.58	114329.81	148124.77	21825.584	180448.47	111243.03	1000.0	1000.0	203999	537.9808	537.98035	-534.7449	171.7414	2.5899887	1.2836457	9338.568098783493
52	123385.86	17709.963	149451.67	106265.43	157772.58	30672.492	195933.05	91627.16	1000.0	1000.0	207999	540.99286	540.99316	-537.7171	178.06451	2.5881338	1.3092549	9571.89797949791
53	129220.91	34891.67	183926.44	92341.37	129894.92	27327.686	180276.7	80353.98	1000.0	1000.0	211999	543.813	543.81366	-540.3299	187.63612	2.5996778	1.3678554	9804.924190044403
