Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
1	-18.250088	37.12959	41.830738	-55.13287	-45.606064	4.2202115	-41.885754	-57.402004	1000.0	1000.0	3999	19.00075	24.3953	193.60173	-16.280806	18.999046	24.395187	204.4571	-16.209677	2.2221842	5.539013	31.886765	-13.024655	-24.178513	10.743947	62.05562090873718
2	-114.95912	86.898766	-49.568565	-263.5208	-196.47897	347.77307	154.84563	-1113.7618	1000.0	1000.0	7999	278.41064	183.71884	1073.3776	3.1214914	278.41147	183.73277	1083.9181	1.8169875	15.616837	7.2405677	79.83049	-12.579269	-311.02087	384.6829	140.25332307815552
3	7.8749313	168.05019	238.23502	-196.72348	254.28291	360.01648	832.06445	-201.56895	1000.0	1000.0	11999	1232.9249	367.1543	2888.251	287.1388	1232.9172	367.1793	2833.8652	292.53345	25.42583	10.605409	223.62178	-8.892922	-1300.5195	3163.0872	220.3062710762024
4	232.76678	292.70676	569.7503	-134.97647	-182.32225	145.6373	-31.630116	-519.9028	1000.0	1000.0	15999	1886.0459	285.6884	3411.9653	976.8344	1886.0371	285.7133	3423.9407	1019.216	23.11794	13.29236	156.34236	-7.916937	-1936.0774	3895.8777	303.17042684555054
5	99.0187	381.26328	698.7581	-267.7001	-186.63728	106.53898	50.756775	-367.99765	1000.0	1000.0	19999	2543.2598	433.60544	4323.468	968.23584	2543.2769	433.62924	4315.638	981.0464	24.18608	13.379254	185.83447	-17.06044	-2586.9028	5149.613	384.61195182800293
6	390.44867	221.4889	629.34863	122.439606	-263.5752	523.67053	408.44812	-1408.4801	1000.0	1000.0	23999	2650.3228	353.27658	4063.6858	1530.4109	2650.3257	353.3164	4130.741	1527.9293	16.53712	9.924565	147.00595	-9.402571	-2672.7695	2497.73	466.7547903060913
7	286.89838	259.94232	683.1401	-46.346394	74.9179	293.47293	743.6017	-396.29413	1000.0	1000.0	27999	2469.935	291.25763	3860.0347	1675.4531	2469.9353	291.25012	3848.404	1677.5021	11.675695	7.6851826	121.252655	-11.291742	-2479.4414	1294.1249	547.8570470809937
8	36.89401	122.37039	231.27588	-103.76917	44.685448	54.219646	124.96792	-84.313324	1000.0	1000.0	31999	2192.6655	257.52304	3514.47	1499.8386	2192.6643	257.503	3459.5183	1531.998	9.647725	6.6387005	78.27531	-11.642118	-2200.4702	704.24506	629.387806892395
9	31.401005	121.40851	221.86452	-86.097694	-281.57928	411.90887	383.96722	-1217.2614	1000.0	1000.0	35999	1977.4891	253.05968	3239.7402	1302.798	1977.492	253.04645	3238.189	1287.5563	8.45559	6.0550294	81.20242	-11.435326	-1984.0758	437.13593	711.3456175327301
10	-47.081	148.96014	145.29971	-272.7609	82.230675	63.44372	231.04651	-34.46338	1000.0	1000.0	39999	1707.917	223.93977	2900.5696	1146.443	1707.9176	223.9375	2896.439	1135.457	5.6948113	5.031273	70.160095	-14.277279	-1710.2668	215.0455	792.8143525123596
11	66.76484	64.00533	145.54993	-21.923159	146.78358	279.2014	917.58154	-18.249514	1000.0	1000.0	43999	1436.176	198.00172	2469.0593	957.9445	1436.175	198.00258	2450.0667	954.2059	3.263658	4.2738686	62.30368	-14.66054	-1437.0623	114.16532	875.4476733207703
12	92.5886	71.36508	208.4141	29.515501	212.92886	155.92004	561.9294	-80.21464	1000.0	1000.0	47999	1209.7808	169.3085	2114.07	795.4221	1209.7793	169.30841	2119.0208	806.2532	2.3038373	3.8872485	52.10681	-14.899214	-1210.5869	71.65553	956.7549588680267
13	52.358635	129.89366	247.71725	-116.04443	66.6204	74.078514	176.90335	-74.75126	1000.0	1000.0	51999	1022.29047	145.00299	1793.7301	656.35565	1022.2897	145.00172	1794.3325	658.15784	1.0353521	3.5542238	35.133102	-14.213762	-1022.6602	48.447975	1038.2694878578186
14	56.95521	110.28857	170.72522	-87.90672	29.280655	95.14874	144.85092	-172.69458	1000.0	1000.0	55999	860.2129	120.938286	1477.9867	548.9804	860.21295	120.93628	1466.262	548.94385	0.30999494	3.376254	46.318924	-13.9772005	-860.639	35.66235	1121.7385413646698
15	97.28429	121.39902	215.63199	-76.43238	277.23782	148.97125	597.8273	26.820547	1000.0	1000.0	59999	725.60925	100.41901	1225.6748	445.4984	725.6097	100.41793	1227.5283	445.2589	-0.3991596	3.136854	34.332527	-14.0924015	-726.0154	27.030235	1204.4911110401154
16	176.3794	155.17987	379.31458	20.05183	324.17792	51.462925	401.74356	243.89024	1000.0	1000.0	63999	605.9136	82.11937	1025.0168	377.60257	605.91364	82.118614	1020.7095	380.38046	-0.95463204	2.8780434	34.55506	-14.527858	-606.27606	21.741438	1287.1268436908722
17	197.5272	101.1048	319.60315	50.322376	136.11824	28.867708	200.97023	99.27448	1000.0	1000.0	67999	509.70245	67.688156	849.1218	293.3378	509.70248	67.688225	851.418	299.49396	-1.3842351	2.7751374	34.003006	-13.221744	-510.0928	17.107166	1368.2256577014923
18	178.3985	127.082245	274.7759	-36.449024	174.93091	115.0437	339.8605	34.0783	1000.0	1000.0	71999	428.14716	56.506226	711.75433	237.76357	428.14645	56.50675	712.60144	236.13138	-1.6485829	2.5886915	24.785624	-13.856346	-428.54025	14.2104845	1448.6213126182556
19	455.33487	56.46172	525.5048	367.97607	366.47516	55.400764	462.57727	288.3768	1000.0	1000.0	75999	361.9294	48.129047	605.0347	202.40721	361.9291	48.128704	604.8507	197.4033	-1.7850939	2.516571	24.981815	-13.578001	-362.34476	12.610219	1530.7581548690796
