Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	Q1Vals	Q2Vals	LossPi	LossQ	Averagemmd_entropy	Stdmmd_entropy	Maxmmd_entropy	Minmmd_entropy	$\alpha$	Stdalpha	Maxalpha	Minalpha	Time
23	110248.66	5659.7837	116516.28	103813.57	107091.44	17356.055	132055.42	77542.96	1000.0	1000.0	91999	341.27972	341.281	-338.74362	67.51577	1.2821726	0.06997403	1.5852735	1.051567	1.7999997	2.3841858e-07	1.8	1.8	5805.476306438446
24	102580.86	16908.162	117976.984	76000.375	122324.02	21101.996	142928.11	72869.35	1000.0	1000.0	95999	344.4448	344.44693	-341.83255	69.73828	1.3056785	0.08307951	1.6231209	1.0787034	1.7999997	2.3841858e-07	1.8	1.8	6063.3880388736725
25	106531.9	4171.519	112850.14	101432.85	122060.02	20624.709	140870.61	90699.59	1000.0	1000.0	99999	350.03683	350.03793	-347.40466	73.92479	1.3931488	0.07451156	1.6338273	1.1655035	1.7999997	2.3841858e-07	1.8	1.8	6318.347074747086
26	118061.79	14985.067	132304.4	92874.72	127477.11	22163.74	149403.61	77851.14	1000.0	1000.0	103999	356.1218	356.12357	-353.43857	75.71816	1.4381433	0.06755879	1.6684741	1.1253492	1.7999997	2.3841858e-07	1.8	1.8	6574.8338322639465
27	118907.19	2731.2312	122976.305	115990.75	137170.16	7503.989	144259.25	118120.48	1000.0	1000.0	107999	362.6702	362.6721	-359.948	77.65387	1.419072	0.0694307	1.6695734	1.1781683	1.7999997	2.3841858e-07	1.8	1.8	6830.249782800674
28	108505.03	14922.776	133025.81	94349.414	115657.52	21793.275	143509.58	83248.1	1000.0	1000.0	111999	367.93668	367.9381	-365.12888	76.63055	1.4033068	0.06856076	1.7034105	1.154439	1.7999997	2.3841858e-07	1.8	1.8	7085.751121997833
29	109147.26	20817.42	137665.66	84484.7	116060.45	21451.574	145713.48	76666.44	1000.0	1000.0	115999	370.4138	370.41516	-367.54092	76.357185	1.3944541	0.075630106	1.6821748	1.1673563	1.7999997	2.3841858e-07	1.8	1.8	7341.322263479233
30	123838.25	5018.9756	131965.72	119357.13	121622.9	22204.428	144345.64	79038.26	1000.0	1000.0	119999	373.64395	373.6448	-370.71735	77.86131	1.4122324	0.07725473	1.7498834	1.1877939	1.7999997	2.3841858e-07	1.8	1.8	7595.247962713242
31	131446.16	3381.214	136301.9	126758.44	131134.81	20648.965	151278.03	85247.09	1000.0	1000.0	123999	377.01505	377.0167	-374.07706	78.95527	1.4387318	0.08556864	1.6945012	1.194591	1.7999997	2.3841858e-07	1.8	1.8	7847.519002914429
32	124243.234	7674.7983	132747.47	115064.766	113776.1	24647.568	144363.08	71549.88	1000.0	1000.0	127999	383.3146	383.31628	-380.32532	80.605354	1.4890939	0.0714896	1.7463537	1.2768807	1.7999997	2.3841858e-07	1.8	1.8	8101.747782945633
33	111783.59	17097.03	135617.64	94422.05	126803.8	24310.312	157629.14	93413.5	1000.0	1000.0	131999	387.42355	387.42435	-384.40414	79.66214	1.4585001	0.07948447	1.7379872	1.2004555	1.7999997	2.3841858e-07	1.8	1.8	8355.95238685608
34	118124.35	16737.39	131760.45	89590.93	145621.94	5809.6436	152173.12	130915.09	1000.0	1000.0	135999	392.3028	392.30432	-389.2704	80.95341	1.4911534	0.07635024	1.7479934	1.246868	1.7999997	2.3841858e-07	1.8	1.8	8608.758813142776
35	129071.6	5835.38	136579.84	122148.53	134069.12	19741.383	154979.47	82218.84	1000.0	1000.0	139999	396.13568	396.1371	-393.0823	79.62706	1.5012946	0.07749297	1.7756172	1.1808978	1.7999997	2.3841858e-07	1.8	1.8	8862.332088708878
36	132635.22	3839.2175	137532.17	126771.016	124586.234	24761.914	153529.75	84727.68	1000.0	1000.0	143999	401.04932	401.051	-397.953	81.3566	1.510917	0.067041844	1.7433739	1.2846531	1.7999997	2.3841858e-07	1.8	1.8	9115.648514986038
37	131929.61	3064.858	134710.38	127296.08	138552.64	13190.162	152153.67	108059.85	1000.0	1000.0	147999	405.50336	405.50388	-402.37943	80.568344	1.4828423	0.07019829	1.753518	1.2495605	1.7999997	2.3841858e-07	1.8	1.8	9370.065400838852
38	133465.45	5564.4307	141081.73	126284.92	142806.6	16769.168	155498.92	106128.07	1000.0	1000.0	151999	408.72763	408.72833	-405.5831	81.6595	1.4509418	0.067345574	1.7284946	1.2327251	1.7999997	2.3841858e-07	1.8	1.8	9624.070863723755
39	142650.78	1714.8014	144343.94	139790.36	135568.06	20602.63	151063.12	87246.57	1000.0	1000.0	155999	412.12552	412.127	-408.94586	83.97563	1.5083182	0.06688789	1.804567	1.298903	1.7999997	2.3841858e-07	1.8	1.8	9878.673594474792
40	140857.58	1948.6881	142711.08	137587.52	143882.55	11091.301	158209.7	118330.06	1000.0	1000.0	159999	417.23013	417.23163	-414.03104	83.24097	1.5338715	0.07077909	1.784515	1.2782886	1.7999997	2.3841858e-07	1.8	1.8	10134.02446103096
41	138627.22	2373.714	141051.81	135189.8	123440.95	22181.994	155903.9	90289.22	1000.0	1000.0	163999	422.77155	422.7722	-419.5674	84.01407	1.5488269	0.07334137	1.7856573	1.3307706	1.7999997	2.3841858e-07	1.8	1.8	10389.573872566223
