Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Averagemmd_entropy	Stdmmd_entropy	Maxmmd_entropy	Minmmd_entropy	AverageQ_penalty	StdQ_penalty	MaxQ_penalty	MinQ_penalty	Time	$\alpha$
18	600.4198	65.66271	707.3254	540.00037	546.48474	44.781704	630.5869	462.9334	1000.0	1000.0	71999	42.46486	42.608685	213.36827	-97.73764	42.46497	42.60962	209.18166	-98.78173	-41.811005	8.927138	0.63650274	0.05185407	0.8402842	0.49040312	3.5051284	0.24348441	4.439727	2.7190573	1844.4185190200806	1.2
19	592.84827	80.84498	685.2733	471.12415	534.6102	73.307755	689.835	401.95868	1000.0	1000.0	75999	40.75103	44.21681	209.3898	-103.19321	40.750626	44.21776	212.15047	-105.25882	-40.105396	8.945761	0.6206969	0.054482665	0.86894965	0.48331854	3.4327404	0.24873956	4.6426706	2.6924434	1948.4130809307098	1.2
20	551.8242	86.83139	698.7848	486.8025	469.5411	90.1907	558.33026	261.24692	1000.0	1000.0	79999	38.565098	44.580944	211.11252	-104.97021	38.56478	44.581726	210.38625	-105.96964	-37.915916	8.620561	0.6045224	0.04730953	0.83026594	0.47869146	3.4256275	0.24157307	4.519769	2.7327135	2051.7100880146027	1.2
21	584.2171	73.03151	675.3779	479.82797	478.30792	217.84776	746.0892	27.30141	1000.0	1000.0	83999	37.38439	45.17433	208.24779	-109.88698	37.38396	45.174553	208.49806	-107.99698	-36.753284	8.588141	0.63703156	0.053628188	0.86572474	0.47820213	3.443441	0.25058922	4.328385	2.7743435	2155.6914944648743	1.2
22	522.89514	238.376	788.9113	138.99316	770.50525	142.70363	1088.1653	592.2863	1000.0	1000.0	87999	37.200527	46.510708	206.83162	-104.08621	37.200516	46.51093	205.71687	-103.697556	-36.574635	8.44259	0.6123667	0.053630203	0.82382816	0.46631244	3.3491335	0.24933323	4.2864227	2.5444815	2259.2090027332306	1.2
23	636.67065	34.123672	675.7595	582.2859	714.1501	80.67492	841.0759	592.4626	1000.0	1000.0	91999	36.080353	46.512333	201.2059	-96.0551	36.080086	46.512787	203.38763	-98.3509	-35.44425	8.42006	0.57700825	0.043297973	0.7580396	0.44930577	3.2947733	0.23433748	4.328348	2.542036	2362.8987107276917	1.2
24	695.42004	138.02528	916.12524	537.4941	540.48926	193.00832	810.00574	170.9716	1000.0	1000.0	95999	35.003723	46.03674	191.91393	-92.51172	35.003628	46.03762	192.82	-95.016235	-34.370743	8.356239	0.5366445	0.03719159	0.6802941	0.42871705	3.2354312	0.22675404	4.167593	2.515418	2466.8963372707367	1.2
25	843.26965	117.59819	1006.087	674.98145	842.81494	132.7742	1077.2944	682.4523	1000.0	1000.0	99999	34.445442	45.30682	198.46605	-93.804245	34.44528	45.307156	200.32039	-95.846794	-33.82138	8.535294	0.5760802	0.057391834	0.84273213	0.42198744	3.317084	0.25259402	4.447391	2.6237493	2569.6782472133636	1.2
26	981.67395	168.19423	1231.9006	757.6681	660.76447	221.34882	877.958	68.769035	1000.0	1000.0	103999	35.268227	45.436256	196.50417	-92.44043	35.268505	45.436554	199.54175	-90.27174	-34.63185	8.540018	0.5603258	0.04326445	0.75641304	0.43414655	3.2731736	0.23422734	4.4160466	2.5134952	2674.5662598609924	1.2
27	830.6123	164.85394	1057.4866	628.30457	885.4948	105.308075	1094.117	683.6598	1000.0	1000.0	107999	35.684566	44.85554	187.9919	-90.72242	35.68425	44.856014	187.7217	-89.51965	-35.061718	8.997775	0.5727293	0.04507226	0.7730765	0.44922724	3.367024	0.24558479	4.3993616	2.7081065	2777.9636132717133	1.2
28	995.6874	272.63522	1438.985	699.983	1098.2476	148.78642	1428.8179	868.1161	1000.0	1000.0	111999	37.145775	45.575333	185.54172	-94.173004	37.145683	45.575153	183.62187	-92.68399	-36.51513	9.4521265	0.583125	0.044536076	0.8028226	0.46476373	3.4027197	0.24414694	4.386104	2.7052863	2881.7317316532135	1.2
29	1156.1936	60.815933	1238.9778	1068.3994	1340.3188	146.74649	1581.2157	1080.2716	1000.0	1000.0	115999	38.46145	45.651035	182.71664	-88.41295	38.461117	45.651096	180.74391	-88.21212	-37.835125	10.216119	0.5932075	0.04614243	0.7908565	0.47004065	3.4524047	0.24893811	4.354373	2.7173052	2986.5384907722473	1.2
30	1234.9744	352.9163	1763.9698	771.142	1404.0105	294.57816	1809.366	926.93164	1000.0	1000.0	119999	40.80262	46.56294	184.16226	-87.503525	40.80277	46.562767	184.63812	-84.747154	-40.182877	11.387125	0.6239478	0.048008002	0.82796806	0.49617448	3.5850005	0.2582657	4.5760026	2.6091285	3090.4174513816833	1.2
31	1055.7494	118.55441	1138.4503	851.00775	1406.9841	347.353	1835.9818	622.52155	1000.0	1000.0	123999	43.75732	47.67536	193.76541	-76.33989	43.757244	47.67549	193.77544	-75.33216	-43.143204	11.869953	0.6493923	0.05741806	0.91300654	0.4973072	3.694559	0.26027146	4.921546	2.8718402	3193.8498170375824	1.2
32	1345.6278	173.48714	1506.3246	1072.014	894.3932	307.01566	1442.7944	314.91693	1000.0	1000.0	127999	47.746544	48.915733	209.16205	-77.64692	47.746513	48.91593	205.20016	-79.373764	-47.14475	13.924879	0.75175637	0.06423623	1.0344024	0.5634364	3.9477906	0.2647291	4.9153194	3.095628	3297.817946910858	1.2
33	1155.2587	296.49893	1583.5062	788.5096	1663.1204	228.03221	2004.4164	1318.0657	1000.0	1000.0	131999	54.389484	49.300247	194.96826	-74.586624	54.38917	49.300945	196.00189	-71.67429	-53.808586	14.23991	0.8143285	0.112242386	1.2588463	0.56345457	4.0784125	0.29045635	5.103933	3.214536	3400.918598175049	1.2
34	1382.3973	186.46167	1633.132	1107.9027	1587.0354	256.89133	2019.0614	1196.4274	1000.0	1000.0	135999	57.51982	49.62488	192.09254	-57.819584	57.51996	49.6247	190.94125	-57.297653	-56.87158	13.032413	0.68957293	0.04905529	0.8886735	0.5384598	3.846828	0.23676825	4.90872	2.9879057	3505.0112285614014	1.2
35	1163.3176	657.92413	1633.7856	28.166027	1601.0292	314.79248	2043.8546	1098.3748	1000.0	1000.0	139999	59.6276	50.71033	190.6638	-59.687733	59.62751	50.71055	192.85191	-60.024536	-58.986397	14.372039	0.7622316	0.0626009	1.0152906	0.61238414	3.9944057	0.25379783	5.1653833	3.2343783	3608.755926132202	1.2
