Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Averagemmd_entropy	Stdmmd_entropy	Maxmmd_entropy	Minmmd_entropy	AverageQ_penalty	StdQ_penalty	MaxQ_penalty	MinQ_penalty	Time
19	131504.78	11058.53	139900.12	112485.055	101972.484	18987.967	129906.73	69672.94	1000.0	1000.0	75999	446.2047	83.37655	608.2994	152.9793	446.2046	83.38047	603.812	155.25551	-444.50687	43.468204	2.1095529	0.109130934	2.4911795	1.734407	11.412943	0.35015288	12.864371	10.310474	3591.6902606487274
20	93485.91	14529.268	115859.11	76456.73	122909.81	12985.201	138916.27	108172.96	1000.0	1000.0	79999	457.47104	88.1301	610.34515	154.47353	457.47052	88.13648	611.9818	159.36023	-455.69012	46.392742	2.1012852	0.116095036	2.4761643	1.7241437	11.603779	0.40135795	13.061155	10.39677	3784.3841381073
21	113437.29	20133.688	140895.52	84348.586	140052.58	3565.534	148098.38	134889.31	1000.0	1000.0	83999	464.64893	94.148224	613.56757	142.79839	464.64816	94.15103	610.6618	144.22656	-462.79758	49.507263	1.9889578	0.12913209	2.3832264	1.5386237	11.400539	0.36375797	12.703	10.201198	3976.411925315857
22	132651.6	8064.9106	139282.89	119201.41	132432.0	14881.0625	150279.27	103644.41	1000.0	1000.0	87999	469.23425	98.9889	622.0407	141.73416	469.23395	98.9915	623.43243	144.41887	-467.3586	49.384064	1.9471626	0.12146736	2.3646014	1.6203512	11.412602	0.3693982	12.733259	10.261654	4171.4878516197205
23	132482.92	7881.1797	140889.98	121450.055	139713.45	3869.2056	143013.92	129441.75	1000.0	1000.0	91999	476.0528	101.84154	625.3504	133.27252	476.0523	101.844246	628.09674	137.94237	-474.14343	48.862885	2.0099466	0.12227295	2.406304	1.5524493	11.494102	0.3742691	12.847268	10.310412	4364.10151219368
24	137698.4	536.3888	138549.98	137102.97	141571.8	6415.4434	145159.92	122667.71	1000.0	1000.0	95999	483.00952	101.668945	609.94257	133.66385	483.0084	101.6718	610.2419	138.61218	-481.05304	47.367672	1.9957085	0.11185988	2.367322	1.624649	11.532565	0.35177934	12.681608	10.345779	4556.354119777679
25	138774.83	2454.0547	141682.98	134887.77	146547.25	1841.8938	149051.14	142457.97	1000.0	1000.0	99999	489.90405	101.56784	618.69275	135.23024	489.9046	101.57184	614.1742	138.06186	-487.92847	46.53321	2.035706	0.12182809	2.4906733	1.6255187	11.622948	0.35133398	12.821926	10.2960415	4747.330482006073
26	136065.77	7452.6167	141577.25	123379.195	143036.05	1903.4337	145334.83	138651.45	1000.0	1000.0	103999	497.02753	101.43508	627.8099	139.50505	497.02655	101.43792	629.69525	139.50708	-495.05283	46.730965	2.0859308	0.12422994	2.632969	1.782328	11.772838	0.35704958	13.1477165	10.654925	4938.832426309586
27	139434.25	3074.68	144549.14	136820.4	145980.89	2539.6616	148947.12	139771.3	1000.0	1000.0	107999	502.7478	100.8692	641.3767	146.84843	502.74716	100.8746	639.33264	150.82634	-500.7413	46.613594	1.9585183	0.10308134	2.2886667	1.6234852	11.814754	0.3599889	13.12231	10.518534	5128.786292791367
28	126571.84	18934.436	146177.27	98282.56	132097.3	19707.246	147626.53	86777.19	1000.0	1000.0	111999	508.29852	101.42069	650.13196	156.02733	508.29727	101.424736	653.8972	155.2325	-506.28152	45.298985	2.0610123	0.10073948	2.4693093	1.707295	12.017405	0.36606616	13.687783	10.820813	5319.048337221146
29	145337.66	1667.544	147922.44	143411.12	145713.28	3739.259	149590.62	135383.45	1000.0	1000.0	115999	513.6772	100.77731	660.0264	159.50113	513.677	100.78318	661.23944	161.02898	-511.657	45.90819	2.036626	0.124158174	2.4601948	1.6613449	12.085846	0.38151225	13.479912	10.937674	5508.258190155029
30	143390.66	2396.3564	146235.33	139593.06	137209.06	21160.23	149951.25	87101.59	1000.0	1000.0	119999	520.44183	99.513176	689.3935	170.53757	520.441	99.518074	688.723	171.71562	-518.41455	44.85192	2.0725367	0.096402936	2.368908	1.7523723	12.177993	0.35746104	13.390282	10.8769655	5697.001178264618
31	144111.78	2028.356	146398.33	142049.69	146935.39	6471.1514	152710.42	131065.01	1000.0	1000.0	123999	526.1705	98.11231	697.19525	171.94759	526.1692	98.11823	697.0506	168.77022	-524.12335	45.325314	2.0276253	0.094857365	2.334669	1.6940024	12.128317	0.35961688	13.659878	10.994189	5885.196138381958
32	144154.66	2378.7356	146081.67	140139.33	141428.52	20858.82	150268.12	78993.914	1000.0	1000.0	127999	532.0434	96.6838	729.8609	170.38509	532.042	96.69203	722.3296	175.0946	-530.0161	45.06365	2.0631962	0.11342385	2.4850996	1.6545644	12.289787	0.36389846	13.506915	11.232407	6074.765880584717
33	139828.72	9045.558	148434.78	124815.664	148869.34	1171.645	150439.45	146957.38	1000.0	1000.0	131999	538.4332	95.03764	734.70575	173.11421	538.43256	95.04409	724.6311	176.4145	-536.38525	45.146408	2.0026283	0.0889218	2.3492904	1.7128717	12.229645	0.34552863	13.58932	11.066493	6263.809104919434
34	145282.94	5544.0615	150242.69	135901.23	150923.53	882.4165	152115.9	148886.4	1000.0	1000.0	135999	542.4927	95.196945	734.4113	168.416	542.4924	95.2032	729.3023	171.49498	-540.4194	46.196304	1.9976655	0.12276684	2.436647	1.6037059	12.356	0.37992895	13.71255	11.106113	6453.28778719902
35	142157.19	4169.558	147531.64	136409.0	148755.9	5699.489	153057.05	134607.78	1000.0	1000.0	139999	547.2467	94.646286	748.4479	179.03046	547.24603	94.65266	752.7517	177.29707	-545.17	45.828873	2.008932	0.09047998	2.3041537	1.6897511	12.254508	0.3497751	13.417513	11.05614	6640.581305027008
36	146722.6	1009.6633	147988.08	145162.81	148399.53	4459.59	151629.66	136829.52	1000.0	1000.0	143999	551.95734	94.73662	767.6371	174.60432	551.95636	94.74442	757.20087	178.3358	-549.8576	45.336987	2.0393217	0.09520369	2.375668	1.6967149	12.403853	0.3604931	13.744169	11.153344	6829.313594818115
37	130673.32	29740.836	148939.92	79175.6	143742.62	12312.202	151652.72	109859.64	1000.0	1000.0	147999	557.19104	94.50033	766.682	183.73293	557.1904	94.5074	768.9355	182.29814	-555.07886	45.963055	2.0353537	0.11126419	2.4237125	1.7076625	12.490939	0.34823036	14.157446	11.3860655	7018.83100438118
38	136267.6	16211.464	150159.62	108631.16	148001.28	5487.456	152511.1	135099.39	1000.0	1000.0	151999	561.51953	98.443245	754.4737	186.59184	561.51886	98.448944	750.503	186.25453	-559.3449	46.978542	1.9788809	0.10054587	2.3204522	1.6133274	12.482153	0.36590847	13.758885	11.343738	7208.001121044159
39	137574.7	13393.413	146628.67	114423.89	137326.78	14343.219	150431.9	109045.59	1000.0	1000.0	155999	563.2426	100.10977	715.1767	184.5294	563.24207	100.11541	721.8216	181.60991	-561.08374	47.139492	2.0099514	0.08925712	2.3128488	1.680573	12.587651	0.34922957	14.0231085	11.414841	7397.359304666519
40	144038.23	2894.395	148062.44	140977.44	144232.78	16498.338	153027.08	96133.11	1000.0	1000.0	159999	566.1252	100.78422	677.2205	173.91061	566.12445	100.79036	674.0865	171.97404	-563.957	47.15871	1.9679852	0.1309428	2.355608	1.502296	12.49825	0.35501638	13.790057	11.265029	7586.3367347717285
41	149421.0	942.59296	150263.8	147972.81	145168.97	11818.887	151495.56	111480.19	1000.0	1000.0	163999	566.54565	102.00936	670.8509	171.23114	566.54553	102.01566	672.75336	172.87479	-564.33514	47.0535	1.9094695	0.10595968	2.3147554	1.5770925	12.478966	0.34240758	13.682292	11.419041	7775.524924755096
42	147919.7	1306.8551	150128.73	146743.92	147273.61	8632.651	152560.7	124438.26	1000.0	1000.0	167999	567.3122	103.203514	669.93854	168.97514	567.31134	103.20896	670.66064	166.54199	-565.101	46.954308	1.8823526	0.09966264	2.2017107	1.5538542	12.423183	0.3352685	13.612493	11.3737755	7966.052602767944
43	146995.27	1480.7865	149103.83	145218.23	151135.66	1282.8673	152311.67	147910.0	1000.0	1000.0	171999	566.76855	104.08646	693.30176	167.50858	566.76807	104.092926	678.596	159.4604	-564.5582	45.63298	1.8173624	0.09213971	2.172818	1.5305436	12.270316	0.35964966	13.467285	11.210537	8155.548533916473
44	147763.61	1199.0334	149600.83	146292.86	149869.52	5352.7944	154892.78	135227.67	1000.0	1000.0	175999	568.1602	104.74443	695.78107	156.38725	568.15894	104.75052	691.6843	154.18687	-565.9558	45.128773	1.9036992	0.101099506	2.2437165	1.561236	12.28458	0.3656616	13.720043	11.028635	8345.636782169342
45	145617.45	1117.417	147009.94	144155.05	150818.73	3631.2078	153047.11	140218.64	1000.0	1000.0	179999	569.4305	104.93143	702.3593	155.0358	569.4304	104.938866	714.5528	164.95975	-567.2078	45.537514	1.8213203	0.09320677	2.1354275	1.5107418	12.3330555	0.3624381	13.58929	11.1532545	8536.419169664383
46	147075.98	681.19836	147956.69	146172.75	148976.67	9104.685	153361.0	122157.7	1000.0	1000.0	183999	571.1342	104.66568	725.1259	155.748	571.1332	104.670044	719.93634	159.8508	-568.8973	44.858288	1.8605566	0.08051663	2.130581	1.6035477	12.340834	0.3329087	13.403867	11.24777	8725.830077171326
47	148479.4	1341.5917	150800.56	147603.08	151248.2	1585.1365	154081.69	148395.17	1000.0	1000.0	187999	573.25354	104.55755	750.9648	163.53865	573.2536	104.56157	749.7243	163.00018	-571.0305	45.037945	1.8847222	0.10091994	2.2707999	1.5639422	12.420248	0.35470787	13.811826	11.220046	8915.883400917053
48	142957.45	9579.151	150910.81	126892.92	151252.56	1628.7911	152876.66	146748.4	1000.0	1000.0	191999	575.54913	105.10107	787.49713	157.18701	575.54846	105.10545	800.5907	157.74011	-573.3168	44.358547	1.8200064	0.09089552	2.1657698	1.5450627	12.375723	0.35158616	13.912254	11.23378	9107.552659034729
49	145750.9	5068.1035	149783.9	137055.97	148754.78	9271.286	153626.12	121614.27	1000.0	1000.0	195999	577.3412	105.41688	800.3541	159.03096	577.34	105.42577	806.2091	162.64937	-575.1213	44.567383	1.8040315	0.09015612	2.1212232	1.5203369	12.584232	0.36792427	14.122523	11.331299	9298.57192826271
50	146212.31	2395.6287	149369.89	142816.27	149596.4	4921.848	154722.78	139262.45	1000.0	1000.0	199999	579.1666	105.4563	804.6106	160.23296	579.1655	105.463715	799.20044	155.12006	-576.921	45.185753	1.8270923	0.0896665	2.1536512	1.5463916	12.545764	0.37059733	13.997441	11.382209	9491.036396026611
51	150304.06	482.94455	151084.62	149793.34	131219.42	16355.231	150074.94	101773.26	1000.0	1000.0	203999	582.30194	104.20537	787.8122	158.17857	582.3012	104.20897	788.8423	157.84213	-580.08264	44.52079	1.8766237	0.09557885	2.1994884	1.5665317	12.536592	0.34061322	13.820627	11.371484	9680.67398405075
52	146745.8	2194.6765	149411.7	144544.8	148157.95	8258.534	154153.05	127700.3	1000.0	1000.0	207999	584.3456	103.85587	765.1058	149.46358	584.3449	103.863594	768.6028	150.0955	-582.125	44.608135	1.81086	0.0803564	2.0877326	1.5397427	12.423625	0.33183196	13.554914	11.439663	9874.358040809631
53	148762.19	1385.5267	149916.9	146402.31	150148.36	7959.4946	153872.02	126367.77	1000.0	1000.0	211999	586.3516	103.46416	757.2505	146.73453	586.35114	103.47065	751.66833	150.9985	-584.125	44.292774	1.816438	0.081409864	2.0961635	1.5337094	12.423596	0.3493179	13.631731	11.218389	10067.019848823547
54	147846.44	2229.3572	149608.77	144019.86	150146.34	8526.94	154291.72	124714.17	1000.0	1000.0	215999	587.2628	103.36305	734.853	134.33727	587.26166	103.3698	728.67316	148.45444	-585.03485	43.43888	1.7840211	0.090916544	2.0965667	1.4929248	12.309567	0.3496813	13.586025	11.086323	10258.71448302269
55	148059.12	1602.3574	149913.98	145615.52	147532.22	12916.994	153524.7	108955.0	1000.0	1000.0	219999	589.25415	102.81704	717.16296	148.20154	589.25354	102.824234	713.01013	148.1865	-587.03973	43.400696	1.7864572	0.07874649	2.046942	1.5012418	12.399893	0.32519487	13.556887	11.229426	10450.595635652542
