Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Averagemmd_entropy	Stdmmd_entropy	Maxmmd_entropy	Minmmd_entropy	AverageQ_penalty	StdQ_penalty	MaxQ_penalty	MinQ_penalty	Time	$\alpha$
1	-300.34485	87.39144	-177.02931	-417.00165	733.43225	18.438618	756.30066	700.7136	1000.0	1000.0	3999	0.024615528	2.838337	19.489933	-11.789534	0.024894759	2.8377278	20.026814	-11.817269	-0.20061888	0.730328	0.2892818	0.08804431	0.53077585	0.18375601	2.1896749	0.81347764	4.0041595	1.5906039e-07	75.67617559432983	1.4
2	-315.7503	62.58059	-238.01205	-411.09885	893.4948	471.51166	1252.4132	-90.03639	1000.0	1000.0	7999	11.099237	8.9959545	46.279186	-12.005995	11.099043	8.995388	46.07776	-12.149929	-11.973153	3.6072567	0.513614	0.06286518	0.74843305	0.35318297	4.6284475	0.5095293	6.2169065	3.0984077	159.9642972946167	1.4
3	427.7355	678.8429	1462.765	-243.89656	1836.0524	122.13287	2027.1726	1655.582	1000.0	1000.0	11999	29.994234	14.179265	71.60883	-20.49167	29.994205	14.179463	72.01132	-19.163746	-30.736208	4.657136	0.48262033	0.033334874	0.63549536	0.3838425	4.2041216	0.41437894	5.505239	2.9955711	243.58845329284668	1.4
4	1836.448	137.28763	1961.4808	1626.7216	2196.0637	71.033035	2335.427	2068.5742	1000.0	1000.0	15999	42.42302	21.401302	92.83782	-15.729942	42.422775	21.40184	92.869	-15.558365	-42.663765	3.9250333	0.4184572	0.026656576	0.5855362	0.32400542	4.1266894	0.36495495	5.485079	3.1429265	330.9390606880188	1.4
5	2298.0828	51.87995	2364.5095	2229.0002	2387.7637	307.0601	2610.1963	1486.067	1000.0	1000.0	19999	58.70744	28.81464	119.410614	-21.957605	58.7076	28.814016	119.14292	-21.289913	-58.922325	5.8625717	0.46653655	0.033682447	0.59945387	0.37148672	5.0991836	0.3695137	6.4863586	3.9987886	421.38234972953796	1.4
6	2465.1694	38.44584	2518.5862	2412.0547	2716.3125	33.20094	2792.213	2673.1396	1000.0	1000.0	23999	80.09177	34.653	140.59737	-29.42559	80.0919	34.652363	139.1333	-28.38059	-80.239265	7.312768	0.53393227	0.039621726	0.76959693	0.4289867	5.7332926	0.3409545	7.1837006	4.6082716	512.525200843811	1.4
7	2689.52	58.820972	2781.0496	2620.6062	2898.1304	38.79937	2964.916	2817.8877	1000.0	1000.0	27999	102.20427	39.354794	161.67308	-34.832336	102.20453	39.354614	162.37639	-35.47736	-102.25656	8.141373	0.56624424	0.03842078	0.83841175	0.46702972	6.0735207	0.34666303	7.54484	4.990325	600.733800649643	1.4
8	2762.5488	122.81924	2909.9773	2596.719	2997.6785	70.02923	3073.5862	2815.4517	1000.0	1000.0	31999	123.24005	42.82117	181.49153	-39.181984	123.24016	42.820957	182.0084	-38.315426	-123.18965	8.796655	0.5912594	0.037267394	0.74580675	0.4778046	6.2711983	0.34437314	7.4899583	5.177406	681.9761779308319	1.4
9	2995.3833	143.3239	3130.4155	2787.564	3128.7944	52.963757	3211.2346	3048.3342	1000.0	1000.0	35999	143.09053	45.496063	202.24985	-41.577164	143.0905	45.496227	202.69664	-41.80434	-142.99693	9.394224	0.61176944	0.038137186	0.8021443	0.49022368	6.5306344	0.35782272	8.050264	5.402959	771.5204744338989	1.4
10	2408.6914	1116.8352	3133.4102	478.86002	3153.7944	125.20751	3282.919	2890.6592	1000.0	1000.0	39999	161.3942	47.40452	219.0353	-39.01549	161.39404	47.404945	219.03049	-38.656536	-161.23517	10.1455765	0.621284	0.03693612	0.77737504	0.5137953	6.641158	0.3539294	7.796915	5.5463667	861.8979589939117	1.4
11	3109.9932	66.74567	3176.1226	3001.2932	3260.684	84.03324	3439.9314	3164.9858	1000.0	1000.0	43999	175.69363	53.188545	236.29605	-49.0991	175.69347	53.18927	235.48004	-48.235233	-175.46404	10.710286	0.6318218	0.039942525	0.8339992	0.4934782	6.7268834	0.36977106	8.160963	5.5612855	951.0744769573212	1.4
12	3228.0273	36.7043	3261.5942	3168.3813	3396.2837	77.421486	3512.9958	3245.0796	1000.0	1000.0	47999	191.15427	55.31781	252.86307	-58.721382	191.15398	55.318382	252.24329	-59.530846	-190.90372	11.471582	0.66441554	0.040061653	0.8305588	0.538798	6.97084	0.37994805	8.333344	5.8378234	1039.0125682353973	1.4
