Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	Q1Vals	Q2Vals	LossPi	LossQ	Averagemmd_entropy	Stdmmd_entropy	Maxmmd_entropy	Minmmd_entropy	Averagealpha	Stdalpha	Maxalpha	Minalpha	Time
24	849.8616	377.01657	1757.3833	403.70093	660.67883	230.5521	1274.4005	379.70566	169.30435	135.5	95999	252.2257	252.22542	-250.02301	170.24791	3.998689	0.086061925	4.2778487	3.6790876	1.4145567	0.049437135	1.5254031	1.3141787	5756.747094631195
25	828.9107	378.72415	1883.895	417.49673	757.4372	310.73608	1604.4006	437.87662	165.04167	145.0	99999	253.55981	253.55894	-251.28226	166.44385	3.9996777	0.0869077	4.2945247	3.680904	1.4187857	0.054497	1.5703546	1.2957517	5999.1089725494385
26	878.6262	332.49722	1414.5702	355.64114	816.68713	203.19424	1117.294	461.20065	172.625	161.1	103999	256.68115	256.6821	-254.40108	169.05573	4.000699	0.083053514	4.267751	3.69946	1.3989211	0.037928045	1.495275	1.3108422	6239.691587924957
27	842.1725	316.30215	1506.5514	330.98282	923.6245	257.0406	1274.4747	514.43	174.21739	185.3	107999	261.21243	261.21283	-258.79602	174.421	3.9994156	0.08644845	4.3100295	3.708052	1.4293318	0.03991119	1.5290618	1.3090184	6482.0581777095795
28	925.0478	481.10413	2093.1697	324.35602	741.3918	157.15263	1125.0045	533.5223	182.5	142.0	111999	261.97723	261.97754	-259.43738	175.17342	4.0000515	0.08728722	4.285742	3.7006993	1.4260964	0.038239185	1.5169091	1.3578157	6723.8888692855835
29	1064.6418	593.2827	2483.799	457.2322	835.91833	171.38942	1151.1368	571.02386	210.94444	156.7	115999	264.52557	264.5247	-261.8411	174.41756	4.0005436	0.08742685	4.341064	3.6736975	1.4092036	0.047810264	1.5161549	1.3174955	6968.808775663376
30	1056.1259	763.2462	3376.5505	371.74384	1061.6643	369.06677	1589.1133	465.79346	208.3158	211.5	119999	267.08896	267.08896	-264.4678	178.32903	3.9993393	0.08314805	4.285125	3.7359176	1.3949256	0.039975192	1.480949	1.2836391	7211.098747491837
31	1214.7628	650.16064	2896.305	454.49567	1486.1174	644.13965	2518.2502	635.07587	236.33333	264.7	123999	270.66785	270.6664	-267.95212	178.57059	3.9998713	0.08721392	4.3020563	3.6805143	1.391963	0.048838537	1.5124967	1.2660944	7452.533950805664
32	921.68005	548.51855	2926.2334	392.2979	841.284	603.36725	2245.2961	198.91876	182.2381	159.4	127999	273.60904	273.6129	-270.79547	183.04187	4.0003347	0.0866552	4.319431	3.6721373	1.3887907	0.041018788	1.4785935	1.2922094	7691.6136910915375
33	986.17126	697.18555	2701.3555	301.2317	868.16815	420.52466	1501.4503	298.3331	197.45	169.6	131999	276.38104	276.38113	-273.44232	187.86763	4.000643	0.08253044	4.3056035	3.653258	1.4446816	0.04524599	1.5512462	1.3404113	7934.880837440491
34	1265.2583	679.5446	3542.293	602.39886	1245.8727	600.21576	2417.3445	447.20676	240.58824	243.3	135999	279.8856	279.88763	-276.89862	188.87181	3.9997525	0.08621304	4.293218	3.6427357	1.4270567	0.040610027	1.5491246	1.3443235	8172.819386482239
35	1113.5115	603.21936	2496.9631	348.12122	1600.6814	561.6266	2812.3723	792.2525	215.88889	288.5	139999	282.571	282.57205	-279.5635	188.07056	3.9987779	0.08547642	4.3466787	3.5553265	1.4004749	0.04173035	1.4894614	1.3062345	8414.958298683167
36	1323.8767	692.77997	3143.0916	534.9616	1061.5972	344.82535	1755.8251	656.3189	245.76471	207.6	143999	284.45013	284.4506	-281.423	188.50595	3.9989367	0.085008174	4.298499	3.6894796	1.3716516	0.042232215	1.4572729	1.2752544	8653.943344116211
37	1168.4978	982.01544	4258.846	278.59555	1818.5638	1194.4496	4780.9927	544.88763	231.3125	350.2	147999	286.7017	286.70303	-283.57062	192.849	4.00129	0.08070755	4.243503	3.686088	1.3824723	0.03455855	1.4803705	1.3105401	8895.967866659164
38	1200.6405	564.75964	2388.261	394.5179	1453.2924	1095.3392	4023.1375	424.6167	234.11111	284.9	151999	288.18527	288.18527	-284.95944	192.36124	4.0001774	0.08078772	4.266161	3.6771698	1.3850814	0.042837985	1.4848361	1.2993758	9136.280399084091
39	1196.7444	622.84625	2398.7588	485.2162	1154.7598	598.6628	2375.3237	347.52368	244.5	236.9	155999	288.677	288.67868	-285.44568	191.41347	3.999346	0.08020065	4.2769933	3.6866806	1.3808775	0.04702441	1.4985538	1.2910012	9376.418714523315
40	1652.2592	864.5457	2981.0032	554.41077	1828.207	1214.0918	4721.642	414.95728	325.23077	343.2	159999	290.82242	290.8225	-287.53625	192.38481	4.0003324	0.08277446	4.2671824	3.7041438	1.372522	0.0369007	1.4513899	1.2865021	9620.65272283554
41	1739.3579	1432.4908	5250.8906	497.90195	2086.943	1651.4258	5604.098	486.65958	330.54544	385.8	163999	292.70428	292.7032	-289.40805	190.22021	3.998586	0.09036473	4.2769146	3.6501389	1.34311	0.060856417	1.5050707	1.2201918	9865.368918180466
42	2533.9795	1439.691	5409.043	581.4065	1842.2341	1674.1206	5323.547	306.51083	468.1111	333.0	167999	295.32312	295.32446	-292.03473	185.33154	3.9998167	0.07930427	4.263148	3.7190928	1.3323679	0.036871802	1.4260418	1.2671683	10104.5395321846
