Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
32	519.6318	185.97627	764.50415	250.3496	355.08185	183.81859	658.63824	-35.033253	1000.0	1000.0	127999	429.1932	74.89422	964.55396	89.01624	-432.3806	44.909016	1390.0013942718506
33	668.9913	214.07721	942.9135	423.8556	681.6801	289.20255	1247.196	282.9081	1000.0	1000.0	131999	412.046	65.12226	885.5292	96.57531	-414.65662	39.574287	1433.8092112541199
34	855.02704	186.56245	991.9983	534.86237	452.5056	137.49557	855.4269	355.70068	1000.0	1000.0	135999	390.02533	57.335583	776.41486	107.08609	-392.29544	35.117676	1478.058664560318
35	579.34814	240.46056	956.09235	339.603	233.76932	121.25657	321.7716	-87.770355	1000.0	1000.0	139999	364.61157	53.42914	706.44495	128.56645	-366.6257	31.657867	1522.3322310447693
36	557.25183	280.87616	838.1435	267.45438	659.25256	412.87796	1226.9875	-111.05213	1000.0	1000.0	143999	340.5153	51.259872	645.82477	119.78742	-342.33438	28.83707	1566.2078700065613
37	799.8931	359.42746	1305.3658	375.32666	973.8104	266.26132	1399.4181	449.03644	1000.0	1000.0	147999	320.0803	51.61369	629.5592	60.775875	-322.04132	27.81744	1609.983355998993
38	791.46643	293.7985	1163.5927	501.3293	1638.098	47.61476	1739.6035	1580.56	1000.0	1000.0	151999	306.08432	49.38908	630.6404	79.42426	-308.18863	28.024982	1653.7065210342407
39	434.35242	120.08801	627.5533	314.71832	530.21423	47.398327	659.69495	483.8837	1000.0	1000.0	155999	295.01135	48.7889	603.56683	4.9399543	-297.0232	28.465734	1697.84779214859
40	781.89526	181.50134	994.61334	529.0446	1716.47	197.3942	2113.332	1422.6923	1000.0	1000.0	159999	284.4193	45.742126	579.3794	-5.825037	-286.39688	26.964336	1741.6387031078339
41	1449.8369	314.3168	1903.7603	1016.30365	1347.8376	307.163	1715.4548	669.3776	1000.0	1000.0	163999	274.22833	43.617794	544.37195	42.139904	-276.05826	25.490618	1785.6998810768127
42	1235.146	296.14633	1689.9072	885.1349	602.6864	79.57865	753.278	496.73083	1000.0	1000.0	167999	268.1371	44.08344	532.9302	21.932573	-270.1197	25.567427	1829.7446558475494
43	1242.1711	287.88464	1584.6477	898.381	1142.495	323.9035	1613.8916	601.2861	1000.0	1000.0	171999	262.0747	45.321507	535.4672	16.992798	-263.91525	23.701296	1873.737853050232
44	1424.3804	62.115395	1498.4808	1344.8131	1600.4685	162.63083	1930.8179	1353.4697	1000.0	1000.0	175999	255.40092	46.861652	567.5879	15.227802	-257.09622	22.876404	1917.713172674179
45	1009.2109	449.0846	1460.6595	430.22437	1122.7786	369.31564	1919.6666	779.86835	1000.0	1000.0	179999	248.2551	47.117687	541.2066	4.9445505	-249.92662	22.036142	1961.6265461444855
46	1092.6973	286.98917	1501.547	692.7609	551.1022	125.930466	746.0408	331.25394	1000.0	1000.0	183999	241.59267	47.955956	520.95325	-36.963093	-243.1805	22.993933	2005.4452426433563
47	1063.908	499.85458	1892.6305	606.5396	1553.2356	97.055244	1684.3412	1366.5824	1000.0	1000.0	187999	234.5534	49.395416	504.3556	-32.416218	-236.08772	23.58533	2049.0227510929108
48	2072.964	47.93024	2148.424	2020.4073	2010.9541	238.23961	2446.697	1689.4775	1000.0	1000.0	191999	229.3483	48.651546	492.03302	-32.007072	-230.85983	22.518213	2092.7301692962646
49	1862.2919	250.46854	2177.8071	1556.9556	1544.3877	47.179287	1606.3777	1466.3987	1000.0	1000.0	195999	225.0946	48.146145	499.80975	-12.540626	-226.60555	21.315199	2136.6535675525665
50	1802.7009	120.55362	1918.4318	1614.6266	2218.5464	136.014	2447.6802	1949.7744	1000.0	1000.0	199999	222.59029	47.754963	479.9477	-22.16031	-224.15628	20.275509	2180.3088541030884
51	2053.601	254.34206	2311.0403	1728.3184	1829.8844	175.29414	2065.3647	1506.3959	1000.0	1000.0	203999	222.01698	48.696095	477.3483	1.5303699	-223.5836	20.319513	2223.870127916336
52	1890.6685	143.55402	2018.182	1656.8889	2035.9104	132.63747	2264.9211	1858.8843	1000.0	1000.0	207999	220.43529	49.99379	464.7015	-30.223825	-221.8976	20.311165	2267.446676969528
53	1786.2697	209.34593	2027.0353	1459.9174	2091.11	274.74335	2632.1326	1638.451	1000.0	1000.0	211999	219.69514	52.70898	481.76126	-29.823341	-221.2064	20.728672	2311.409993171692
54	1585.2828	336.16367	1930.41	1236.3679	2087.751	214.19641	2403.705	1633.9153	1000.0	1000.0	215999	220.40578	53.415966	472.1028	-33.53777	-221.96538	20.917038	2355.0376052856445
55	1922.5999	127.98747	2001.3687	1700.9863	1855.7449	174.93404	2160.4766	1503.6271	1000.0	1000.0	219999	221.0955	52.187344	483.02945	-10.438304	-222.59654	20.798	2398.916989803314
56	1911.3442	453.2825	2663.7288	1501.6095	2102.1177	266.48688	2620.3503	1640.1454	1000.0	1000.0	223999	221.40314	51.123745	482.1027	-10.175237	-222.9199	20.534277	2442.54546046257
