Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Averagepi_penalty	Stdpi_penalty	Maxpi_penalty	Minpi_penalty	AverageQ_penalty	StdQ_penalty	MaxQ_penalty	MinQ_penalty	Time
1	36506.082	3664.6482	42731.95	33417.21	67348.16	2785.5854	70994.29	63704.637	1000.0	1000.0	3999	13.477167	8.678877	41.8904	-1.6818097e-06	13.476934	8.679088	42.23593	-0.00025922107	-14.192554	0.3314576	5.804729	0.34093693	5.8663387	0.331239	1.6126367	0.97356707	3.558919	2.0073584e-07	108.10908937454224
2	35711.965	2951.6155	40557.418	32889.066	96107.52	781.41516	97757.55	95602.67	1000.0	1000.0	7999	60.909626	22.788834	139.34464	17.10906	60.909306	22.790081	141.2723	17.243832	-63.525867	1.8104488	5.81068	0.01307969	5.8576436	5.7521453	5.1845937	1.2861854	8.341841	2.9227092	246.40729141235352
3	60891.008	29977.82	102628.05	30655.92	119945.58	407.99402	120431.445	119134.15	1000.0	1000.0	11999	146.62772	31.32451	259.51163	70.97715	146.62737	31.325087	261.89056	71.12738	-151.28746	6.2350645	5.789685	0.013080101	5.8297696	5.729018	9.874833	1.0470325	12.683503	7.051215	423.8530659675598
4	86626.234	7441.32	91915.5	73893.12	61670.98	5659.7983	67678.1	49101.598	1000.0	1000.0	15999	210.98128	44.328518	344.28073	92.840935	210.9811	44.329407	344.33298	92.61756	-214.35023	12.821394	5.7818565	0.014243642	5.8325024	5.728948	9.9903555	0.4206139	11.805373	8.519825	617.8849823474884
5	68317.09	13059.977	89172.39	54841.914	70683.445	12796.979	99083.4	56281.613	1000.0	1000.0	19999	259.43906	55.449043	412.9086	114.06472	259.4397	55.44701	413.1416	113.995445	-262.16037	21.52927	5.761997	0.015135307	5.814255	5.70066	10.628626	0.5375908	12.515559	8.923944	811.4085736274719
6	64735.266	15066.833	89403.84	51871.508	61423.207	13609.235	101312.4	53364.918	1000.0	1000.0	23999	299.0946	61.559475	513.2665	115.71568	299.09457	61.560543	514.97424	113.38704	-301.23007	24.758234	5.7525	0.015082229	5.8015985	5.6966953	10.539326	0.46729568	12.893302	8.894308	1005.4302186965942
7	58202.47	12727.662	78457.49	43261.094	77256.72	22923.697	114521.98	45156.625	1000.0	1000.0	27999	331.23083	62.06216	562.6956	146.5879	331.2303	62.062542	564.7932	145.71082	-333.31458	25.457455	5.748276	0.014802627	5.7990437	5.6952696	11.473748	0.57194585	13.631768	9.319401	1202.879404783249
8	75379.36	27481.693	113510.82	46342.508	95882.984	17544.28	111046.805	45244.59	1000.0	1000.0	31999	360.8378	56.155113	608.6073	172.70918	360.83765	56.15682	608.735	175.06566	-362.8276	26.042435	5.748774	0.0151134115	5.799527	5.6918983	12.246146	0.599045	15.212344	10.384639	1400.867371559143
9	66750.64	16340.278	89084.18	43325.723	81045.016	7828.289	90491.28	64606.76	1000.0	1000.0	35999	388.70215	57.22196	647.4881	190.64279	388.70215	57.22144	640.777	188.76857	-390.51694	28.053308	5.744534	0.015277738	5.7930546	5.694612	12.392563	0.6686198	14.693574	9.944135	1599.2133309841156
10	81755.5	6592.5693	90268.516	71747.29	105955.79	14309.198	120355.555	88167.016	1000.0	1000.0	39999	404.49756	61.85753	646.49426	187.51106	404.49716	61.857826	649.86414	192.46758	-406.08182	28.2785	5.73842	0.015268505	5.7902393	5.680271	12.472398	0.7099458	15.084745	9.889435	1798.8195374011993
11	91000.85	22864.271	119247.836	62609.914	75775.52	22290.287	116058.33	51881.855	1000.0	1000.0	43999	412.1116	62.562798	659.7746	212.83983	412.11136	62.560963	662.94366	215.87933	-413.39368	26.512758	5.7421093	0.015226549	5.79704	5.6877713	12.683868	0.6919113	14.995706	10.465276	1994.5035409927368
12	86839.16	10287.598	98730.93	70380.24	69543.55	22557.479	113893.734	46034.676	1000.0	1000.0	47999	419.84668	59.81902	663.4431	186.03984	419.8474	59.815155	659.2851	178.62943	-420.79807	26.487148	5.7407775	0.015157515	5.794402	5.681827	13.254931	0.81868255	16.196781	10.492139	2191.7110826969147
13	76775.83	24310.652	117315.7	53779.027	117018.35	689.6173	117396.414	115008.44	1000.0	1000.0	51999	422.1902	61.691402	683.1073	229.90918	422.18964	61.692043	685.3952	225.86424	-423.09998	25.98919	5.7421947	0.015416132	5.7923813	5.6899314	14.333356	0.92963713	17.706816	11.126796	2389.1662859916687
14	87083.945	29553.918	117623.68	49098.53	52700.883	13437.319	81444.164	45535.676	1000.0	1000.0	55999	429.0008	63.044094	685.79224	232.61487	429.00146	63.038773	686.5364	230.23865	-429.83005	26.200438	5.738008	0.015734572	5.788512	5.6808267	15.101813	0.9014657	18.699438	12.197433	2591.848231077194
15	95135.3	15731.383	110511.01	68925.414	110416.64	9257.817	121448.91	96844.34	1000.0	1000.0	59999	432.48438	64.14643	689.4683	229.40327	432.4838	64.14259	687.2006	224.47577	-433.197	26.79584	5.737319	0.015951073	5.787317	5.67374	15.831457	1.051006	20.013296	12.308165	2791.8983323574066
16	109628.555	8358.3	119475.54	100128.48	117050.45	2833.8557	120326.016	109465.26	1000.0	1000.0	63999	437.66232	62.588253	695.7654	222.70671	437.6624	62.58943	693.8625	222.03723	-438.5245	24.95751	5.745053	0.014775339	5.794765	5.6796355	16.908754	1.0253153	20.483915	13.639658	2989.993662595749
17	113337.71	7721.241	120077.25	100203.0	109649.61	19985.363	119500.66	52024.527	1000.0	1000.0	67999	445.67264	61.060146	712.19763	221.1015	445.6722	61.05919	711.36206	220.5526	-446.47394	23.666212	5.748946	0.014759992	5.796769	5.696882	17.815079	1.0939984	22.834623	14.24115	3188.8295271396637
18	105990.234	23208.525	120319.41	65825.34	114779.31	3619.8103	118740.49	106843.02	1000.0	1000.0	71999	452.0542	59.169174	716.97473	223.03958	452.05417	59.166206	722.6487	221.49162	-452.75394	22.67099	5.750584	0.014767434	5.7971992	5.6878066	19.16316	1.2457998	24.013998	14.57826	3385.1710703372955
19	112761.92	5017.5254	118070.414	106756.1	118480.05	5163.3564	121002.24	103345.45	1000.0	1000.0	75999	458.13263	59.007195	721.49994	231.76826	458.1327	59.004444	722.25934	229.92316	-458.80063	21.921745	5.7543364	0.014538413	5.801639	5.701856	21.061508	1.3194726	25.447958	16.0236	3580.3709049224854
20	119866.336	507.42178	120680.75	119329.89	117485.98	2962.518	119735.48	111211.69	1000.0	1000.0	79999	465.19168	59.045456	712.4869	237.52646	465.19156	59.045483	713.8534	235.73749	-465.87286	21.7861	5.7579455	0.0145662	5.8068595	5.7023625	22.221813	1.3450843	26.978075	17.67389	3777.5986499786377
21	119922.88	655.6264	120651.336	119005.805	115077.266	6021.641	118432.17	102918.67	1000.0	1000.0	83999	473.42633	59.155617	725.433	246.83266	473.42484	59.156387	721.8436	246.13457	-474.1688	22.520573	5.7597094	0.014208624	5.803635	5.7035017	24.025677	1.3335423	29.335981	18.886017	3973.588438510895
22	106911.06	18728.236	120884.01	75183.51	118261.3	3053.5234	124431.37	111633.52	1000.0	1000.0	87999	481.94763	60.355404	731.3216	258.11493	481.94736	60.35483	730.5676	257.28723	-482.66318	22.032558	5.763846	0.013791838	5.8082404	5.71465	25.649607	1.4684668	31.722435	20.655682	4170.758319377899
23	119064.375	1109.0466	119974.195	117166.06	93777.39	28214.986	118699.55	44472.965	1000.0	1000.0	91999	489.24435	62.148438	751.5099	259.28326	489.24445	62.1466	746.3591	257.76337	-490.00507	23.35381	5.7641554	0.013503742	5.816382	5.7102513	27.404362	1.5333859	33.388382	21.820097	4367.133345603943
24	95189.3	18449.885	117712.664	75929.0	102357.26	13827.913	116890.125	74818.62	1000.0	1000.0	95999	498.3866	64.02053	740.5953	255.52538	498.3858	64.02061	743.0547	255.36932	-499.1005	25.191355	5.7679377	0.01377943	5.813288	5.709504	28.753305	1.5421116	34.368423	23.463984	4565.826192378998
25	104355.92	9332.991	119331.38	94205.99	96015.02	18050.113	118818.11	56308.297	1000.0	1000.0	99999	502.2859	65.04059	728.50305	256.31778	502.2858	65.038475	733.86194	257.66342	-502.742	26.505323	5.761237	0.014944408	5.8109794	5.702577	29.248625	1.6627711	35.0141	23.306992	4761.425356388092
26	112945.22	10062.581	122700.484	96583.97	120382.14	3773.976	124791.97	112049.88	1000.0	1000.0	103999	503.91635	64.75079	736.3778	261.90515	503.91644	64.74994	742.08044	259.8404	-504.30963	25.69484	5.762257	0.014386928	5.810406	5.7113376	30.791754	1.711867	37.212482	24.771309	4957.969471216202
27	118857.41	5504.7817	124561.38	109753.016	120386.15	558.67554	121100.54	119161.664	1000.0	1000.0	107999	504.78528	64.48565	778.369	263.27472	504.7848	64.48583	780.43524	263.84195	-505.18225	24.419897	5.76174	0.014490201	5.8074994	5.7009997	32.00652	1.8986329	38.387703	25.90519	5154.709915399551
28	121002.24	473.2815	121782.24	120504.555	121294.33	1229.0638	124912.95	120610.98	1000.0	1000.0	111999	506.8373	65.18828	815.899	261.6192	506.83676	65.18799	820.06525	262.77618	-507.25995	24.364017	5.765483	0.014321358	5.8088145	5.712061	33.64949	1.9602029	41.998318	26.011099	5349.5604457855225
29	120998.37	1384.7966	123260.66	119499.22	98206.586	28299.941	122343.77	49420.74	1000.0	1000.0	115999	510.5319	65.760284	845.3358	266.77505	510.53143	65.76012	850.6369	267.03687	-510.9722	23.893429	5.764744	0.014821889	5.8146324	5.7042127	35.600346	1.9947406	43.159805	28.272724	5547.515988111496
30	88959.94	25559.943	117808.26	62155.004	58326.71	16564.227	85753.984	38092.273	1000.0	1000.0	119999	515.1978	66.64582	899.9795	270.46927	515.19794	66.6436	897.18024	268.71664	-515.6564	25.547863	5.767009	0.014196204	5.819602	5.7043424	36.446903	1.975473	43.180233	30.19043	5747.943085432053
31	94311.445	24474.697	120495.016	54836.836	113526.44	6943.804	118247.5	102583.96	1000.0	1000.0	123999	519.07166	69.07352	917.81195	267.38855	519.072	69.07362	924.26917	269.00577	-519.3931	27.856838	5.762916	0.01452453	5.815041	5.7057652	36.335094	2.0539403	44.02701	29.211376	5949.638606786728
32	112195.17	7140.0444	119569.04	104038.05	119538.54	2235.614	124824.48	115730.46	1000.0	1000.0	127999	520.6228	69.84868	936.05853	264.85437	520.62225	69.848076	938.7146	268.4353	-520.9748	28.311012	5.766801	0.014595767	5.8113794	5.7191	36.99109	2.0264971	44.719784	29.7343	6145.684695720673
33	119346.15	1025.4855	120530.305	117737.49	120452.664	1563.2615	124786.17	119274.4	1000.0	1000.0	131999	522.552	69.41134	944.90314	274.7638	522.5522	69.40875	951.89777	275.9124	-522.92834	27.592672	5.7673044	0.014226366	5.810081	5.71317	37.81244	2.101232	45.22809	30.068142	6343.327120542526
34	119057.45	1095.5836	119819.664	117166.05	117027.73	1533.6575	117973.336	112671.766	1000.0	1000.0	135999	525.9519	68.493164	962.1638	287.1272	525.9522	68.49028	968.80676	287.7608	-526.369	27.828253	5.7705655	0.013786184	5.812429	5.7120442	39.296455	2.1722343	48.015057	31.263752	6542.534840106964
35	118327.266	4255.447	124761.33	113457.625	114148.625	8103.786	120395.44	100882.26	1000.0	1000.0	139999	529.93335	67.87104	991.548	294.87344	529.93304	67.86883	990.3019	295.8282	-530.38116	27.701796	5.772612	0.013639313	5.8202543	5.724373	39.981377	2.1526408	47.245625	32.69098	6742.030487537384
36	111393.03	6953.0737	119355.35	103427.85	117573.875	1755.3341	120771.34	113573.37	1000.0	1000.0	143999	533.2558	67.59062	1025.6499	301.75833	533.2556	67.590195	1030.7625	297.19272	-533.6565	27.405617	5.772891	0.013809887	5.818801	5.7171764	41.879147	2.2013032	49.597412	32.634716	6941.084243059158
37	104295.03	23982.871	120403.06	62976.49	115354.14	8686.749	125196.164	97988.945	1000.0	1000.0	147999	537.4942	69.530045	1090.841	298.61517	537.4943	69.52634	1093.74	299.51132	-537.91364	28.536453	5.773289	0.0139303785	5.818397	5.722223	42.67124	2.2221498	50.313416	34.97392	7142.80034160614
38	119585.445	3646.774	125321.18	115251.9	114777.71	7025.84	121355.34	104023.52	1000.0	1000.0	151999	541.31793	70.76927	1123.7303	302.4043	541.3178	70.767395	1124.3455	296.982	-541.68146	30.90816	5.7688622	0.014047094	5.816376	5.7127333	43.27575	2.2684925	51.351273	34.279423	7342.5495545864105
39	122108.14	1657.4004	124970.02	120963.83	121542.42	1317.5963	125489.37	120982.66	1000.0	1000.0	155999	545.027	73.62068	1193.6091	295.67355	545.0271	73.616455	1193.9457	300.56604	-545.5266	31.898594	5.766007	0.014104395	5.8147306	5.7104955	44.127842	2.231517	52.540466	35.207264	7542.166194677353
40	122763.8	2616.412	125297.28	119081.69	122126.58	2772.107	125460.305	118066.93	1000.0	1000.0	159999	550.0647	77.42399	1254.8341	295.06964	550.0651	77.42161	1251.7356	298.93628	-550.624	35.251316	5.768823	0.01372102	5.8136377	5.715549	45.011555	2.2826536	54.903603	36.83877	7740.912210702896
41	122876.86	2477.5593	125431.086	120077.65	123341.664	2454.7358	125195.875	117915.25	1000.0	1000.0	163999	556.34674	81.92774	1335.8643	284.08347	556.3466	81.92251	1330.6616	284.45056	-556.9	37.771267	5.767888	0.014214121	5.819634	5.7118144	46.30736	2.3176632	54.852898	37.734444	7938.557263374329
42	101535.26	35276.176	124704.15	40508.957	71788.17	23887.545	116220.836	44101.38	1000.0	1000.0	167999	562.0846	89.20923	1416.4009	273.0457	562.08606	89.200485	1414.0048	272.614	-562.7031	44.38724	5.766399	0.014113207	5.812212	5.7122474	47.535103	2.3821783	55.8808	39.370293	8136.018988609314
43	55157.375	9122.264	69097.97	45576.656	87684.29	28952.748	119167.49	43817.5	1000.0	1000.0	171999	568.7941	95.04089	1414.2421	265.9668	568.7942	95.032104	1421.6216	256.92148	-569.242	52.917522	5.7636147	0.014313256	5.815803	5.711466	47.92902	2.393385	56.1881	39.249622	8331.446514129639
44	93938.36	20009.865	117676.73	67321.08	72948.54	23322.549	111921.94	41328.363	1000.0	1000.0	175999	569.12506	92.380104	1386.2233	271.0667	569.1257	92.37185	1393.1859	270.6162	-569.4135	54.45574	5.766486	0.014389549	5.811315	5.70866	47.615013	2.5418508	56.733963	38.398506	8527.475946187973
45	103210.93	28525.531	125077.39	54150.55	121478.9	6275.6587	125678.83	104850.805	1000.0	1000.0	179999	567.21173	91.42494	1390.7521	271.55524	567.213	91.41558	1384.8351	270.77338	-567.5228	52.176533	5.7631207	0.01451359	5.808857	5.714652	45.455578	2.3491733	53.278896	37.28138	8724.744764566422
46	121631.67	2704.871	125538.23	117895.74	124074.484	1993.9531	125470.22	120945.73	1000.0	1000.0	183999	566.0096	91.15088	1440.92	280.0321	566.00885	91.14346	1428.0956	283.1853	-566.33356	49.739334	5.7668023	0.014573708	5.8215356	5.714308	44.593967	2.2280495	53.770515	37.0228	8921.38619017601
47	122413.58	3001.3093	125520.28	118326.39	121403.95	1250.5762	125076.64	120684.48	1000.0	1000.0	187999	567.38806	92.058556	1498.374	283.86404	567.3886	92.05309	1505.9579	283.8055	-567.81384	49.58315	5.769143	0.013954053	5.811286	5.716662	45.000305	2.2006931	52.295174	37.5497	9116.888854980469
48	123926.08	1871.5137	125518.445	120830.8	116251.1	4781.8564	118737.5	102160.81	1000.0	1000.0	191999	568.38654	95.6124	1601.1733	269.08545	568.3863	95.60864	1603.3441	270.15366	-568.82135	49.631298	5.772042	0.01413904	5.814628	5.71229	46.490925	2.1684637	54.338837	39.10491	9313.049696922302
