Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
1	-236.10922	39.89913	-207.80327	-304.34305	-328.19647	90.83115	-262.73425	-523.51166	1000.0	1000.0	3999	4.5239854	3.581384	19.47599	-4.6160817	4.5239434	3.5813162	19.413279	-4.797001	-2.9066956	1.6602361	9.229643	-11.427006	-5.468937	0.8520321	52.59830665588379
2	-210.06715	11.332941	-198.83691	-224.25671	-125.83099	6.099904	-119.52039	-136.1419	1000.0	1000.0	7999	18.25748	6.877134	50.79591	-3.634548	18.257347	6.8749886	51.25181	-3.3513207	-1.0165232	2.603788	15.358144	-13.806829	-19.61386	2.6235108	123.33960890769958
3	-280.68665	39.58115	-230.96182	-337.2117	-95.322235	107.03036	111.3159	-225.28238	1000.0	1000.0	11999	37.171986	7.24272	73.02278	11.475971	37.17192	7.24208	71.02272	12.517563	0.011105844	3.148251	19.376411	-14.113993	-38.650265	4.6439776	192.35373544692993
4	3.292324	159.7263	161.8179	-200.68039	465.63403	418.54666	1383.7538	-43.074883	1000.0	1000.0	15999	45.20207	8.299376	83.14711	23.512117	45.201256	8.301077	83.97175	21.74538	-1.9449039	2.273331	16.925129	-16.61603	-45.89298	4.295555	263.11327290534973
5	254.16084	120.11537	421.67468	104.78268	540.42346	706.06055	2210.2893	-84.5968	1000.0	1000.0	19999	45.4487	11.436953	83.58336	21.233437	45.447914	11.437339	83.36689	20.993341	-2.4173608	1.9382292	10.853708	-12.322033	-46.03224	3.4760554	335.36906814575195
6	553.1326	505.66452	1372.4408	21.674047	1916.4824	456.47598	2227.6445	588.64075	1000.0	1000.0	23999	47.271854	15.412766	94.85941	21.14037	47.271194	15.412815	95.713135	20.945927	-2.2523704	2.1641026	15.299038	-12.40483	-47.88372	3.5900543	407.6767795085907
7	1719.907	91.23721	1816.3585	1581.3148	2423.5015	85.274124	2543.8203	2289.2544	1000.0	1000.0	27999	54.333874	21.233511	112.44908	21.787258	54.333214	21.232836	112.40302	21.775629	-1.8051254	2.5541258	23.311613	-14.567375	-54.977158	4.774566	479.4334738254547
8	2215.85	107.4487	2337.4536	2069.1038	3010.4985	72.6856	3117.747	2875.3906	1000.0	1000.0	31999	66.45482	27.463139	142.08214	21.913515	66.45415	27.462427	141.31192	22.46615	-1.3227413	2.7840679	21.91268	-12.798842	-67.092155	6.1719136	551.6453030109406
9	2505.2246	261.45004	2732.2173	2071.7346	3167.6245	376.34186	3366.3123	2050.7004	1000.0	1000.0	35999	81.394295	34.566032	163.11316	22.45423	81.3942	34.56509	162.61952	23.190725	-0.7674257	3.0626314	21.26168	-14.3170805	-82.04063	8.236831	623.56374335289
10	3058.3784	188.45366	3350.1616	2823.5107	3610.0376	100.05486	3803.674	3440.375	1000.0	1000.0	39999	97.661	42.02126	190.16103	23.305742	97.66109	42.02146	190.62805	23.53936	-0.34465644	3.2639894	20.346931	-13.286564	-98.31017	10.492609	695.5575020313263
11	3566.5566	94.8537	3705.848	3442.2898	4340.172	99.35452	4473.3276	4176.473	1000.0	1000.0	43999	116.28375	49.804436	223.97662	23.70498	116.28406	49.804646	223.88362	22.838383	0.049564693	3.4371634	25.069126	-14.228818	-116.90864	12.739062	768.2327947616577
12	3052.4753	1284.3673	3853.993	828.8113	4623.3076	130.18918	4821.1836	4399.158	1000.0	1000.0	47999	133.83725	58.33219	247.87271	23.68547	133.83704	58.333572	246.52977	23.509933	0.39811835	3.6669238	21.973537	-12.703799	-134.50267	14.6096735	840.1100113391876
13	2852.498	1688.842	4487.248	105.05732	4830.207	99.06805	4974.5938	4721.505	1000.0	1000.0	51999	151.74683	66.29808	275.24313	22.074594	151.74661	66.29828	272.58008	23.870247	0.6807422	3.8171732	24.896072	-13.1310835	-152.41269	17.264015	913.156012058258
14	4453.4062	58.437683	4547.707	4399.7495	5249.2197	67.09614	5361.013	5132.557	1000.0	1000.0	55999	169.23302	74.5967	307.74588	22.087616	169.23312	74.59656	304.98224	24.214834	0.93051046	3.993935	25.27291	-14.526212	-169.84804	18.941422	985.5680599212646
15	4654.96	118.58544	4774.035	4468.5854	5292.4067	128.73811	5523.2236	5097.9663	1000.0	1000.0	59999	188.88866	81.35281	327.4986	16.029638	188.88828	81.352516	327.14438	20.21591	1.2119169	4.1035104	27.437487	-11.558767	-189.4887	20.005352	1056.8027248382568
16	4056.7979	1569.9866	5073.0767	1341.3434	5676.5107	75.511604	5795.684	5539.0015	1000.0	1000.0	63999	207.1086	88.00955	354.58774	16.696182	207.10905	88.008804	354.57605	16.254549	1.4765916	4.2135653	26.057596	-12.253353	-207.66484	21.52949	1128.5261752605438
17	5242.0557	109.61814	5419.01	5132.047	5964.0107	160.78867	6211.247	5610.037	1000.0	1000.0	67999	223.59904	94.610054	370.68637	4.805739	223.59836	94.60925	371.34338	2.66498	1.7261322	4.336384	27.979189	-16.49194	-224.12448	23.729206	1200.6632204055786
18	5389.255	134.25998	5609.3784	5268.095	5851.4463	674.5426	6260.2266	3853.3887	1000.0	1000.0	71999	241.41806	99.84939	395.54132	12.457684	241.4176	99.848	396.39905	8.400003	2.0130947	4.477777	35.93039	-14.734078	-241.90225	25.066738	1272.3805692195892
19	5606.5796	146.44997	5761.485	5400.1255	5676.316	1195.5153	6397.771	2179.786	1000.0	1000.0	75999	258.46304	104.48631	416.00446	16.777071	258.46262	104.48501	413.9726	12.714447	2.2357829	4.532845	39.097076	-13.2639	-258.90738	26.06315	1344.6419219970703
20	5749.4873	113.86975	5843.3784	5562.0664	6270.682	101.166916	6388.3984	6091.6987	1000.0	1000.0	79999	275.1357	108.25481	432.5382	21.823622	275.1351	108.25391	434.2037	20.36212	2.4592829	4.56118	37.35384	-13.689578	-275.515	27.709328	1416.5308175086975
21	6026.001	122.466415	6164.7085	5884.087	6386.9478	166.07301	6654.734	6163.6963	1000.0	1000.0	83999	290.61328	112.11639	448.901	-29.155876	290.613	112.116066	449.26355	1.8043219	2.6145782	4.612571	33.993557	-14.405756	-290.96573	29.117191	1488.425491809845
22	5959.476	170.52269	6180.234	5757.522	6643.0615	139.92638	6878.811	6478.7217	1000.0	1000.0	87999	305.03827	115.32241	462.59723	11.754522	305.03787	115.32204	464.14117	21.194567	2.731414	4.640031	31.83566	-13.101019	-305.3543	30.361977	1560.6148533821106
23	6192.778	147.04994	6388.9614	5998.433	6880.503	99.657875	6974.8613	6616.6143	1000.0	1000.0	91999	319.45004	117.657845	478.52402	23.495497	319.44937	117.65755	478.9155	23.372429	2.9461832	4.695925	37.726654	-14.138216	-319.7218	31.807156	1633.3828356266022
24	6360.0747	156.24199	6629.8643	6252.583	6875.9233	158.51431	7138.8843	6557.0986	1000.0	1000.0	95999	332.3842	119.946846	498.43994	11.901409	332.3839	119.94622	495.47925	17.443748	3.073356	4.682867	34.83254	-14.102961	-332.59714	32.618324	1705.5284769535065
25	6589.0537	129.31973	6743.213	6403.8057	6321.4385	2168.6255	7562.4224	900.78516	1000.0	1000.0	99999	344.43036	121.60997	503.77692	17.286875	344.42993	121.60987	503.15488	19.989033	3.2178285	4.7125163	42.738667	-12.809936	-344.62997	33.053867	1776.949334859848
26	6671.1333	119.22911	6825.4424	6534.538	6715.9126	1742.9601	7704.887	1539.9698	1000.0	1000.0	103999	355.95996	123.760475	517.14984	15.93963	355.95972	123.75969	517.5242	18.44053	3.316515	4.717765	35.306263	-14.628804	-356.10495	34.286922	1848.003458738327
